"binominal","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","is_cd","trait"
"Daucus_carota",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Sanicula_orthacantha",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Astrantia_minor",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Dendropanax_dentiger",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Eleutherococcus_senticosus",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Macropanax_undulatus",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Hedera_helix",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Schefflera_minutistellata",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Schefflera_heptaphylla",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Neopanax_arboreus",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Neopanax_colensoi",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Pseudopanax_crassifolius",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Raukaua_simplex",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Schefflera_digitata",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Pittosporum_eugenioides",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Pittosporum_tenuifolium",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Pennantia_corymbosa",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Abelia_biflora",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Lonicera_chrysantha",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
