Ananas comosus
Anaphalis aureopunctata
Anaphalis elliptica
Anaphalis hancockii
Anaxagorea javanica
Anchusa officinalis
Andira humilis
Andrographis paniculata
Andromeda polifolia
Andropogon furcatus
Andropogon gayanus
Andropogon gerardi
Andropogon gerardii
Andropogon halii
Andropogon hallii
Andropogon nutans
Andropogon scoparius
Andropogon seoparius
Androsace caduca
Androsace chamaejasme
Androsace filiformis
Androsace koso-poljanskii
Androsace lactea
Androsace occidentalis
Androsace septenrionalis
Androsace septentrionalis
Androsace subumbellata
Androsace villosa
Anemonastrum narcissiflorum
Anemone altaica
Anemone cylindrica
Anemone dichotoma
Anemone narcissiflora
Anemone nemorosa
Anemone patens
Anemone pavoniana
Anemone protracta
Anemone ranunculoides
Anemone speciosa
Anemone sylvestris
Anemone trifolia
Angelica archangelica
Angelica sylvestris
Aniba citrifolia
Anisophyllea disticha
Anisotome aromatica
Annona dioica
Anoda cristata
Anona squamosa
Antennaria carpatica
Antennaria caucasica
Antennaria dioica
Antennaria neglecta
Antennaria parvifolia
Antennaria rosulata
Anthemis abagensis
Anthemis cotula
Anthemis cretica
Anthemis iberica
Anthemis rigescens
Anthemis rudolphiana
Anthemis sosnovskyana
Anthemis tinctoria
Anthericum liliago
Anthericum ramosum
Anthoxanthum monticola
Anthoxanthum odoratum
Anthriscus ruprechtii
Anthriscus sylvestris
Anthyllis cytisoides
Anthyllis henoniana
Anthyllis macrocephala
Anthyllis terniflora
Anthyllis variegata
Anthyllis vulneraria
Antidesma cuspidatum
Antidesma leucopodum
Antidesma maclurei
Antirrhinum majus
Apera spica
Apera spica-venti
Aphanamixis grandifolia
Aphanostephus ramosissimus
Apium inundatum
Apium nodiflorum
Apium repens
Apocynum androsaemifolium
Apocynum androsremifolium
Apocynum cannabinum
Apocynum venetum
Apodytes dimidiata
Aporosa bracteosa
Aporosa dioica
Aporosa villosa
Aporosa yunnanensis
Aposeris foetida
Aquilegia olympica
Aquilegia pyrenaica
Aquilegia vulgaris
Arabidopsis halleri
Arabidopsis thaliana
Arabis alpina
Arabis caucasica
Arabis glabra
Arabis hirsuta
Arabis pendula
Arabis scabra
Arabis soyeri
Arachis hypogaea
Arachis pintoi
Aragallus lambertii
Aralia nudicaulis
Araucaria angustifolia
Araucaria araucana
Araucaria cunninghamii
Arbutus unedo
Archidendron clypearia
Archidendron lucidum
Arctagrostis latifolia
Arctium lappa
Arctium nemorosum
Arctium tomentosum
Arctostaphylos alpina
Arctostaphylos glandalosa
Arctostaphylos patula
Arctostaphylos uva-ursi
Arctotheca calendula
Ardisia crenata
Ardisia depressa
Ardisia elliptica
Ardisia japonica
Ardisia quinquegona
Ardisia sieboldii
Ardisia virens
Aremonia agrimonoides
Arenaria aequicaulis
Arenaria fendleri
Arenaria griffithii
Arenaria lanuginosa
Arenaria ledebouriana
Arenaria longifolia
Arenaria lychnidea
Arenaria montana
Arenaria musciformis
Arenaria procera
Arenaria purpurascens
Arenaria sajanensis
Arenaria serpillyfolia
Arenaria serpyllifolia
Argemone platyceras
Argusia sogdiana
Argyrodendron actinophyllum
Argyrodendron spec.
Argyrodendron trifoliolatum
Aristea major
Aristida holothera
Aristida inaequiglumis
Aristida oligantha
Aristida pennata
Aristida pungens
Aristida purpurea
Aristida ramosa
Aristida setacea
Aristolochia bracteata
Aristolochia giberti
Aristotelia serrata
Armeniaca vulgaris
Armeria cantabrica
Armeria maritima
Armeria velutina
Arnebia decumbens
Arnebia echioides
Arnica fulgens
Arnica mollis
Arnica montana
Arnica sororia
Arrhenatherum elatius
Artemisia absinthium
Artemisia aralensis
Artemisia arenaria
Artemisia armeniaca
Artemisia austriaca
Artemisia austriaco
Artemisia badhysi
Artemisia barrelieri
Artemisia campestris
Artemisia cana
Artemisia capillaris
Artemisia carruthii
Artemisia caucasica
Artemisia cina
Artemisia codonocephala
Artemisia dracunculus
Artemisia eranthema
Artemisia ferganensis
Artemisia filifolia
Artemisia frigida
Artemisia fukudo
Artemisia genipi
Artemisia glauca
Artemisia gmelinii
Artemisia halodendron
Artemisia herba-alba
Artemisia igniaria
Artemisia incana
Artemisia intramongolica
Artemisia kemrudica
Artemisia laciniata
Artemisia latifolia
Artemisia leucodes
Artemisia ludoviciana
Artemisia maritima
Artemisia marschalliana
Artemisia mongolica
Artemisia nanschanica
Artemisia nitrosa
Artemisia ordosica
Artemisia pauciflora
Artemisia pontica
Artemisia procera
Artemisia quinqueloba
Artemisia rupestris
Artemisia sacrorum
Artemisia santolinifolia
Artemisia scoparia
Artemisia scopulorum
Artemisia sericea
Artemisia sieberi
Artemisia soongarica
Artemisia sphaerocephala
Artemisia stelleriana
Artemisia tanacetifolia
Artemisia terra?albae
Artemisia terrae-albae
Artemisia tomentella
Artemisia transiliensis
Artemisia tridentata
Artemisia turanica
Artemisia verlotiorum
Artemisia vulgaris
Arthraxon hispidus
Arthrophytum pulvinatum
Arthrostemma ciliatum
Artocarpus altilis
Artocarpus nitidus
Artocarpus styracifolius
Arum italicum
Arum maculatum
Aruncus dioicus
Arundinaria alpina
Arundinaria falcata
Arundinaria pusilla
Asarum europaeum
Ascarina lucida
Asclepias incarnata
Asclepias speciosa
Asclepias sullivantii
Asclepias syriaca
Asclepias tuberosa
Asclepias verticillata
Asclepias viridis
Asimina triloba
Asparagus acutifolius
Asparagus breslerianus
Asparagus inderiensis
Asparagus maritimus
Asparagus officinalis
Asparagus racemosus
Asparagus schoberioides
Asparagus tenuifolius
Asperugo procumbens
Asperula albovii
Asperula danilevskiana
Asperula tinctoria
Asphodelus albus
Aspidosperma cylindrocarpon
Aspidosperma desmanthum
Aspidosperma macrocarpon
Aspidosperma pyrifolium
Aspidosperma tomentosum
Asplenium adiantum-nigrum
Asplenium adulterinum
Asplenium alternifolium
Asplenium bulbiferum
Asplenium ceterach
Asplenium cuneifolium
Asplenium fissum
Asplenium fontanum
Asplenium obovatum
Asplenium ruta-muraria
Asplenium scolopendrium
Asplenium seelosii
Asplenium septentrionale
Asplenium trichomanes
Asplenium viride
Astelia fragrans
Astelia nervosa
Aster alpinus
Aster amellus
Aster azureus
Aster biennis
Aster canescens
Aster ciliolatus
Aster ericoides
Aster falcatus
Aster fastigiata
Aster laevis
Aster lanceolatus
Aster laurentianus
Aster linosyris
Aster macrophyllus
Aster multiflorus
Aster novae-angliae
Aster oblongifolius
Aster porteri
Aster punctata
Aster puniceus
Aster tataricus
Aster tripolium
Aster umbellatus
Astilbe rivularis
Astilbe rubra
Astragalus aboriginum
Astragalus alatavicus
Astragalus alopecias
Astragalus alpinus
Astragalus arpilobus
Astragalus arrectus
Astragalus aureus
Astragalus bisulcatus
Astragalus bornmuellerianus
Astragalus brachypus
Astragalus canadensis
Astragalus canidensis
Astragalus captiosus
Astragalus confertus
Astragalus contortuplicatus
Astragalus crassicarpus
Astragalus danicus
Astragalus dasyglottis
Astragalus denudatus
Astragalus deserti
Astragalus drobovii
Astragalus filicaulis
Astragalus flexus
Astragalus galactites
Astragalus glycyphyllos
Astragalus humistratus
Astragalus jagnobicus
Astragalus lasioglottis
Astragalus lasiosemius
Astragalus lehmannianus
Astragalus macrostachys
Astragalus melilotoides
Astragalus membranaceus
Astragalus monspessulanus
Astragalus onobrychis
Astragalus oxyglottis
Astragalus paucijugus
Astragalus peduncularis
Astragalus purshii
Astragalus rigidulus
Astragalus rusbyi
Astragalus sabulonum
Astragalus supinus
Astragalus testiculatus
Astragalus turczaninowii
Astragalus villosissimus
Astragalus vulpinus
Astrantia bavarica
Astrantia major
Astrantia maxima
Astrantia minor
Astrantia ossica
Astrodaucus orientalis
Asyneuma campanuloides
Asyneuma canescens
Atalaya hemiglauca
Athyrium brevifrons
Athyrium disentifolium
Athyrium distentifolium
Athyrium filix-femina
Athyrium sinense
Athyrium spinulosum
Atractylis humilis
Atraphaxis pyrifolia
Atraphaxis spinosa
Atriplex californica
Atriplex cana
Atriplex canescens
Atriplex confertifolia
Atriplex dimorphostegia
Atriplex halimus
Atriplex lampa
Atriplex leucophylla
Atriplex littoralis
Atriplex nummularia
Atriplex patula
Atriplex portulacoides
Atriplex prostrata
Atriplex spinosa
Atriplex tatarica
Atriplex torreyi
Atropa belladonna
Attalea exigua
Atylosia scarabaeoides
Aulacomnium turgidum
Aulacospermum simplex
Austrodanthonia caespitosa
Austrodanthonia carphoides
Austrodanthonia richardsonii
Avena barbata
Avena fatua
Avena nuda
Avena sativa
Avena sterilis
Avena strigosa
Avena versicolor
Avenella flexuosa
Avenula pratensis
Avenula pubescens
Avicennia germinans
Avicennia marina
Azadirachta indica
Azanza garckeana
Baccaurea ramiflora
Baccharis glutinosa
Backhousia myrtifolia
Bahia dissecta
Baikiaea plurijuga
Baileya multiradiata
Baileya pleniradiata
Balanites aegyptiaca
Baldellia ranunculoides
Ballota hirsuta
Balsamorhiza careyana
Balsamorhiza sagittata
Bambusa bambos
Banara vanderbiltii
Banksia attenuata
Banksia ilicifolia
Banksia prionotes
Baphia massaiensis
Baptisia alba
Baptisia australis
Baptisia bracteata
Baptisia leucantha
Barbarea vulgaris
Barleria cristata
Barleria cuspidata
Barleria noctiflora
Barringtonia fusicarpa
Barringtonia macrostachya
Barringtonia racemosa
Bartsia alpina
Bashania fangiana
Bassia dasyphylla
Batocarpus amazonicus
Batrachium baudotii
Batrachium circinatum
Batrachium fluitans
