genus,count
Noticastrum,20
Langebergia,1
Erlangea,18
Lychnophoriopsis,4
Hispidella,1
Oriastrum,5
Nannoglottis,4
Neocabreria,5
Phyllocephalum,11
Poljakanthema,1
Stomatochaeta,6
Duhaldea,12
Jaumea,7
Siloxerus,4
Grazielia,11
Oedera,39
Llerasia,12
Arnoglossum,8
Tricholepis,18
Dendrosenecio,9
Sondottia,2
Lagoseriopsis,1
Lasiolaena,7
Kyrsteniopsis,4
Scrobicaria,3
Caatinganthus,2
Centrapalus,1
Cheirolophus,27
Acamptopappus,2
Platypodanthera,2
Palafoxia,12
Acanthospermum,6
Aphanostephus,8
Lundellianthus,8
Enydra,5
Gymnarrhena,1
Kinghamia,6
Ampelaster,1
Salmea,10
Blainvillea,11
Gnaphaliothamnus,9
Grisebachianthus,8
Relhania,11
Quinetia,1
Centipeda,11
Aaronsohnia,2
Acmella,30
Piqueria,8
Luina,2
Uechtritzia,3
Tetraneuris,9
Hippolytia,16
Anderbergia,6
Stenachaenium,6
Arrhenechthites,8
Kaunia,12
Vittetia,2
Polyanthina,1
Decachaeta,9
Centratherum,3
Gaillardia,22
Rothmaleria,1
Asteridea,10
Madagaster,5
Sphaeromeria,9
Salcedoa,1
Grosvenoria,7
Chaetopappa,12
Cancriniella,1
Spaniopappus,5
Crepidiastrum,22
Schizotrichia,3
Gymnolaena,3
Heliomeris,7
Lipochaeta,12
Calycoseris,2
Euphrosyne,4
Gnephosis,14
Inulanthera,10
Barroetea,6
Andryala,28
Chondropyxis,1
Lycoseris,11
Phonus,2
Pentatrichia,5
Atractylodes,8
Chrysopsis,13
Microgyne,2
Amphoricarpos,5
Cissampelopsis,11
Egletes,10
Faberia,9
Herrickia,4
Basedowia,1
Anacyclus,12
Ayapanopsis,20
Oteiza,4
Xylanthemum,8
Lampropappus,3
Praxelis,17
Vellereophyton,7
Wamalchitamia,5
Gymnophyton,6
Platycarpha,3
Malmeanthus,3
Adenophyllum,10
Trichogoniopsis,4
Stenotus,4
Moonia,5
Acanthocladium,1
Lagophylla,5
Piptolepis,12
Macledium,18
Acanthocephalus,2
Condylidium,2
Paurolepis,1
Paragynoxys,11
Coronidium,20
Neja,5
Mattfeldanthus,2
Neocuatrecasia,12
Hulsea,7
Baccharoides,25
Gongylolepis,15
Hertia,10
Athrixia,15
Guardiola,14
Gibbaria,1
Sigesbeckia,14
Capelio,3
Oldenburgia,4
Arctium,28
Ceratogyne,1
Sclerocarpus,10
Platyschkuhria,2
Galatella,36
Inezia,2
Peripleura,5
Oliganthes,6
Trichocoronis,2
Agoseris,13
Greenmaniella,1
Apopyros,2
Thymophylla,13
Corethrogyne,2
Wyethia,10
Homogyne,2
Elephantopus,27
Gymnostephium,8
Chardinia,1
Tarchonanthus,6
Malacothrix,20
Urbinella,1
Heterosperma,8
Carphephorus,6
Ixeridium,18
Lepidolopha,8
Calyptocarpus,6
Epitriche,1
Monoculus,2
Microcephala,5
Moquinia,1
Chiliadenus,10
Tonestus,4
Amphiglossa,11
Flyriella,6
Harmonia,5
Philactis,4
Anisocarpus,2
Ptilostemon,18
Trichanthemis,9
Oreostemma,3
Krigia,9
Chamaegeron,5
Zoegea,3
Cnicothamnus,2
Waitzia,6
Arnicastrum,2
Seriphium,5
Foveolina,5
Rutidosis,10
Dicoria,3
Perezia,39
Rolandra,1
Microglossa,10
Polytaxis,3
Polydora,8
Logfia,7
Standleyanthus,1
Rigiopappus,1
Leucoptera,3
Pojarkovia,1
Eriophyllum,14
Sinacalia,4
Podachaenium,5
Parafaujasia,1
Dichrocephala,4
Sciadocephala,5
Chrysactinia,6
Heteropappus,12
Silybum,2
Cratystylis,4
