"names","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","trait","cd"
"Hypobathrum_racemosum",0.00272500241037879,0.0742105091114947,0.0254661488977453,-0.91125537394441,-0.911253078375039,0.171577619631905,"AM","RD",FALSE
"Wendlandia_uvariifolia",0.00272498870638036,0.0742104882772851,0.0254657592687129,-0.911252278483498,-0.911252127418145,0.171577630291207,"AM","RD",FALSE
"Ixora_panurensis",0.00272500142311969,0.074210507655412,0.0254661250966316,-0.911255237315516,-0.911253091001757,0.171577630263057,"AM","RD",FALSE
"Ixora_intensa",0.00272500142311969,0.074210507655412,0.0254661250966316,-0.911255237315516,-0.911253091001757,0.171577630263057,"AM","RD",FALSE
"Alseis_blackiana",0.00272499287658083,0.0742104924471892,0.0254658343024435,-0.911253657768365,-0.911253078375039,0.171577619631905,"AM","RD",FALSE
"Adina_metcalfii",0.00272500157734034,0.074210507655412,0.0254661214092419,-0.911255223989494,-0.911253078375039,0.171577619631903,"AM","RD",FALSE
"Adina_pilulifera",0.00272500157734034,0.074210507655412,0.0254661214092419,-0.911255223989494,-0.911253078375039,0.171577619631903,"AM","RD",FALSE
"Ladenbergia_riveroana",0.00272499049093395,0.0742104882772851,0.0254657555813232,-0.911253228329958,-0.911253078375089,0.171577619631905,"AM","RD",FALSE
"Chomelia_psilocarpa",0.00272498965789547,0.0742104868212022,0.0254657280928187,-0.911253078375037,-0.911253078375039,0.171577619631903,"AM","RD",FALSE
"Chomelia_tenuiflora",0.00272498930186638,0.0742104868212023,0.0254657280928205,-0.911252872449928,-0.911253018752195,0.171577619631903,"AM","RD",FALSE
"Bathysa_australis",0.00272499033504135,0.074210488277285,0.0254657592687128,-0.911253240688938,-0.911253091680001,0.171577630292387,"AM","RD",FALSE
"Ferdinandusa_rudgeoides",0.00272498952919335,0.0742104868212022,0.0254657317802095,-0.911253091701063,-0.911253091679951,0.171577630292386,"AM","RD",FALSE
"Ferdinandusa_hirsuta",0.00272498952919335,0.0742104868212022,0.0254657317802095,-0.911253091701063,-0.911253091679951,0.171577630292386,"AM","RD",FALSE
"Simira_rubescens",0.00272506379635291,0.0742106166745874,0.0254681832137579,-0.911266464733013,-0.911253091760956,0.171577630321842,"AM","RD",FALSE
"Asclepias_tuberosa",0.00272498965789548,0.0742104868212022,0.0254657280928188,-0.911253078375039,-0.911253078375039,0.171577619631905,"AM","RD",FALSE
"Asclepias_syriaca",0.00272498965789548,0.0742104868212022,0.0254657280928188,-0.911253078375039,-0.911253078375039,0.171577619631905,"AM","RD",FALSE
"Asclepias_incarnata",0.00719416200392887,0.0820222326797294,0.172938945227652,-1.71574698725794,-1.71553634557908,194.858521126331,"AM","RD",FALSE
"Nerium_oleander",0.00272498966049877,0.0742104868212022,0.0254657281040784,-0.911253078441619,-0.911253078438667,0.171577619664429,"AM","RD",FALSE
"Trachelospermum_axillare",0.00272498966060691,0.0742104868213912,0.0254657281076467,-0.911253078461085,-0.911253078438667,0.171577619664429,"AM","RD",FALSE
"Alstonia_scholaris",0.00272499051716079,0.0742104883190187,0.0254657563793534,-0.911253232688018,-0.911253078428356,0.171577619661334,"AM","RD",FALSE
"Gentiana_andrewsii",0.00280671324638861,0.0742104990951992,0.0254659635150123,-0.911254355867466,-0.911253091827616,0.171577630354434,"AM","RD",FALSE
"Physalis_virginiana",0.00272505841142912,0.0742106072575694,0.0254680054254162,-0.911265494859679,-0.911253091701054,0.171577630292413,"AM","RD",FALSE
"Withania_frutescens",0.00272504649198425,0.0742105864233596,0.025467612108993,-0.911263349245222,-0.911253091701054,0.171577630292413,"AM","RD",FALSE
"Cestrum_schlechtendalii",0.00272499330966635,0.0742104934692123,0.0254658572952207,-0.91125377641402,-0.911253091250816,0.171577630308971,"AM","RD",FALSE
"Apodytes_dimidiata",0.00330080499063821,0.0742104868212023,0.0254657281030116,-0.91125307843487,-0.911253078435233,0.171577619661334,"AM","RD",FALSE
"Erica_arborea",0.0100772000468053,0.0820223625338123,0.172941400351597,-1.71576037362762,-1.71572070303483,146.936923420532,"ErM","RD",FALSE
"Erica_scoparia",0.0100772071461246,0.0820223691820098,0.172941525858891,-1.71576105829332,-1.71572070303483,146.936923420532,"ErM","RD",FALSE
"Calluna_vulgaris",0.00272498951126853,0.0742104868212023,0.0254657317914681,-0.911253091767639,-0.911253091767622,0.171577630325005,"ErM","RD",FALSE
"Rhododendron_hypoglaucum",0.0100774631779581,0.082022608942024,0.172946052154195,-1.71578575008372,-1.71572070307448,146.936923420559,"ErM","RD",FALSE
"Rhododendron_ponticum",0.0100774631306493,0.0820226089001592,0.172946051352595,-1.71578574570569,-1.71572070303483,146.936923420532,"ErM","RD",FALSE
"Vaccinium_mandarinorum",0.0100774561819128,0.0820226023929704,0.172945928507347,-1.71578507556184,-1.71572070303495,146.936923420532,"ErM","RD",FALSE
"Vaccinium_corymbosum",0.0100774632810319,0.0820226090409804,0.172946054011099,-1.71578576020823,-1.71572070303495,146.936923420532,"ErM","RD",FALSE
"Leptecophylla_juniperina",0.0100774563311431,0.0820226023929704,0.172945924819957,-1.71578506223583,-1.71572068970894,146.936923409871,"ErM","RD",FALSE
"Dracophyllum_longifolium",0.010077455713403,0.0820226019589107,0.172945920312969,-1.71578503085998,-1.71572070240748,146.936923420508,"ErM","RD",FALSE
"Arbutus_unedo",0.00272498836953929,0.0742104868212023,0.0254657281041043,-0.911252331755096,-0.911252434387539,0.171577619664497,"EcM","RD",FALSE
"Clethra_revoluta",0.00272498783873863,0.0742104868217563,0.0254657317906675,-0.911252128585705,-0.911252127559905,0.171577630292413,"AM","RD",FALSE
"Actinidia_kolomikta",0.00719414998688393,0.0820222119444774,0.17293855746681,-1.7157448651608,-1.70359927478292,396.284418254358,"AM","RD",FALSE
"Saurauia_herthae",0.0027249903367192,0.0742104882772851,0.0254657592687388,-0.911253241656088,-0.911253091700837,0.171577630292414,"AM","RD",FALSE
"Symplocos_cochinchinensis",0.00272499013491434,0.0742104882772913,0.0254657555814663,-0.911253022405631,-0.911252978996413,0.171577619631905,"AM","RD",FALSE
"Styrax_suberifolius",0.003300804836665,0.0742104868212024,0.0254657317914699,-0.911253091767649,-0.911253091767284,0.171577630325005,"AM","RD",FALSE
"Halesia_tetraptera",0.00272499039344107,0.0742104883764304,0.0254657611404443,-0.911253251866524,-0.911253091700966,0.171577630292414,"AM","RD",FALSE
"Alniphyllum_fortunei",0.00272499414010741,0.074210494925295,0.0254658847724904,-0.911253926302464,-0.911253091700966,0.171577630292414,"AM","RD",FALSE
"Geissanthus_vanderwerffii",0.00272499179603043,0.0742104934692122,0.0254658535965713,-0.911252799848928,-0.911252114233884,0.171577619631905,"AM","RD",FALSE
"Androsace_occidentalis",0.00272500359617504,0.074210514303422,0.0254662506003842,-0.911254958789444,-0.911252127418191,0.171577630291207,"AM","RD",FALSE
"Ardisia_depressa",0.00272498998328824,0.0742104882772865,0.0254657592799992,-0.911253035797585,-0.911252885633954,0.171577630325005,"AM","RD",FALSE
"Ardisia_quinquegona",0.00272498998068414,0.0742104882772851,0.0254657592687129,-0.911253035730857,-0.911252885570432,0.171577630292486,"AM","RD",FALSE
"Ardisia_japonica",0.00719414998948053,0.0820222119444761,0.172938557478017,-1.71574486522713,-1.7140174446327,292.108681990864,"AM","RD",FALSE
"Embelia_vestita",0.00272498950602548,0.0742104868212023,0.0254657317903755,-0.911253091761178,-0.911253091740142,0.171577630321816,"AM","RD",FALSE
"Myrsine_divaricata",0.00272498785663779,0.0742104868212023,0.0254657317802086,-0.911252139064744,-0.911252138106992,0.171577630292414,"AM","RD",FALSE
"Myrsine_coriacea",0.00272499033671927,0.0742104882772851,0.0254657592687388,-0.911253241656131,-0.911253089515143,0.171577630005494,"AM","RD",FALSE
"Myrsine_australis",0.00272498950603146,0.0742104868212023,0.0254657317904013,-0.911253091761331,-0.911253091740142,0.171577630321817,"AM","RD",FALSE
"Myrsine_andina",0.00272499049093395,0.0742104882772851,0.0254657555813232,-0.911253228329958,-0.91125307837533,0.171577619631904,"AM","RD",FALSE
"Myrsine_seguinii",0.00272504410395991,0.0742105822534617,0.0254675333992737,-0.911262919874287,-0.911253091767412,0.171577630325005,"AM","RD",FALSE
"Diospyros_strigosa",0.00272504806131265,0.0742105889014655,0.0254676552144274,-0.911263591187552,-0.911253078434675,0.171577619661331,"AM","RD",FALSE
"Diospyros_virginiana",0.00272504722827421,0.0742105874453828,0.025467627725924,-0.911263441232639,-0.911253078434675,0.171577619661331,"AM","RD",FALSE
"Eschweilera_tenuifolia",0.00272498966024614,0.0742104868212023,0.0254657281029858,-0.911253078435158,-0.911253078734877,0.171577619652774,"AM","RD",FALSE
"Eschweilera_bracteosa",0.00272504164033625,0.0742105807973728,0.0254675059095871,-0.91126180673873,-0.911252127478335,0.171577630320636,"AM","RD",FALSE
