Genus_species,mycorrhizal state
Amorpha_fruticosa,AMNM
Ampelodesmos_mauritanicus,AM
Amsonia_tabernaemontana,AM
Anabasis_aphylla,NM
Anabasis_salsa,NM
Anacardium_excelsum,AM
Anacardium_occidentale,AM
Anadenanthera_colubrina,AM
Anadenanthera_peregrina,AM
Anagallis_arvensis,AM
Anagallis_tenella,AM
Ananas_comosus,AM
Anaphalis_margaritacea,AM
Anchusa_officinalis,AM
Andropogon_gerardii,AM
Androsace_chamaejasme,NM
Androsace_obtusifolia,AM
Androsace_septentrionalis,AMNM
Androsace_villosa,AMNM
Anemone_narcissiflora,AM
Anemone_sylvestris,AM
Anethum_graveolens,AM
Angelica_archangelica,AM
Angelica_sylvestris,AM
Annona_cherimola,AM
Antennaria_dioica,AM
Anthemis_arvensis,AM
Anthemis_cotula,AM
Anthericum_ramosum,AMNM
Anthocleista_schweinfurthii,AM
Anthonotha_fragrans,EM
Anthonotha_macrophylla,EM
Anthoxanthum_monticola,AMNM
Anthoxanthum_odoratum,AMNM
Anthriscus_cerefolium,AM
Anthriscus_sylvestris,AMNM
Anthyllis_cytisoides,AM
Anthyllis_vulneraria,AMNM
Antirrhinum_majus,AM
Aphanes_arvensis,AM
Aphanocalyx_cynometroides,EM
Apium_graveolens,AM
Apocynum_cannabinum,AM
Aquilegia_vulgaris,AMNM
Arabidopsis_arenosa,AM
Arabidopsis_lyrata,NM
Arabidopsis_thaliana,NM
Arabis_alpina,NM
Arabis_caerulea,NM
Arabis_hirsuta,AMNM
Arachis_hypogaea,AM
Aralia_elata,AMNM
Araucaria_angustifolia,AM
Araucaria_bidwillii,AM
Araucaria_columnaris,AM
Araucaria_cunninghamii,AM
Arbutus_menziesii,EM
Arbutus_unedo,EM
Arctagrostis_latifolia,AM
Arctium_lappa,AMNM
Arctium_minus,AM
Arctous_alpina,EM
Ardisia_crenata,AM
Arenaria_serpyllifolia,NM
Argania_spinosa,AM
Argemone_mexicana,AM
Aristida_adscensionis,AM
Aristida_contorta,AM
Aristida_purpurascens,AM
Aristida_purpurea,AM
Aristotelia_chilensis,AM
Armeria_maritima,AMNM
Armoracia_rusticana,AMNM
Arnica_angustifolia,AM
Arnica_montana,AM
Arrhenatherum_elatius,AMNM
Artemisia_absinthium,AMNM
Artemisia_annua,AM
Artemisia_borealis,NM
Artemisia_campestris,AM
Artemisia_dracunculus,AM
Artemisia_frigida,AM
Artemisia_ludoviciana,AM
Artemisia_princeps,AM
Artemisia_rupestris,AM
Artemisia_scoparia,AM
Artemisia_tilesii,AM
Artemisia_tridentata,AM
Artemisia_vulgaris,AMNM
Arthraxon_hispidus,AM
Artocarpus_altilis,AM
Arum_italicum,AM
Arum_maculatum,AM
Arundinella_hirta,AM
Arundo_donax,AM
Asarum_europaeum,AMNM
Asclepias_incarnata,AM
Asclepias_syriaca,AM
Asclepias_tuberosa,AM
Asparagus_acutifolius,AM
Asparagus_densiflorus,AM
Asparagus_officinalis,AM
Asparagus_setaceus,AM
Asperula_cynanchica,AM
Aspidistra_elatior,AM
Aster_alpinus,AMNM
Aster_amellus,AM
Astragalus_alpinus,NM
Astragalus_cicer,AM
Astragalus_frigidus,NM
Astragalus_glycyphyllos,NM
Astragalus_penduliflorus,AM
Astragalus_umbellatus,NM
Astrantia_major,AMNM
Astrebla_lappacea,AM
Astrocaryum_mexicanum,AM
Astrodaucus_orientalis,NM
Astronium_graveolens,AM
Atraphaxis_pyrifolia,NM
Atraphaxis_spinosa,NM
Atriplex_cana,NM
Atriplex_canescens,AM
Atriplex_dimorphostegia,NM
Atriplex_glabriuscula,NM
Atriplex_halimus,NM
Atriplex_hortensis,NM
Atriplex_littoralis,AMNM
Atriplex_patula,AM
Atriplex_prostrata,NM
Atriplex_rosea,NM
Atriplex_sagittata,AMNM
Atriplex_semibaccata,NM
Atriplex_vesicaria,AM
Atropa_belladonna,AM
Aubrieta_deltoidea,NM
Aucuba_japonica,AM
Austrocedrus_chilensis,AM
Avena_barbata,AM
Avena_fatua,AM
Avena_nuda,AM
Avena_sativa,AMNM
Avena_sterilis,AM
Avena_strigosa,AM
Axonopus_anceps,AM
Azadirachta_indica,AM
Azorella_macquariensis,AM
Baccharis_halimifolia,AM
Bactris_gasipaes,AM
Baldellia_ranunculoides,AM
Balduina_angustifolia,AM
Ballota_nigra,AMNM
Banksia_ericifolia,AM
Baphia_nitida,AM
Baptisia_alba,AM
Baptisia_australis,AM
Baptisia_bracteata,AM
Barbarea_vulgaris,NM
Barringtonia_racemosa,AM
Bartsia_alpina,AMNM
Bastardiopsis_densiflora,AM
Batis_maritima,NM
Bauhinia_forficata,AM
Bauhinia_guianensis,AM
Bebbia_juncea,AM
Beckmannia_syzigachne,AM
Becquerelia_cymosa,AM
Begonia_cathayana,AM
Begonia_diadema,AM
Beilschmiedia_pendula,AM
Bellis_perennis,AMNM
Berberis_darwinii,NM
Berberis_microphylla,AM
Berberis_thunbergii,AM
Berberis_vulgaris,AM
Berkheya_coddii,AM
Berlinia_bracteosa,EM
Berlinia_confusa,EM
Berteroa_incana,NM
Berula_erecta,AMNM
Beta_vulgaris,AM
Betula_alleghaniensis,EM
Betula_costata,EM
Betula_davurica,EM
Betula_ermanii,EM
Betula_fruticosa,EM
Betula_glandulosa,EM
Betula_humilis,EM
Betula_lenta,EM
Betula_nana,EM
Betula_occidentalis,EM
Betula_papyrifera,EM
Betula_pendula,EM
Betula_platyphylla,EM
Betula_populifolia,EM
Betula_pubescens,EM
Betula_schmidtii,EM
Bidens_cosmoides,AM
Bidens_frondosa,AM
Bidens_pilosa,AM
Bidens_sandvicensis,AM
Bidens_tripartita,AMNM
Biscutella_laevigata,AMNM
Blackstonia_perfoliata,AMNM
Blennodia_pterosperma,NM
Boehmeria_zollingeriana,AM
Boerhavia_repens,NM
Bolboschoenus_fluviatilis,AM
Bolboschoenus_maritimus,AMNM
Bombax_ceiba,AM
Bonellia_macrocarpa,AM
Borago_officinalis,AMNM
Bothriochloa_bladhii,AM
Bothriochloa_ischaemum,AM
Bothriochloa_pertusa,AM
Bougainvillea_spectabilis,AMNM
Bouteloua_curtipendula,AM
Bouteloua_gracilis,AM
Brachyloma_daphnoides,AM
Brachypodium_distachyon,AMNM
Brachypodium_pinnatum,AMNM
Brachypodium_retusum,AM
Brachypodium_rupestre,AM
Brachypodium_sylvaticum,AM
Brachystegia_laurentii,EM
Brachystegia_leonensis,EM
Brachystegia_zenkeri,EM
Brassica_juncea,NM
Brassica_napus,AMNM
Brassica_nigra,NM
Brassica_oleracea,AMNM
Brassica_rapa,NM
Breynia_disticha,NM
Breynia_fruticosa,AM
Brighamia_insignis,AM
Briza_maxima,AM
Briza_media,AMNM
Briza_minor,AM
Bromus_arvensis,AM
Bromus_briziformis,AM
Bromus_carinatus,AM
Bromus_catharticus,AM
Bromus_danthoniae,AM
Bromus_erectus,AM
Bromus_hordeaceus,AMNM
Bromus_inermis,AMNM
Bromus_japonicus,AM
Bromus_madritensis,AM
Bromus_remotiflorus,AM
Bromus_riparius,AM
Bromus_rubens,AM
Bromus_scoparius,AM
Bromus_secalinus,AM
Bromus_squarrosus,AM
Bromus_sterilis,AMNM
Bromus_tectorum,AMNM
Brosimum_alicastrum,AM
Brosimum_lactescens,AM
Broussonetia_papyrifera,AM
Buddleja_asiatica,AM
Buddleja_davidii,AMNM
Buglossoides_arvensis,NM
Bulbostylis_barbata,AM
Bulbostylis_densa,AM
Bunias_orientalis,AMNM
Bupleurum_falcatum,AMNM
Bupleurum_lancifolium,AM
Bupleurum_odontites,AM
Bursera_fagaroides,AMNM
Bursera_hindsiana,AM
Bursera_microphylla,AM
Butomus_umbellatus,NM
Buxus_sempervirens,AM
Cabralea_canjerana,AM
Caesalpinia_pannosa,AM
Cajanus_cajan,AM
Cakile_maritima,AMNM
Caladium_bicolor,AM
Calamagrostis_arundinacea,AM
Calamagrostis_epigeios,AM
Calamagrostis_pseudophragmites,AM
Calamagrostis_villosa,AM
Calamovilfa_longifolia,AM
Calathea_leopardina,AM
Calceolaria_crenatiflora,AM
Calceolaria_polyrrhiza,AM
Calendula_officinalis,AMNM
Calla_palustris,NM
Calliandra_eriophylla,AM
Callistephus_chinensis,AMNM
Callitriche_cophocarpa,NM
Callitriche_hamulata,AMNM
Callitriche_palustris,NM
Callitriche_stagnalis,NM
Callitris_endlicheri,AM
Callitris_rhomboidea,AM
Calocedrus_decurrens,AM
Calophyllum_soulattri,AM
Calopogonium_caeruleum,AM
Calopogonium_mucunoides,AM
Calotropis_gigantea,AM
Caltha_palustris,AMNM
Calystegia_sepium,AM
Calystegia_soldanella,NM
Camelina_microcarpa,AMNM
Campanula_alpina,AM
Campanula_bellidifolia,AM
Campanula_collina,AMNM
Campanula_glomerata,AMNM
Campanula_lasiocarpa,AM
Campanula_latifolia,AM
Campanula_patula,AM
Campanula_persicifolia,AMNM
Campanula_punctata,AM
Campanula_rapunculoides,AM
Campanula_rotundifolia,AMNM
Campanula_saxifraga,NM
Campanula_sibirica,AM
Campanula_thyrsoides,AM
Campanula_trachelium,AMNM
Campanula_tridentata,AM
Canarium_schweinfurthii,AM
Canavalia_rosea,AM
Canna_indica,NM
Cannabis_sativa,AM
Capsicum_annuum,AM
Caragana_arborescens,AMNM
Caragana_pygmaea,AM
Carapa_guianensis,AM
Cardamine_amara,NM
Cardamine_bellidifolia,NM
Cardamine_bulbifera,AMNM
Cardamine_concatenata,NM
Cardamine_corymbosa,NM
Cardamine_flexuosa,AMNM
Cardamine_hirsuta,AMNM
Cardamine_impatiens,NM
Cardamine_pratensis,NM
Cardamine_trifolia,NM
Cardamine_uliginosa,NM
Carduus_acanthoides,AM
Carduus_nutans,AM
Carex_acuta,NM
Carex_acutiformis,NM
Carex_alba,NM
Carex_amphibola,NM
Carex_annectens,AM
Carex_aphylla,NM
Carex_aquatilis,NM
Carex_arenaria,AMNM
Carex_atrata,NM
Carex_aurea,AM
Carex_baccans,AM
Carex_bicknellii,AM
Carex_bigelowii,NM
Carex_blanda,AM
Carex_brevior,AM
Carex_buxbaumii,AMNM
Carex_canescens,NM
Carex_capillaris,NM
Carex_capitata,NM
Carex_caryophyllea,NM
Carex_cephalophora,AM
Carex_cespitosa,NM
Carex_chordorrhiza,NM
Carex_cristatella,AM
Carex_davalliana,AM
Carex_diandra,NM
Carex_diluta,NM
Carex_dioica,NM
Carex_distans,NM
Carex_disticha,AMNM
Carex_divulsa,AM
Carex_duriuscula,NM
Carex_ebenea,NM
Carex_echinata,NM
Carex_enervis,NM
Carex_ericetorum,NM
Carex_ferruginea,AMNM
Carex_filifolia,NM
Carex_flacca,AMNM
Carex_flava,AMNM
Carex_fuliginosa,NM
Carex_fuscula,AM
Carex_gayana,NM
Carex_globularis,NM
Carex_granularis,AM
Carex_gravida,AM
