source, https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2745.13412
phylo.name,photosynthetic.pathway,avg.RGR,leaf.N,leaf.C,SLA,LDMC,leaf.PC1,leaf.PC2,root.N,root.C,SRL,SRA,root.avg.diam.mm,root.PC1,root.PC2
Eragrostis_mexicana,C4,0.071191068,0.525795962,3.766529923,5.605534264,3.257791411,0.296147076,0.141787426,-0.203000064,3.824570823,9.43965523,6.812715701,-1.425555075,-0.034341975,-0.376657279
Eragrostis_pectinacea,C4,0.089710533,1.108530043,3.779008403,5.687928893,3.030557285,-0.040808931,-0.594720598,-0.196453807,3.810782278,9.773803114,7.304541432,-1.290984181,-0.304891037,-0.194742919
Eragrostis_pilosa,C4,0.165739259,0.496753892,3.78213154,5.559816245,3.218923208,0.348744031,0.06804207,-0.330602614,3.83736672,9.844072331,7.262713721,-1.402322122,-0.422453614,-0.491627802
Eragrostis_superba,C4,0.044230882,0.726035993,3.771573007,5.749687156,3.167405925,0.0680091,-0.146993367,-0.363753087,3.808908137,8.608675245,6.449819197,-0.975510092,0.921472896,-0.48568498
Eragrostis_unioloides,C4,0.177845552,0.595948974,3.793219249,5.305982643,3.465765616,0.824514125,-0.062831479,-0.2545445,3.740916915,9.721495915,7.147372584,-1.38859701,-0.17875663,0.097952518
Eremopyrum_triticeum,C3,0.02995471,1.257444632,3.784674135,5.769196965,3.141555248,-0.013654694,-0.8220609,0.253165722,3.76437051,9.555726035,7.16501416,-1.229119687,-0.08675102,0.489435436
Eriachne_aristidea,C4,0.050198327,0.987118445,3.767617646,5.603404739,3.095240442,0.080534589,-0.357615609,NA,NA,NA,NA,NA,NA,NA
Eriochloa_meyeriana,C4,0.168939221,0.862412503,3.728578779,5.960341562,2.951912551,-0.465018407,-0.017698966,0.261629732,3.806491852,9.561406664,7.109676823,-1.291802698,-0.169983919,0.250116484
Fingerhuthia_africana,C4,0.089631212,0.997620262,3.763973145,5.212518909,3.283500681,0.593597365,-0.244172098,-0.316517534,3.824980098,8.938479413,6.753316571,-1.018669586,0.558932691,-0.475492594
Heteropogon_contortus,C4,0.063803311,0.731809882,3.747989055,5.559850576,3.213836585,0.212393561,0.073616359,-0.121672056,3.7887636,9.655785834,7.076549273,-1.419925437,-0.222764604,-0.05044421
Hordeum_comosum,C3,0.122747462,1.220899717,3.744423839,5.294290703,3.110563474,0.269435653,-0.353118222,0.540490842,3.744253477,9.585031343,7.178935724,-1.249231711,-0.134731892,0.888800686
Hordeum_spontaneum,C3,0.004729252,1.152169169,3.730036895,5.487751501,3.000469947,-0.03739282,-0.217996106,0.1956666,3.773320654,8.984126094,6.806124052,-1.00624963,0.522995883,0.333124899
Hordeum_vulgare,C3,0.148010552,1.267684141,3.702129492,5.623572407,2.95193676,-0.300221237,-0.165367553,0.695037066,3.754233481,9.192080119,6.903723825,-1.135380013,0.235304573,0.945553827
Hymenachne_amplexicaulis,C3,0.067409232,0.994654275,3.648877273,5.767197797,2.842311368,-0.643439957,0.496514044,NA,NA,NA,NA,NA,NA,NA
Ischaemum_rugosum,C4,0.043018662,0.673596085,3.765972738,5.707526455,3.079246194,0.013849568,-0.034776814,-0.410636303,3.836883365,9.616112185,7.18584424,-1.268507452,-0.164118648,-0.574234395
Koeleria_cristata,C3,-0.012366114,1.173587226,3.771225243,5.42304994,3.375326246,0.488425319,-0.545922637,NA,NA,NA,NA,NA,NA,NA
Leptochloa_dubia,C4,0.068899148,0.815495641,3.735163153,5.619339994,3.329414734,0.21998363,0.061886026,-0.010366386,3.835284182,9.744838473,7.356775012,-1.22732673,-0.325938358,-0.130861711
