"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","trait","cd"
"Lithocarpus_rigidus2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.78144607495143,1.179310612307,"EcM","SRL",TRUE
"Lithocarpus_lampadarius2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.78144607507417,1.17931061230566,"EcM","SRL",TRUE
"Lithocarpus_confertus2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.78144607513553,1.179310612305,"EcM","SRL",TRUE
"Lithocarpus_clementianus2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.78144607489007,1.17931061230767,"EcM","SRL",TRUE
"Lithocarpus_chiungchungensis2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.7814460750128,1.17931061230634,"EcM","SRL",TRUE
"Lithocarpus_fenestratus2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.78144607513553,1.179310612305,"EcM","SRL",TRUE
"Lithocarpus_cleistocarpus2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.78144607513553,1.179310612305,"EcM","SRL",TRUE
"Fagus_sylvatica2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.78144607489007,1.17931061230767,"EcM","SRL",TRUE
"Fagus_grandifolia2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.78144607495144,1.179310612307,"EcM","SRL",TRUE
"Fagus_engleriana2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.78144607495144,1.179310612307,"EcM","SRL",TRUE
"Nothofagus_solandri2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.7814197855453,1.17931241782105,"EcM","SRL",TRUE
"Nothofagus_menziesii2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.7814197855453,1.17931241782105,"EcM","SRL",TRUE
"Nothofagus_fusca2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.7814197855453,1.17931241782105,"EcM","SRL",TRUE
"Nothofagus_obliqua2",0.00112906782249411,0.0621609763162446,0.147064219450544,3.78154901748043,3.7814197855453,1.17931241782105,"EcM","SRL",TRUE
"Hypericum_perforatum2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Cratoxylum_cochinchinense2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Garcinia_cowa2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Garcinia_oblongifolia2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Salix_gordejevii2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.21694563065119,1.3921650527055,"EcMAM","SRL",TRUE
