binominal,state,reference
Iris japonica,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Itea chinensis,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Juglans mandshurica,AM,FungalRoot
Juglans nigra,AM,FungalRoot
Juniperus monosperma,AM,FungalRoot
Juniperus sabina,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Akhmetzhanova et al. 2012', 'Mycorrhizal Intensity Database Across the Former Soviet Union', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Knema erratica,AM,"['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'FRED - Fine Root Ecology Database']"
Koelreuteria paniculata,AM,"[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'FRED - Fine Root Ecology Database', 'Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.']"
Lamium album,AM/NM,FungalRoot
Larix gmelinii,EcM,FungalRoot
Lespedeza bicolor,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Akhmetzhanova et al. 2012', 'Mycorrhizal Intensity Database Across the Former Soviet Union', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Lespedeza thunbergii,AM,FungalRoot
Lindera communis,AM,"['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'FRED - Fine Root Ecology Database']"
Lindera obtusiloba,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Liquidambar formosana,AM,"['Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.', 'FRED - Fine Root Ecology Database']"
Liquidambar styraciflua,AM,"[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Wang&Qiu2006', 'Mycorrhizal Intensity Database Across the Former Soviet Union', 'Taylor MK, Lankau RA, Wurzburger N. 2016. Mycorrhizal associations of trees have different indirect effects on organic matter decomposition. Journal of Ecology 104: 1576-1584.']"
Liriodendron chinense,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'Akhmetzhanova et al. 2012', 'Mycorrhizal Intensity Database Across the Former Soviet Union', 'Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']"
Liriodendron tulipifera,AM,"['Adams TS, McCormack ML, Eissenstat DM. 2013. Foraging strategies in trees of different root morphology: the role of root lifespan. Tree physiology 33:940-948.', ' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Wang&Qiu2006', 'Global 15N Database']"
Lithocarpus chiungchungensis,EcM,FungalRoot
Lithocarpus cleistocarpus,EcM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Lithocarpus fenestratus,EcM,"['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'FRED - Fine Root Ecology Database']"
Litsea baviensis,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Litsea cubeba,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Litsea elongata,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Litsea ichangensis,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Litsea verticillata,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Lonicera chrysantha,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Macaranga sampsonii,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database', 'Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']"
Machilus breviflora,AM,"['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'FRED - Fine Root Ecology Database']"
Machilus kwangtungensis,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Machilus nanmu,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Machilus oculodracontis,AM,"['Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.', 'FRED - Fine Root Ecology Database']"
Machilus robusta,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Machilus shweliensis,AM,"['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'FRED - Fine Root Ecology Database']"
Machilus velutina,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Macropanax undulatus,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database', 'Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12']"
Magnolia acuminata,AM,"[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'FRED - Fine Root Ecology Database', 'Eissenstat DM, Kucharski JM, Zadworny M, Adams TS, Koide RT. 2015. Linking root traits to nutrient foraging in arbuscular mycorrhizal trees in a temperate forest. New Phytologist 208: 114-121']"
Magnolia baillonii,AM,"['Long Y, Kong D, Chen Z, Zeng H. 2013. Variation of the linkage of root function with root branch order. PLoS ONE 8: e57153. Doi:10.1371/journal.pone.0057153', 'Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Magnolia balansae,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Magnolia cavaleriei,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Magnolia champaca,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Magnolia championii,AM,"['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'FRED - Fine Root Ecology Database']"
Magnolia chapensis,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Magnolia dandyi,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Magnolia denudata,AM,"[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'FRED - Fine Root Ecology Database', 'Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.']"
Magnolia ernestii,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Magnolia fulva,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Magnolia grandiflora,AM,"[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Akhmetzhanova et al. 2012', 'Mycorrhizal Intensity Database Across the Former Soviet Union', 'Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']"
Magnolia kobus,AM,"[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Akhmetzhanova et al. 2012', 'Mycorrhizal Intensity Database Across the Former Soviet Union', 'Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.']"
Magnolia lotungensis,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Magnolia macclurei,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Magnolia macrophylla,AM,"[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'FRED - Fine Root Ecology Database', 'Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.']"
Magnolia maudiae,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Magnolia odora,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Magnolia opipara,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Magnolia stellata,AM,"[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'FRED - Fine Root Ecology Database', 'Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.']"
Magnolia tripetala,AM,"[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Akhmetzhanova et al. 2012', 'Mycorrhizal Intensity Database Across the Former Soviet Union', 'Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.']"
Magnolia virginiana,AM,"[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Akhmetzhanova et al. 2012', 'Mycorrhizal Intensity Database Across the Former Soviet Union', 'Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.']"
Magnolia yunnanensis,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Magnolia yuyuanensis,AM,"['Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.', 'FRED - Fine Root Ecology Database']"
Mallotus paniculatus,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Malus baccata,AM,FungalRoot
Malus domestica,AM,"['Lavely EL, Chen W, Peterson KA, Klodd AE, Volder E, Marini RP, Eissenstat D. 2020. On characterizing root function in perennial horticultural crops. American Journal of Botany', 'Wang&Qiu2006', 'Mycorrhizal Intensity Database Across the Former Soviet Union']"
Manglietia paruicula,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Matteuccia struthiopteris,AM,FungalRoot
Melicope pteleifolia,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database', 'Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12']"
Memecylon nigrescens,AM,"['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'FRED - Fine Root Ecology Database']"
Microcos paniculata,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Microtropis discolor,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Millettia leptobotrya,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database', 'Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12']"
Myrsine seguinii,AM,"['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'FRED - Fine Root Ecology Database']"
Nabalus tatarinowii,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Neolitsea phanerophlebia,AM,"['Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.', 'FRED - Fine Root Ecology Database']"
Nephelium lappaceum,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Nyssa aquatica,AM,FungalRoot
Nyssa sylvatica,AM,"[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'FRED - Fine Root Ecology Database', 'Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.']"
Ocotea lancifolia,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']"
Olea rosea,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Onoclea sensibilis,AM,"['Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.', 'Wang&Qiu2006']"
Oreocnide frutescens,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Orophea creaghii,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database', 'Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12']"
Osmanthus didymopetalus,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Osmunda japonica,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang&Qiu2006', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Parthenocissus quinquefolia,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Pentaphylax euryoides,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'FRED - Fine Root Ecology Database']"
Pertusadina metcalfii,AM,"['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']"
Phellodendron amurense,AM,FungalRoot
Philadelphus incanus,AM,FungalRoot
Phlomoides umbrosa,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Picea glauca,EcM,"['Pregitzer KS, DeForest JL, Burton AJ, Allen MF, Ruess RW, Hendrick RL. 2002. Fine root architecture of nine North American trees. Ecological Monographs 72: 293-309.', 'Wang&Qiu2006', 'Mycorrhizal Intensity Database Across the Former Soviet Union', 'FRED - Fine Root Ecology Database']"
