binominal,F01286,F01287,F00645,F00679,F00727
Rhamnus davurica,Rhamnus,davurica,AMNM,0.1805,180.7463913
Rhaphiolepis indica,Rhaphiolepis,indica,AM,0.14481,86.79
Rhododendron hypoglaucum,Rhododendron,hypoglaucum,ErM,0.142675,163.4402532
Rhodoleia championii,Rhodoleia,championii,AM,0.305,46.556
Rosa acicularis,Rosa,acicularis,AM,0.2912,55.8341358
Rosa xanthina,Rosa,xanthina,AM,0.1844,186.3612731
Rubus crataegifolius,Rubus,crataegifolius,AM,0.1511,283.6918182
Rubus idaeus,Rubus,idaeus,AM,0.18105,171.7289074
Rubus irritans,Rubus,irritans,AM,0.177,192.6685185
Rubus rosifolius,Rubus,rosifolius,AM,0.1182833,319.4613514
Salix caprea,Salix,caprea,AMEM,0.114778325,126.5460541
Salix pierotii,Salix,pierotii,AM,0.223677975,170.7865423
Salix viminalis,Salix,viminalis,AMEM,0.1407333,318.6970162
Salvia chinensis,Salvia,chinensis,AM,0.1592,329.3590909
Sambucus williamsii,Sambucus,williamsii,AM,0.3187065215,128.8462327
Sanguisorba officinalis,Sanguisorba,officinalis,AM,0.396125,49.53
Sanicula orthacantha,Sanicula,orthacantha,AM,0.194725,151.7144068
Saprosma ternatum,Saprosma,ternatum,AM,0.14506,116.95
Sassafras albidum,Sassafras,albidum,AM,0.546357592,16.483576665999998
Saussurea amurensis,Saussurea,amurensis,AM,0.2011,245.9616667
Saussurea mongolica,Saussurea,mongolica,AM,0.2174,150.705102
Saussurea nivea,Saussurea,nivea,AM,0.2677,117.4566
Schefflera heptaphylla,Schefflera,heptaphylla,AM,0.27055,157.4859091
Schefflera minutistellata,Schefflera,minutistellata,AM,0.33263,37.91
Schima superba,Schima,superba,AM,0.20551109999999997,139.6830414
Schima wallichii,Schima,wallichii,AM,0.23986,98.43
Schoepfia jasminodora,Schoepfia,jasminodora,NM,0.19095,81.48262136
Smilax trinervula,Smilax,trinervula,AM,0.3091333,109.7159016
Solidago decurrens,Solidago,decurrens,AM,0.248225,202.88375
Sorbus aucuparia,Sorbus,aucuparia,AM,0.198026316,59.77889504
Spiraea dahurica,Spiraea,dahurica,AM,0.1222667,290.9055016
Spiraea pubescens,Spiraea,pubescens,AM,0.3721,150.1653333
Sterculia lanceolata,Sterculia,lanceolata,AM,0.24482834999999997,98.13110215
Sterculia nobilis,Sterculia,nobilis,AM,0.249752475,96.32
Strobilanthes dimorphotricha,Strobilanthes,dimorphotricha,AM,0.2688,136.4411732
Strobilanthes villosum,Strobilanthes,villosum,AM,0.2319556,187.4048069
Styphnolobium japonicum,Styphnolobium,japonicum,AM,0.28424425,36.817559200000005
Styrax suberifolius,Styrax,suberifolius,AM,0.27965,54.45407407
Syringa reticulata,Syringa,reticulata,AM,0.2351224345,117.64142561666667
Syzygium acuminatissimum,Syzygium,acuminatissimum,AM,0.34,47.12491803
Syzygium globiflorum,Syzygium,globiflorum,AM,0.19611,40.88
Syzygium hancei,Syzygium,hancei,AM,0.1397099185,94.50055374
Syzygium jambos,Syzygium,jambos,EM,0.22475,144.2353309
Syzygium levinei,Syzygium,levinei,AM,0.14634999999999998,122.6715
Syzygium szemaoense,Syzygium,szemaoense,AM,0.195,59.37103448
Thalictrum simplex,Thalictrum,simplex,AM,0.1997,259.0515625
Tilia amurensis,Tilia,amurensis,EM,0.2074,131.046438
Tilia cordata,Tilia,cordata,EM,0.312476868,33.15790831
Tilia mandshurica,Tilia,mandshurica,AM,0.268273241,87.05811174
Tilia mongolica,Tilia,mongolica,EM,0.186502347,68.711451
Tilia oliveri,Tilia,oliveri,EM,0.206975,149.6261111
Trachelospermum axillare,Trachelospermum,axillare,AM,0.2914,77.518501835
Ulmus americana,Ulmus,americana,AM,0.159790555,71.7698153
Ulmus davidiana,Ulmus,davidiana,AM,0.228679918,117.0544180325
Ulmus laciniata,Ulmus,laciniata,EM,0.120857901,134.1510846
Ulmus macrocarpa,Ulmus,macrocarpa,AM,0.222440945,65.21726451
Ulmus pumila,Ulmus,pumila,AM,0.2162291555,114.54961012999999
Vaccinium mandarinorum,Vaccinium,mandarinorum,ErM,0.07812,106.71
Veratrum nigrum,Veratrum,nigrum,AM,0.3396,126.313532905
Veronica spuria,Veronica,spuria,AM,0.1867,226.9158333
Vitis amurensis,Vitis,amurensis,AM,0.27505,104.01133692
Wendlandia uvariifolia,Wendlandia,uvariifolia,AM,0.22417,45.27
