binominal,F00679,F00727
Carpinus cordata,0.146527778,63.68610264
Betula dahurica,0.258634021,47.44506081
Lithocarpus fenestratus,0.595625,13.835
Quercus aliena,0.145121951,88.85481998
Quercus variabilis,0.13962585,80.16390306
Quercus wutaishanica,0.130900621,78.57326541
Aidia oxyodonta,0.074522293,190.86
Ginkgo biloba,0.677,19.926
Fraxinus chinensis,0.317857143,47.680269
Fraxinus chinensis,0.4225,36.1542
Syringa reticulata,0.285962567,105.8357065
Cryptocarya concinna,0.43775,33.09776591
Machilus breviflora,0.442438272,28.44444444
Machilus shweliensis,0.400120192,37.169
Ocotea lancifolia,0.339660494,37.86637931
Cinnamomum camphora,0.4109375,72.38667315
Lindera communis,0.395,38.76733436
Goniothalamus griffithii,0.614634146,16.58542002
Liriodendron chinense,0.585,23.294
Magnolia championii,0.543,31.403
Magnolia macclurei,0.485119048,27.7767778
Magnolia maudiae,0.583,27.663
Magnolia ernestii,0.813,13.978
Magnolia odora,0.591,18.5
Knema erratica,0.848165138,4.774158719
Populus cathayana,0.145,110.6739334
Salix caprea,0.114778325,126.5460541
Alchornea tiliifolia,0.15,280.467
Macaranga sampsonii,0.20530303,159.4340401
Sterculia nobilis,0.249752475,96.32
Tilia mandshurica,0.3544,75.74224494
Tilia mongolica,0.186502347,68.711451
Memecylon nigrescens,0.20275974,88.05012329
Syzygium hancei,0.133739837,88.70110748
Syzygium levinei,0.174,126.493
Syzygium szemaoense,0.195,59.37103448
Larix gmelinii,0.322222222,41.727
Picea meyeri,0.279044118,48.49432024
Picea wilsonii,0.264039409,66.49294054
Pinus armandii,0.268060201,43.01400822
Pinus tabuliformis,0.314384921,37.3905492
Dacrycarpus imbricatus,0.489705882,38.3874209
Ulmus macrocarpa,0.222440945,65.21726451
Ulmus davidiana,0.25474537,61.11342593
Malus baccata,0.235897436,71.42969735
Pyrus betulifolia,0.476089015,17.68724614
Sanguisorba officinalis,0.396125,49.53
Sorbus aucuparia,0.198026316,59.77889504
Aphanamixis polystachya,0.173529412,172.2821657
Dysoxylum excelsum,0.886523438,9.100844511
Acronychia pedunculata,0.294,91.167
Canarium album,0.211538462,77.80496427
Acer davidii,0.238794886,108.3036705
Acer truncatum,0.257219251,59.2477843
Rhodoleia championii,0.305,46.556
Dicranopteris linearis,0.1968,75.1
Acacia auriculiformis,0.28647,60.96
Gordonia axillaris,0.5399,17.68
Cunninghamia lanceolata,0.55809,48.68
Magnolia baillonii,0.5745,19.33
Endospermum chinense,0.74889,6.57
Cryptocarya chinensis,0.98223,7.51
Abies fargesii,0.294540991,31.0175474
Abies fargesii,0.316529811,25.86934664
Abies fargesii,0.260288154,33.19223551
Abies fargesii,0.256497349,26.84355543
Abies fargesii,0.255547392,31.42458097
Abies fargesii,0.255431065,44.10332638
Abies fargesii,0.28025092,25.54120579
Abies fargesii,0.28014428,27.24959904
Quercus robur,0.217899036,32.6153977
Quercus robur,0.214008015,40.61539673
Quercus robur,0.268482749,40.92308967
Quercus robur,0.191406459,22.88661242
Quercus robur,0.207031487,37.11341534
Quercus robur,0.289062757,42.37114608
Acer negundo,0.24,39.3
Acer negundo,0.22,45.8
Acer negundo,0.22,48.47
Acer rubrum,0.24,42.25
Acer rubrum,0.27,46.63
Acer rubrum,0.26,49.71
Acer saccharum,0.23,39.96
Acer saccharum,0.2,50.14
Acer saccharum,0.24,45.17
Carya glabra,0.18,99.01
Carya glabra,0.16,81.28
Carya glabra,0.14,92.64
Juglans nigra,0.32,14.34
Juglans nigra,0.25,24.87
Juglans nigra,0.27,21.37
Liriodendron tulipifera,0.66,10.2
Liriodendron tulipifera,0.68,7.55
Pinus strobus,0.19,58.7
Pinus strobus,0.28,23.6
Pinus strobus,0.31,18.02
Pinus virginiana,0.23,35.51
Pinus virginiana,0.21,34.31
Pinus virginiana,0.25,29.62
Populus tremuloides,0.17,61.61
Populus tremuloides,0.16,64.89
Populus tremuloides,0.17,68.97
Quercus alba,0.21,37.93
Quercus alba,0.16,81.12
Quercus alba,0.15,92.23
Quercus rubra,0.15,70.28
Quercus rubra,0.15,67.37
Quercus rubra,0.2,54.94
Sassafras albidum,0.44,14.07
Sassafras albidum,0.56,15.15
Sassafras albidum,0.62,12.17
Pinus elliottii,0.31,50.24666667
Pinus elliottii,0.313333333,42.66666667
Pinus elliottii,0.316666667,47.61333333
Pinus elliottii,0.313333333,47.51666667
Pinus elliottii,0.31,48.20333333
Salix gordejevii,0.14,191.69
Artemisia halodendron,0.36,16.32
Caragana microphylla,0.41,25.04
Pinus sylvestris,0.28118,37.14224201
Pinus sylvestris,0.2998,31.77032902
Pinus sylvestris,0.24323,39.69512859
Pinus sylvestris,0.275875,34.10184768
Pinus sylvestris,0.288825,33.13753691
Pinus sylvestris,0.27282,33.15591119
Pinus sylvestris,0.36115,24.50542736
Pinus sylvestris,0.3472,26.67207009
Pinus sylvestris,0.29815,29.74783476
Pinus sylvestris,0.33768,23.38915612
Pinus sylvestris,0.34134,22.75353781
Pinus sylvestris,0.314925,21.28931401
Pinus sylvestris,0.326755556,21.18796564
Pinus sylvestris,0.288611111,26.75887283
Pinus sylvestris,0.25466,38.394499
Pinus sylvestris,0.28378,33.33028524
Pinus sylvestris,0.28862,36.80789014
Pinus sylvestris,0.31838,30.6856032
Pinus sylvestris,0.34926,32.59487474
Pinus sylvestris,0.42388,26.7465868
Pinus sylvestris,0.38606,27.68299078
Pinus sylvestris,0.39246,26.02177348
Pinus sylvestris,0.34764,34.47544114
Pinus sylvestris,0.36534,28.67741112
Pinus sylvestris,0.3744,25.90437706
Pinus sylvestris,0.34174,37.29363652
Pinus sylvestris,0.38152,31.07990984
Pinus sylvestris,0.3196,37.38172844
Pinus sylvestris,0.40258,28.07065808
Pinus sylvestris,0.47286,21.32683038
Cupressus funebris,0.356493654,20.64308905
Cupressus funebris,0.374026214,23.24759153
Cupressus funebris,0.409091246,23.05466635
Cupressus funebris,0.3740264,19.38907312
Cunninghamia lanceolata,0.43,13.8
Cunninghamia lanceolata,0.375308898,13.59336325
Cunninghamia lanceolata,0.487243204,14.2655628
Cunninghamia lanceolata,0.238016529,15.92307692
Cunninghamia lanceolata,0.297520661,12.46153846
Chamaecyparis obtusa,0.302511446,46.1327245
Chamaecyparis obtusa,0.485159913,14.55377788
Chamaecyparis obtusa,0.353881515,27.18535798
Acer pictum,0.290969928,80.20067539
Acer pictum,0.309699051,86.88964402
Acer pictum,0.340468304,91.90636946
Acer pictum,0.331103775,89.89968331
Acer pictum,0.300334564,83.87962027
Acer pictum,0.319063674,85.21741425
Acer pictum,0.319063687,88.22744749
Acer pictum,0.340468376,91.23747991
Acer pictum,0.260200848,77.19066567
Acer pictum,0.270903196,77.85956251
Acer pictum,0.298996841,79.53180299
Acer pictum,0.31906373,82.876283
Acer pictum,0.309699191,84.21407508
Acer pictum,0.31906374,84.54852327
Acer pictum,0.319063744,84.88297142
Acer pictum,0.300334661,88.56189862
Acer pictum,0.331103878,93.24416936
Acer pictum,0.340468423,92.90972153
Acer pictum,0.340468425,93.57861738
Acer pictum,0.368562054,98.59533578
Acer pictum,0.28963234,88.56189907
Acer pictum,0.331103888,89.23079491
Acer pictum,0.33110389,90.90303443
