F00679,F00727,F00261,F00709,F00043,F00056,F00645,F00004,F01286,F01287,F01289,F01290
0.347823625,21.43543625,12.0192351,0.50898884,C3,2.0,EM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Carpinus,betulus,Betulaceae,Fagales
0.704766949,11.38760022,9.230775838,0.448314734,C3,3.0,EM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Carpinus,betulus,Betulaceae,Fagales
0.312476868,33.15790831,11.82692625,0.562921379,C3,1.0,EM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Tilia,cordata,Malvaceae,Malvales
0.50093012,11.05266418,10.0000056,0.559550597,C3,2.0,EM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Tilia,cordata,Malvaceae,Malvales
0.612903079,5.358894776,8.55769938,0.633707838,C3,3.0,EM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Tilia,cordata,Malvaceae,Malvales
0.344,60.677714,14.3391667,0.086,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Acer,saccharum,Sapindaceae,Sapindales
0.36775,24.0524132,12.2986667,0.14,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Acer,saccharum,Sapindaceae,Sapindales
0.919125,5.16350841,10.134375,0.31,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Acer,saccharum,Sapindaceae,Sapindales
0.45175,19.4551804,12.1345,0.16,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Aesculus,hippocastanum,Sapindaceae,Sapindales
0.48,9.92951525,8.974375,0.24,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Aesculus,hippocastanum,Sapindaceae,Sapindales
1.317925,2.7591755,7.22125,0.29,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Aesculus,hippocastanum,Sapindaceae,Sapindales
0.3575,43.1980697,13.0635,0.104,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Aesculus,parviflora,Sapindaceae,Sapindales
0.5805,19.6526146,8.493,0.19,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Aesculus,parviflora,Sapindaceae,Sapindales
0.8677,6.90754736,7.0395,0.26,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Aesculus,parviflora,Sapindaceae,Sapindales
0.87266667,13.5497083,25.1578333,0.167,,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Asimina,triloba,Annonaceae,Magnoliales
0.867,10.5947483,23.0045,0.16,,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Asimina,triloba,Annonaceae,Magnoliales
1.30493333,4.65407239,20.6868333,0.18,,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Asimina,triloba,Annonaceae,Magnoliales
