binominal,F01286,F01287,F00679,F00727
Magnolia macrophylla,Magnolia,macrophylla,0.649202055,12.89750285
Magnolia maudiae,Magnolia,maudiae,0.60317,20.65447826
Magnolia odora,Magnolia,odora,0.566552686,20.3519985075
Magnolia opipara,Magnolia,opipara,0.56288,12.67
Magnolia stellata,Magnolia,stellata,0.43328456000000004,31.164053350000003
Magnolia tripetala,Magnolia,tripetala,0.507611895,17.9969887
Magnolia virginiana,Magnolia,virginiana,0.59429524,20.130442199999997
Magnolia yunnanensis,Magnolia,yunnanensis,0.72074,17.24
Magnolia yuyuanensis,Magnolia,yuyuanensis,0.51,35.8
Mallotus paniculatus,Mallotus,paniculatus,0.2358,97.12113636
Malus baccata,Malus,baccata,0.235897436,71.42969735
Malus domestica,Malus,domestica,0.1845,56.397588453333334
Manglietia paruicula,Manglietia,paruicula,0.50389,21.82
Matteuccia struthiopteris,Matteuccia,struthiopteris,0.25297936099999996,178.45521084
Melicope pteleifolia,Melicope,pteleifolia,0.25397,97.19
Memecylon nigrescens,Memecylon,nigrescens,0.20275974,88.05012329
Microcos paniculata,Microcos,paniculata,0.11685,115.38
Microtropis discolor,Microtropis,discolor,0.45889,79.59
Millettia leptobotrya,Millettia,leptobotrya,0.34158,25.62
Myrsine seguinii,Myrsine,seguinii,0.282291667,56.47293753
Nabalus tatarinowii,Nabalus,tatarinowii,0.1784,342.7914286
Neolitsea phanerophlebia,Neolitsea,phanerophlebia,0.52,36.8
Nephelium lappaceum,Nephelium,lappaceum,0.15885,58.45
Nyssa aquatica,Nyssa,aquatica,0.18002592,13.57333333
Nyssa sylvatica,Nyssa,sylvatica,0.87833333,13.5728051
Ocotea lancifolia,Ocotea,lancifolia,0.34881024699999996,33.968189655
Olea rosea,Olea,rosea,0.39436,28.91
Onoclea sensibilis,Onoclea,sensibilis,0.250080285,148.0892597
Oreocnide frutescens,Oreocnide,frutescens,0.2392,94.0809434
Orophea creaghii,Orophea,creaghii,0.39934,45.31
Osmanthus didymopetalus,Osmanthus,didymopetalus,0.71949,4.42
Osmunda japonica,Osmunda,japonica,0.418775,23.52217391
Parthenocissus quinquefolia,Parthenocissus,quinquefolia,0.1757667,152.6108108
Pentaphylax euryoides,Pentaphylax,euryoides,0.12066,97.84
Pertusadina metcalfii,Pertusadina,metcalfii,0.15444,99.96
Phellodendron amurense,Phellodendron,amurense,0.4984083738571429,36.43878731428571
Philadelphus incanus,Philadelphus,incanus,0.19019999999999998,176.7733599
Phlomoides umbrosa,Phlomoides,umbrosa,0.24455,122.8399898
Picea glauca,Picea,glauca,0.23,39.0
Picea koraiensis,Picea,koraiensis,0.3279288185,54.366752715000004
Picea meyeri,Picea,meyeri,0.279044118,48.49432024
Picea wilsonii,Picea,wilsonii,0.264039409,66.49294054
Pinus armandii,Pinus,armandii,0.27813635049999996,45.195959009999996
Pinus edulis,Pinus,edulis,0.38,20.0
Pinus elliottii,Pinus,elliottii,0.30055555549999996,45.20777777833334
Pinus koraiensis,Pinus,koraiensis,0.4912225062,23.823450728
Pinus massoniana,Pinus,massoniana,0.2909,59.85230769
Pinus palustris,Pinus,palustris,0.35,32.9
Pinus pumila,Pinus,pumila,0.2823,53.1400472
Pinus resinosa,Pinus,resinosa,0.25,32.0
Pinus strobus,Pinus,strobus,0.26,33.440000000000005
Pinus sylvestris,Pinus,sylvestris,0.32954351621875,32.105391925625
Pinus tabuliformis,Pinus,tabuliformis,0.20843377922222223,84.52238504222221
Pinus virginiana,Pinus,virginiana,0.22999999999999998,33.14666666666667
Pistacia chinensis,Pistacia,chinensis,0.23907,90.48
Platanus acerifolia,Platanus,acerifolia,0.2820609,23.93
Platanus occidentalis,Platanus,occidentalis,0.48675,11.9773904
Platycladus orientalis,Platycladus,orientalis,0.3641666666666667,17.706666666666667
Podocarpus chinensis,Podocarpus,chinensis,0.79,15.4
Podocarpus neriifolius,Podocarpus,neriifolius,0.2398667,106.9029829
Populus balsamifera,Populus,balsamifera,0.16,90.0
Populus cathayana,Populus,cathayana,0.22219861666666665,155.94455491666668
Populus deltoides,Populus,deltoides,0.25304561000000003,87.2551465
Populus koreana,Populus,koreana,0.21495,190.85129666666668
Populus tremula,Populus,tremula,0.17622228266666665,329.2071340333333
Populus tremuloides,Populus,tremuloides,0.2,49.6175
Populus trichocarpa,Populus,trichocarpa,0.14715046833333334,327.4607889666667
