binominal,F01286,F01287,F01289,F01290,F00056,F00004,F00679,F00727
Acronychia_pedunculata,Acronychia,pedunculata,Rutaceae,Sapindales,1.0,"<StringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 2, dtype: str",-1.2423152366141288,4.43844831886184
Actaea_cimicifuga,Actaea,cimicifuga,Ranunculaceae,Ranunculales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.3203193721963578,4.763139807722203
Actinidia_kolomikta,Actinidia,kolomikta,Actinidiaceae,Ericales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.4696759700589417,5.413981572847829
Adenocaulon_himalaicum,Adenocaulon,himalaicum,Asteraceae,Asterales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.7521542146356957,5.262232519941716
Adiantum_pedatum,Adiantum,pedatum,Pteridaceae,Polypodiales,1.0,"<StringArray>
['Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 2, dtype: str",-1.2092224596858088,5.095985882628778
Adina_pilulifera,Adina,pilulifera,Rubiaceae,Gentianales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.9834043534828938,6.363496743711504
Adinandra_millettii,Adinandra,millettii,Pentaphylacaceae,Ericales,,"Fu X, Wang J, Wang H, Dai X, Yang F, Zhao M. 2016. Response of the fine root production, phenology, and turnover rate of six shrub species from a subtropical forest to a soil moisture gradient and shading. Plant Soil 399: 135-146. ",-0.7985076962177716,5.384495062789089
Aesculus_hippocastanum,Aesculus,hippocastanum,Sapindaceae,Sapindales,1.0,"<StringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Valverde et al (unpublished)']
Length: 2, dtype: str",-1.3023237776603893,2.9681729912394377
Aesculus_parviflora,Aesculus,parviflora,Sapindaceae,Sapindales,1.0,"<StringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Valverde et al (unpublished)']
Length: 2, dtype: str",-1.580007225195049,3.765818153565306
Afrocarpus_falcatus,Afrocarpus,falcatus,Podocarpaceae,Pinales,,"Assefa D, Godbold DL, Belay B, Abiya A, Rewald B. 2018. Fine root morphology, biochemistry and litter quality indices of fast- and slow-growing woody species in Ethiopian highland forest. Ecosystems 21: 482-494.",-0.2744368457017603,2.4475508632442313
Agastache_foeniculum,Agastache,foeniculum,Lamiaceae,Lamiales,,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-0.8675005677047231,3.6888794541139363
Agathis_australis,Agathis,australis,Araucariaceae,Pinales,,"Kramer-Walter KR, Bellingham PJ, Millar TR, Smissen RD, Richardson SJ, Laughlin DC. 2016. Root traits are multidimensional: specific root length is independent from root tissue density and the plant economic spectrum. Journal of Ecology 104: 1299-1310.",-0.4628506065533998,2.638282937179391
Agathis_kinabaluensis,Agathis,kinabaluensis,Araucariaceae,Pinales,,"Ushio M, Fujiki Y, Hidaka A, Kitayama K. 2015. Linkage of root physiology and morphology as an adaptation to soil phosphorus impoverishment in tropical montane forests. Functional Ecology 29: 1235-1245.",-0.2940355464239563,2.4272333975591565
Aglaia_exstipulata,Aglaia,exstipulata,Meliaceae,Sapindales,,"Makita N, Kosugi Y, Dannoura M, Takanashi S, Niiyama K, Kassim AR, Nik AR. 2012. Patterns of root respiration rates and morphological traits in 13 tree species in a tropical forest. Tree Physiology 32: 303-312.",-0.08790268317591103,0.6983538030461193
Aglaia_odoratissima,Aglaia,odoratissima,Meliaceae,Sapindales,,"Makita N, Kosugi Y, Dannoura M, Takanashi S, Niiyama K, Kassim AR, Nik AR. 2012. Patterns of root respiration rates and morphological traits in 13 tree species in a tropical forest. Tree Physiology 32: 303-312.",-0.1690697511182067,1.6522278025290842
Agrimonia_pilosa,Agrimonia,pilosa,Rosaceae,Rosales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.4850103340590484,5.086378117704167
Agropyron_cristatum,Agropyron,cristatum,Poaceae,Poales,,"Zhou M, Wang J, Bai W, Zhang Y, Zhang W-H. 2019. The response of root traits to precipitation change of herbaceous species in temperate steppes. Functional Ecology, in press.",-1.4696759700589417,5.203457085524077
Agrostis_capillaris,Agrostis,capillaris,Poaceae,Poales,,"<StringArray>
['Fort F, Jouany C, Cruz P. 2013.Root and leaf functional trait relations in Poaceae species: implications of differing resource-acquisition strategies. Journal of Plant Ecology 6:211-219', 'Smith SW, Woodin SJ, Pakeman RJ, Johnson D, van der Wal R. 2014. Root traits predict decomposition across a landscape-scale grazing experiment. New Phytologist 203: 851-862.']
Length: 2, dtype: str",-1.6433394641097816,4.928122872521792
Agrostis_scabra,Agrostis,scabra,Poaceae,Poales,,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-1.5606477482646683,4.941642422609304
Aidia_oxyodonta,Aidia,oxyodonta,Rubiaceae,Gentianales,1.0,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.",-2.5966569634591274,5.251540174989108
Aira_elegantissima,Aira,elegantissima,Poaceae,Poales,,"Mokany K, Ash J. 2008. Are traits measured on pot grown plants representative of those in natural communities? Journal of Vegetation Science 19: 119-126.",-1.4784096500276964,6.634436229366123
