binominal,F01286,F01287,F01289,F01290,F00679,F00727,F00261,F00709
Aporosa yunnanensis,Aporosa,yunnanensis,Phyllanthaceae,Malpighiales,0.25882,49.73,19.07,0.36
Endospermum chinense,Endospermum,chinense,Euphorbiaceae,Malpighiales,1.00963,5.37,17.04,0.21
Antidesma maclurei,Antidesma,maclurei,Phyllanthaceae,Malpighiales,0.40253,19.99,19.7,0.29
Engelhardia roxburghiana,Engelhardia,roxburghiana,Juglandaceae,Fagales,0.1523,103.48,18.92,0.4
Elaeocarpus dubius,Elaeocarpus,dubius,Elaeocarpaceae,Oxalidales,0.25778,76.3,17.32,0.36
Ficus variolosa,Ficus,variolosa,Moraceae,Rosales,0.13292,143.45,24.04,0.32
Artocarpus styracifolius,Artocarpus,styracifolius,Moraceae,Rosales,0.28296,34.54,11.2,0.59
Gironniera subaequalis,Gironniera,subaequalis,Cannabaceae,Rosales,0.1249,67.58,44.62,0.52
Celtis sinensis,Celtis,sinensis,Cannabaceae,Rosales,0.14043,113.0,19.21,0.62
Canarium album,Canarium,album,Burseraceae,Sapindales,0.17623,130.88,23.1,0.13
Pistacia chinensis,Pistacia,chinensis,Anacardiaceae,Sapindales,0.23907,90.48,13.57,0.65
Acronychia pedunculata,Acronychia,pedunculata,Rutaceae,Sapindales,0.28343,78.12,20.15,0.55
Melicope pteleifolia,Melicope,pteleifolia,Rutaceae,Sapindales,0.25397,97.19,23.59,0.21
Nephelium lappaceum,Nephelium,lappaceum,Sapindaceae,Sapindales,0.15885,58.45,14.07,0.5
Allophylus cobbe,Allophylus,cobbe,Sapindaceae,Sapindales,0.15617,75.07,14.88,0.6
Vaccinium mandarinorum,Vaccinium,mandarinorum,Ericaceae,Ericales,0.07812,106.71,11.38,0.53
Barringtonia racemosa,Barringtonia,racemosa,Lecythidaceae,Ericales,0.37056,26.71,15.5,0.35
Pentaphylax euryoides,Pentaphylax,euryoides,Pentaphylacaceae,Ericales,0.12066,97.84,5.55,0.53
Alniphyllum fortunei,Alniphyllum,fortunei,Styracaceae,Ericales,0.30253,89.09,19.9,0.18
Gordonia axillaris,Gordonia,axillaris,Theaceae,Ericales,0.54362,14.98,5.96,0.38
Schima wallichii,Schima,wallichii,Theaceae,Ericales,0.23986,98.43,14.45,0.37
Alstonia scholaris,Alstonia,scholaris,Apocynaceae,Gentianales,0.5237,25.76,16.38,0.17
Catunaregam spinosa,Catunaregam,spinosa,Rubiaceae,Gentianales,0.25699,80.24,29.15,0.38
Wendlandia uvariifolia,Wendlandia,uvariifolia,Rubiaceae,Gentianales,0.22417,45.27,18.79,0.43
Pertusadina metcalfii,Pertusadina,metcalfii,Rubiaceae,Gentianales,0.15444,99.96,20.23,0.29
Psychotria asiatica,Psychotria,asiatica,Rubiaceae,Gentianales,0.19185,81.04,17.78,0.2
Saprosma ternatum,Saprosma,ternatum,Rubiaceae,Gentianales,0.14506,116.95,27.53,0.34
Osmanthus didymopetalus,Osmanthus,didymopetalus,Oleaceae,Lamiales,0.71949,4.42,6.78,0.4
Olea rosea,Olea,rosea,Oleaceae,Lamiales,0.39436,28.91,13.75,0.29
Schefflera minutistellata,Schefflera,minutistellata,Araliaceae,Apiales,0.33263,37.91,22.53,0.35
Macropanax undulatus,Macropanax,undulatus,Araliaceae,Apiales,0.2637,28.7,14.53,0.32
Pterospermum acerifolium,Pterospermum,acerifolium,Malvaceae,Malvales,0.28074,25.66,14.68,0.24
Sterculia lanceolata,Sterculia,lanceolata,Malvaceae,Malvales,0.21389,72.15,15.93,0.4
Itea chinensis,Itea,chinensis,Iteaceae,Saxifragales,0.11926,110.33,13.55,0.54
Garcinia oblongifolia,Garcinia,oblongifolia,Clusiaceae,Malpighiales,0.19019,90.87,20.57,0.28
Cratoxylum cochinchinense,Cratoxylum,cochinchinense,Hypericaceae,Malpighiales,0.12092,32.53,8.98,0.41
