binominal,F01286,F01287,F01289,F01290,F00043,F00645,F00004
Magnolia macrophylla,Magnolia,macrophylla,Magnoliaceae,Magnoliales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Magnolia stellata,Magnolia,stellata,Magnoliaceae,Magnoliales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Magnolia tripetala,Magnolia,tripetala,Magnoliaceae,Magnoliales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Magnolia virginiana,Magnolia,virginiana,Magnoliaceae,Magnoliales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Nyssa sylvatica,Nyssa,sylvatica,Cornaceae,Cornales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Platanus occidentalis,Platanus,occidentalis,Platanaceae,Proteales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Populus deltoides,Populus,deltoides,Salicaceae,Malpighiales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Prunus sargentii,Prunus,sargentii,Rosaceae,Rosales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Sassafras albidum,Sassafras,albidum,Lauraceae,Laurales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Styphnolobium japonicum,Styphnolobium,japonicum,Fabaceae,Fabales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Syringa reticulata,Syringa,reticulata,Oleaceae,Lamiales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Ulmus americana,Ulmus,americana,Ulmaceae,Rosales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Ardisia quinquegona,Ardisia,quinquegona,Primulaceae,Ericales,C3,,"Wang J-J, Tharayil N, Chow AT, Suseela V, Zeng H. 2015. Phenolic profile within the fine-root branching orders of an evergreen species highlights a disconnect in root tissue quality predicted by elemental- and molecular-level carbon composition. New Phytologist 206: 1261-1273."
Magnolia macclurei,Magnolia,macclurei,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia yunnanensis,Magnolia,yunnanensis,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia lotungensis,Magnolia,lotungensis,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia balansae,Magnolia,balansae,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia odora,Magnolia,odora,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia fulva,Magnolia,fulva,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia cavaleriei,Magnolia,cavaleriei,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Manglietia paruicula,Manglietia,paruicula,Magnoliaceae,Magnoliales,,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia champaca,Magnolia,champaca,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia opipara,Magnolia,opipara,Magnoliaceae,Magnoliales,,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia maudiae,Magnolia,maudiae,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Liriodendron chinense,Liriodendron,chinense,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia ernestii,Magnolia,ernestii,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia baillonii,Magnolia,baillonii,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia dandyi,Magnolia,dandyi,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Magnolia chapensis,Magnolia,chapensis,Magnoliaceae,Magnoliales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
Cryptocarya chinensis,Cryptocarya,chinensis,Lauraceae,Laurales,C3,AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872."
