binominal,state,F00679,F00727,F01286,F01287,F01289,F01290
Cinnamomum_porrectum,AM,0.3841333333333334,45.89321138333333,Cinnamomum,porrectum,Lauraceae,Laurales
Cinnamomum_tenuifolium,AM,0.57465,20.0281388,Cinnamomum,tenuifolium,Lauraceae,Laurales
Convallaria_majalis,AM,0.42005,69.09311917,Convallaria,majalis,Asparagaceae,Asparagales
Coriaria_nepalensis,AM,0.44,31.30576369,Coriaria,nepalensis,Coriariaceae,Cucurbitales
Cornus_bretschneideri,AM,0.3340306684999999,55.502856,Cornus,bretschneideri,Cornaceae,Cornales
Cornus_controversa,AM,0.65355,14.69760833,Cornus,controversa,Cornaceae,Cornales
Cornus_florida,AM,0.264576045,39.0465646,Cornus,florida,Cornaceae,Cornales
Cornus_kousa,AM,0.37895,51.5947027,Cornus,kousa,Cornaceae,Cornales
Cornus_officinalis,AM,0.404791173,29.36726272,Cornus,officinalis,Cornaceae,Cornales
Cornus_ulotricha,AM,0.6110875,13.28886489,Cornus,ulotricha,Cornaceae,Cornales
Corylus_ferox,EcM,0.2532,68.29596537,Corylus,ferox,Betulaceae,Fagales
Corylus_sieboldiana,EcM,0.20663335,132.8431766,Corylus,sieboldiana,Betulaceae,Fagales
Cotoneaster_acutifolius,AM,0.2034,102.698,Cotoneaster,acutifolius,Rosaceae,Rosales
Cotoneaster_adpressus,AM,0.24365,88.57128378,Cotoneaster,adpressus,Rosaceae,Rosales
Cotoneaster_multiflorus,AM,0.22965,146.1748496,Cotoneaster,multiflorus,Rosaceae,Rosales
Crataegus_pinnatifida,AM,0.21435,105.2808225,Crataegus,pinnatifida,Rosaceae,Rosales
Cratoxylum_cochinchinense,AM,0.12092,32.53,Cratoxylum,cochinchinense,Hypericaceae,Malpighiales
Cryptocarya_chinensis,AM,0.7659077666666666,10.76151466,Cryptocarya,chinensis,Lauraceae,Laurales
Cryptocarya_concinna,AM,0.46125,25.628882955,Cryptocarya,concinna,Lauraceae,Laurales
Cryptomeria_japonica,AM,0.3974833,50.72764606,Cryptomeria,japonica,Cupressaceae,Pinales
Cunninghamia_lanceolata,AM,0.4366486213333334,23.94290829222222,Cunninghamia,lanceolata,Cupressaceae,Pinales
Cupressus_funebris,AM,0.3784093785,21.5836050125,Cupressus,funebris,Cupressaceae,Pinales
Cystopteris_sudetica,AM,0.339810499,251.5923562,Cystopteris,sudetica,Cystopteridaceae,Polypodiales
Dacrycarpus_imbricatus,AM,0.489705882,38.3874209,Dacrycarpus,imbricatus,Podocarpaceae,Pinales
Daphniphyllum_pentandrum,AM,0.2725333,63.17596899,Daphniphyllum,pentandrum,Daphniphyllaceae,Saxifragales
Decaspermum_gracilentum,AM,0.15535,63.99,Decaspermum,gracilentum,Myrtaceae,Myrtales
Dendropanax_dentiger,AM,0.1273,223.2676,Dendropanax,dentiger,Araliaceae,Apiales
