binominal,F01286,F01287,F01289,F01290
Rhododendron hypoglaucum,Rhododendron,hypoglaucum,Ericaceae,Ericales
Salvia chinensis,Salvia,chinensis,Lamiaceae,Lamiales
Cornus ulotricha,Cornus,ulotricha,Cornaceae,Cornales
Pteridium aquilinum,Pteridium,aquilinum,Dennstaedtiaceae,Polypodiales
Euptelea pleiosperma,Euptelea,pleiosperma,Eupteleaceae,Ranunculales
Coriaria nepalensis,Coriaria,nepalensis,Coriariaceae,Cucurbitales
Quercus oxyodon,Quercus,oxyodon,Fagaceae,Fagales
Lespedeza thunbergii,Lespedeza,thunbergii,Fabaceae,Fabales
Fagus engleriana,Fagus,engleriana,Fagaceae,Fagales
Schoepfia jasminodora,Schoepfia,jasminodora,Schoepfiaceae,Santalales
Lindera obtusiloba,Lindera,obtusiloba,Lauraceae,Laurales
Actaea cimicifuga,Actaea,cimicifuga,Ranunculaceae,Ranunculales
Cornus kousa,Cornus,kousa,Cornaceae,Cornales
Anaphalis aureopunctata,Anaphalis,aureopunctata,Asteraceae,Asterales
Cotoneaster adpressus,Cotoneaster,adpressus,Rosaceae,Rosales
Prunus avium,Prunus,avium,Rosaceae,Rosales
Solidago decurrens,Solidago,decurrens,Asteraceae,Asterales
Litsea ichangensis,Litsea,ichangensis,Lauraceae,Laurales
Acer campbellii,Acer,campbellii,Sapindaceae,Sapindales
Tilia oliveri,Tilia,oliveri,Malvaceae,Malvales
Hosta ventricosa,Hosta,ventricosa,Asparagaceae,Asparagales
Osmunda japonica,Osmunda,japonica,Osmundaceae,Osmundales
Phlomoides umbrosa,Phlomoides,umbrosa,Lamiaceae,Lamiales
Dioscorea nipponica,Dioscorea,nipponica,Dioscoreaceae,Dioscoreales
Rubus idaeus,Rubus,idaeus,Rosaceae,Rosales
Adenocaulon himalaicum,Adenocaulon,himalaicum,Asteraceae,Asterales
Rosa xanthina,Rosa,xanthina,Rosaceae,Rosales
Lonicera chrysantha,Lonicera,chrysantha,Caprifoliaceae,Dipsacales
Cotoneaster acutifolius,Cotoneaster,acutifolius,Rosaceae,Rosales
Caulophyllum robustum,Caulophyllum,robustum,Berberidaceae,Ranunculales
Anaphalis hancockii,Anaphalis,hancockii,Asteraceae,Asterales
Artemisia mongolica,Artemisia,mongolica,Asteraceae,Asterales
Cotoneaster multiflorus,Cotoneaster,multiflorus,Rosaceae,Rosales
Artemisia igniaria,Artemisia,igniaria,Asteraceae,Asterales
Crataegus pinnatifida,Crataegus,pinnatifida,Rosaceae,Rosales
Duchesnea indica,Duchesnea,indica,Rosaceae,Rosales
Adina pilulifera,Adina,pilulifera,Rubiaceae,Gentianales
Thalictrum simplex,Thalictrum,simplex,Ranunculaceae,Ranunculales
Lamium album,Lamium,album,Lamiaceae,Lamiales
Acer barbinerve,Acer,barbinerve,Sapindaceae,Sapindales
Acer triflorum,Acer,triflorum,Sapindaceae,Sapindales
Pinus massoniana,Pinus,massoniana,Pinaceae,Pinales
Malus domestica,Malus,domestica,Rosaceae,Rosales
Prunus persica,Prunus,persica,Rosaceae,Rosales
Vitis vinifera,Vitis,vinifera,Vitaceae,Vitales
