"binominal","F01286","F01287","F01289","F01290","F00056","F00004","F00679","F00727","state"
"Ambrosia_artemisiifolia","Ambrosia","artemisiifolia","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-1.02165124753198,4.85981240436167,"AM"
"Echinacea_serotina","Echinacea","serotina","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-0.891598119283784,3.55534806148941,"AM"
"Eclipta_prostrata","Eclipta","prostrata","Asteraceae","Asterales",NA,"Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.",-0.719491155899547,3.42100000895834,"NMAM"
"Coreopsis_palmata","Coreopsis","palmata","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-1.10866262452161,4.72738781871234,"AM"
"Helichrysum_italicum","Helichrysum","italicum","Asteraceae","Asterales",NA,"de la Riva, Navarro-Fernandez, Perez-Ramos, Villar, Maranon. Unpublished.",-1.15090608338924,2.91169127715811,"EcMAM"
"Helichrysum_stoechas","Helichrysum","stoechas","Asteraceae","Asterales",NA,"de la Riva, Navarro-Fernandez, Perez-Ramos, Villar, Maranon. Unpublished.",-0.709378193670363,1.8107268950628,"EcMAM"
"Anaphalis_aureopunctata","Anaphalis","aureopunctata","Asteraceae","Asterales",1,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.98813938327305,6.1720241358809,"AM"
"Anaphalis_hancockii","Anaphalis","hancockii","Asteraceae","Asterales",1,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.72204685681675,5.76787698692392,"AM"
"Antennaria_parvifolia","Antennaria","parvifolia","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.05110866602414,3.80529693426811,"AM"
"Antennaria_neglecta","Antennaria","neglecta","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.29116601602831,4.82618325904432,"AM"
