Juniperus sabina,AM
Knema erratica,AM
Koelreuteria paniculata,AM
Lespedeza bicolor,AM
Lindera communis,AM
Lindera obtusiloba,AM
Liquidambar formosana,AM
Liquidambar styraciflua,AM
Liriodendron chinense,AM
Liriodendron tulipifera,AM
Lithocarpus cleistocarpus,EcM
Lithocarpus fenestratus,EcM
Litsea baviensis,AM
Litsea cubeba,AM
Litsea elongata,AM
Litsea ichangensis,AM
Litsea verticillata,AM
Lonicera chrysantha,AM
Macaranga sampsonii,AM
Machilus breviflora,AM
Machilus kwangtungensis,AM
Machilus nanmu,AM
Machilus oculodracontis,AM
Machilus robusta,AM
Machilus shweliensis,AM
Machilus velutina,AM
Macropanax undulatus,AM
Magnolia acuminata,AM
Magnolia baillonii,AM
Magnolia balansae,AM
Magnolia cavaleriei,AM
Magnolia champaca,AM
Magnolia championii,AM
Magnolia chapensis,AM
Magnolia dandyi,AM
Magnolia denudata,AM
Magnolia ernestii,AM
Magnolia fulva,AM
Magnolia grandiflora,AM
Magnolia kobus,AM
Magnolia lotungensis,AM
Magnolia macclurei,AM
Magnolia macrophylla,AM
Magnolia maudiae,AM
Magnolia odora,AM
Magnolia opipara,AM
Magnolia stellata,AM
Magnolia tripetala,AM
Magnolia virginiana,AM
Magnolia yunnanensis,AM
Magnolia yuyuanensis,AM
Mallotus paniculatus,AM
Malus domestica,AM
Manglietia paruicula,AM
Melicope pteleifolia,AM
Memecylon nigrescens,AM
Microcos paniculata,AM
Microtropis discolor,AM
Millettia leptobotrya,AM
Myrsine seguinii,AM
Nabalus tatarinowii,AM
Neolitsea phanerophlebia,AM
Nephelium lappaceum,AM
Nyssa sylvatica,AM
Ocotea lancifolia,AM
Olea rosea,AM
Onoclea sensibilis,AM
Oreocnide frutescens,AM
Orophea creaghii,AM
Osmanthus didymopetalus,AM
Osmunda japonica,AM
Parthenocissus quinquefolia,AM
Pentaphylax euryoides,AM
Pertusadina metcalfii,AM
Phlomoides umbrosa,AM
Picea glauca,EcM
Picea koraiensis,EcM
Picea meyeri,EcM
Picea wilsonii,EcM
Pinus armandii,EcM
Pinus edulis,EcM
Pinus elliottii,EcM
Pinus koraiensis,EcM
Pinus massoniana,EcM
Pinus pumila,EcM
Pinus resinosa,EcM
Pinus strobus,EcM
Pinus tabuliformis,EcM
Pistacia chinensis,AM
Platanus occidentalis,AM
Podocarpus chinensis,AM
Podocarpus neriifolius,AM
Populus balsamifera,EcM
Prunus alabamensis,AM
Prunus armeniaca,AM
Prunus persica,AM
Prunus sargentii,AM
Prunus sibirica,AM
Psychotria asiatica,AM
Pterospermum acerifolium,AM
Pyrus betulifolia,AM
Quercus aliena,EcM
Quercus asymmetrica,EcM
Quercus mongolica,EcM
Quercus multinervis,EcM
Quercus oxyodon,EcM
Quercus robur,EcM
Quercus serrata,EcM
Quercus variabilis,EcM
Quercus wutaishanica,EcM
Rhaphiolepis indica,AM
Rhododendron hypoglaucum,ErM
Rhodoleia championii,AM
Rosa xanthina,AM
Rubus irritans,AM
Rubus rosifolius,AM
Salix gordejevii,EcM
Salvia chinensis,AM
Sambucus williamsii,AM
Sanicula orthacantha,AM
Saprosma ternatum,AM
Sassafras albidum,AM
Saussurea amurensis,AM
Saussurea mongolica,AM
Saussurea nivea,AM
Schefflera heptaphylla,AM
Schefflera minutistellata,AM
Schima superba,AM
Schima wallichii,AM
Schoepfia jasminodora,NM
Smilax trinervula,AM
Solidago decurrens,AM
Spiraea dahurica,AM
Spiraea pubescens,AM
Sterculia lanceolata,AM
Sterculia nobilis,AM
Strobilanthes dimorphotricha,AM
Strobilanthes villosum,AM
Styphnolobium japonicum,AM
Styrax suberifolius,AM
Syzygium acuminatissimum,AM
Syzygium globiflorum,AM
Syzygium hancei,AM
Syzygium jambos,EcM
Syzygium levinei,AM
Syzygium szemaoense,AM
Thalictrum simplex,AM
Tilia amurensis,EcM
Tilia mongolica,EcM
Tilia oliveri,EcM
Trachelospermum axillare,AM
Ulmus americana,AM
Ulmus macrocarpa,AM
Vaccinium corymbosum,ErM
Veratrum nigrum,AM
Veronica spuria,AM
Vitis amurensis,AM
Vitis vinifera,AM
Wendlandia uvariifolia,AM
