binominal,F01286,F01287,F01289,F01290,state
Machilus robusta,Machilus,robusta,Lauraceae,Laurales,AM
Machilus rufipes,Machilus,rufipes,Lauraceae,Laurales,AM
Machilus shweliensis,Machilus,shweliensis,Lauraceae,Laurales,AM
Machilus tenuipilis,Machilus,tenuipilis,Lauraceae,Laurales,AM
Machilus velutina,Machilus,velutina,Lauraceae,Laurales,AM
Macropanax undulatus,Macropanax,undulatus,Araliaceae,Apiales,AM
Madhuca endertii,Madhuca,endertii,Sapotaceae,Ericales,AM
Magnolia acuminata,Magnolia,acuminata,Magnoliaceae,Magnoliales,AM
Magnolia baillonii,Magnolia,baillonii,Magnoliaceae,Magnoliales,AM
Magnolia balansae,Magnolia,balansae,Magnoliaceae,Magnoliales,AM
Magnolia carsonii,Magnolia,carsonii,Magnoliaceae,Magnoliales,AM
Magnolia cavaleriei,Magnolia,cavaleriei,Magnoliaceae,Magnoliales,AM
Magnolia champaca,Magnolia,champaca,Magnoliaceae,Magnoliales,AM
Magnolia championii,Magnolia,championii,Magnoliaceae,Magnoliales,AM
Magnolia chapensis,Magnolia,chapensis,Magnoliaceae,Magnoliales,AM
Magnolia dandyi,Magnolia,dandyi,Magnoliaceae,Magnoliales,AM
Magnolia denudata,Magnolia,denudata,Magnoliaceae,Magnoliales,AM
Magnolia ernestii,Magnolia,ernestii,Magnoliaceae,Magnoliales,AM
Magnolia fulva,Magnolia,fulva,Magnoliaceae,Magnoliales,AM
Magnolia grandiflora,Magnolia,grandiflora,Magnoliaceae,Magnoliales,AM
Magnolia kobus,Magnolia,kobus,Magnoliaceae,Magnoliales,AM
Magnolia lotungensis,Magnolia,lotungensis,Magnoliaceae,Magnoliales,AM
Magnolia macclurei,Magnolia,macclurei,Magnoliaceae,Magnoliales,AM
Magnolia macrophylla,Magnolia,macrophylla,Magnoliaceae,Magnoliales,AM
Magnolia maudiae,Magnolia,maudiae,Magnoliaceae,Magnoliales,AM
Magnolia odora,Magnolia,odora,Magnoliaceae,Magnoliales,AM
Magnolia opipara,Magnolia,opipara,Magnoliaceae,Magnoliales,AM
Magnolia stellata,Magnolia,stellata,Magnoliaceae,Magnoliales,AM
Magnolia tripetala,Magnolia,tripetala,Magnoliaceae,Magnoliales,AM
Magnolia virginiana,Magnolia,virginiana,Magnoliaceae,Magnoliales,AM
Magnolia yunnanensis,Magnolia,yunnanensis,Magnoliaceae,Magnoliales,AM
Magnolia yuyuanensis,Magnolia,yuyuanensis,Magnoliaceae,Magnoliales,AM
Mallotus paniculatus,Mallotus,paniculatus,Euphorbiaceae,Malpighiales,AM
Malus baccata,Malus,baccata,Rosaceae,Rosales,AM
Manglietia paruicula,Manglietia,paruicula,Magnoliaceae,Magnoliales,AM
Manoao colensoi,Manoao,colensoi,Podocarpaceae,Araucariales,AM
Maquira calophylla,Maquira,calophylla,Moraceae,Rosales,AM
Maquira coriacea,Maquira,coriacea,Moraceae,Rosales,AM
Maquira sclerophylla,Maquira,sclerophylla,Moraceae,Rosales,AM
Matayba inelegans,Matayba,inelegans,Sapindaceae,Sapindales,AM
Matayba peruviana,Matayba,peruviana,Sapindaceae,Sapindales,AM
Matteuccia struthiopteris,Matteuccia,struthiopteris,Onocleaceae,Polypodiales,AM
Maytenus schippii,Maytenus,schippii,Celastraceae,Celastrales,AM
Medicago minima,Medicago,minima,Fabaceae,Fabales,AM
Medicago ruthenica,Medicago,ruthenica,Fabaceae,Fabales,AM
Medicago sativa,Medicago,sativa,Fabaceae,Fabales,AM
Melicope pteleifolia,Melicope,pteleifolia,Rutaceae,Sapindales,AM
Melicytus ramiflorus,Melicytus,ramiflorus,Violaceae,Malpighiales,AM
Melilotus officinalis,Melilotus,officinalis,Fabaceae,Fabales,AM
Memecylon nigrescens,Memecylon,nigrescens,Melastomataceae,Myrtales,AM
Meriania franciscana,Meriania,franciscana,Melastomataceae,Myrtales,AM
Metasequoia glyptostroboides,Metasequoia,glyptostroboides,Cupressaceae,Cupressales,AM
Metrosideros diffusa,Metrosideros,diffusa,Myrtaceae,Myrtales,AM
Metrosideros excelsa,Metrosideros,excelsa,Myrtaceae,Myrtales,AM
Metrosideros fulgens,Metrosideros,fulgens,Myrtaceae,Myrtales,AM
Metrosideros robusta,Metrosideros,robusta,Myrtaceae,Myrtales,AM
Metrosideros umbellata,Metrosideros,umbellata,Myrtaceae,Myrtales,AM
Mezilaurus ita-uba,Mezilaurus,ita-uba,Lauraceae,Laurales,AM
Miconia calophylla,Miconia,calophylla,Melastomataceae,Myrtales,AM
Miconia crebribullata,Miconia,crebribullata,Melastomataceae,Myrtales,AM
Miconia dolichorrhyncha,Miconia,dolichorrhyncha,Melastomataceae,Myrtales,AM
Miconia jahnii,Miconia,jahnii,Melastomataceae,Myrtales,AM
Miconia punctata,Miconia,punctata,Melastomataceae,Myrtales,AM
Miconia radula,Miconia,radula,Melastomataceae,Myrtales,AM
Microbiota decussata,Microbiota,decussata,Cupressaceae,Cupressales,AM
Microcos paniculata,Microcos,paniculata,Malvaceae,Malvales,AM
Micromelum integerrimum,Micromelum,integerrimum,Rutaceae,Sapindales,AM
Micropholis casiquiarensis,Micropholis,casiquiarensis,Sapotaceae,Ericales,AM
Micropholis cylindrocarpa,Micropholis,cylindrocarpa,Sapotaceae,Ericales,AM
Micropholis egensis,Micropholis,egensis,Sapotaceae,Ericales,AM
Micropholis guyanensis,Micropholis,guyanensis,Sapotaceae,Ericales,AM
Micropholis mensalis,Micropholis,mensalis,Sapotaceae,Ericales,AM
Micropholis trunciflora,Micropholis,trunciflora,Sapotaceae,Ericales,AM
Micropholis venulosa,Micropholis,venulosa,Sapotaceae,Ericales,AM
Microtropis discolor,Microtropis,discolor,Celastraceae,Celastrales,AM
Millettia leptobotrya,Millettia,leptobotrya,Fabaceae,Fabales,AM
Mitrephora tomentosa,Mitrephora,tomentosa,Annonaceae,Magnoliales,AM
Monarda fistulosa,Monarda,fistulosa,Lamiaceae,Lamiales,AM
Monoon simiarum,Monoon,simiarum,Annonaceae,Magnoliales,AM
Morus insignis,Morus,insignis,Moraceae,Rosales,AM
Munroa christianii-bernardii,Munroa,christianii-bernardii,Poaceae,Poales,AM
Musineon divaricatum,Musineon,divaricatum,Apiaceae,Apiales,AM
Myrcia bracteata,Myrcia,bracteata,Myrtaceae,Myrtales,AM
Myrcia caudata,Myrcia,caudata,Myrtaceae,Myrtales,AM
Myrcia citrifolia,Myrcia,citrifolia,Myrtaceae,Myrtales,AM
Myrcia crebra,Myrcia,crebra,Myrtaceae,Myrtales,AM
Myrcia cuspidata,Myrcia,cuspidata,Myrtaceae,Myrtales,AM
Myrcia fenestrata,Myrcia,fenestrata,Myrtaceae,Myrtales,AM
Myrcia ferruginea,Myrcia,ferruginea,Myrtaceae,Myrtales,AM
Myrcia grandis,Myrcia,grandis,Myrtaceae,Myrtales,AM
Myrcia integra,Myrcia,integra,Myrtaceae,Myrtales,AM
Myrcia neospeciosa,Myrcia,neospeciosa,Myrtaceae,Myrtales,AM
Myrcia paivae,Myrcia,paivae,Myrtaceae,Myrtales,AM
Myrcia servata,Myrcia,servata,Myrtaceae,Myrtales,AM
Myrcia splendens,Myrcia,splendens,Myrtaceae,Myrtales,AM
Myrcia subsericea,Myrcia,subsericea,Myrtaceae,Myrtales,AM
Myrcia sylvatica,Myrcia,sylvatica,Myrtaceae,Myrtales,AM
Myrcia umbraticola,Myrcia,umbraticola,Myrtaceae,Myrtales,AM
Myrcianthes rhopaloides,Myrcianthes,rhopaloides,Myrtaceae,Myrtales,AM
Myrciaria floribunda,Myrciaria,floribunda,Myrtaceae,Myrtales,AM
Myrciaria tenella,Myrciaria,tenella,Myrtaceae,Myrtales,AM
Myrica pubescens,Myrica,pubescens,Myricaceae,Fagales,NMAM
Myriocarpa stipitata,Myriocarpa,stipitata,Urticaceae,Rosales,NMAM
Myrsine andina,Myrsine,andina,Primulaceae,Ericales,AM
Myrsine australis,Myrsine,australis,Primulaceae,Ericales,AM
Myrsine coriacea,Myrsine,coriacea,Primulaceae,Ericales,AM
Myrsine divaricata,Myrsine,divaricata,Primulaceae,Ericales,AM
Myrsine seguinii,Myrsine,seguinii,Primulaceae,Ericales,AM
Myrtus communis,Myrtus,communis,Myrtaceae,Myrtales,AM
Mytilaria laosensis,Mytilaria,laosensis,Hamamelidaceae,Saxifragales,AM
Nabalus tatarinowii,Nabalus,tatarinowii,Asteraceae,Asterales,AM
Nageia nagi,Nageia,nagi,Podocarpaceae,Araucariales,AM
Nassella viridula,Nassella,viridula,Poaceae,Poales,AM
Naucleopsis caloneura,Naucleopsis,caloneura,Moraceae,Rosales,AM
Naucleopsis francisci,Naucleopsis,francisci,Moraceae,Rosales,AM
Naucleopsis imitans,Naucleopsis,imitans,Moraceae,Rosales,AM
Naucleopsis insculptula,Naucleopsis,insculptula,Moraceae,Rosales,AM
Naucleopsis krukovii,Naucleopsis,krukovii,Moraceae,Rosales,AM
Naucleopsis ternstroemiiflora,Naucleopsis,ternstroemiiflora,Moraceae,Rosales,AM
Neolitsea cassia,Neolitsea,cassia,Lauraceae,Laurales,AM
Neolitsea phanerophlebia,Neolitsea,phanerophlebia,Lauraceae,Laurales,AM
Neomyrtus pedunculata,Neomyrtus,pedunculata,Myrtaceae,Myrtales,AM
Neopanax arboreus,Neopanax,arboreus,Araliaceae,Apiales,AM
Neopanax colensoi,Neopanax,colensoi,Araliaceae,Apiales,AM
Nephelium lappaceum,Nephelium,lappaceum,Sapindaceae,Sapindales,AM
Nerium oleander,Nerium,oleander,Apocynaceae,Gentianales,AM
Nestegis lanceolata,Nestegis,lanceolata,Oleaceae,Lamiales,AM
Noronhia mildbraedii,Noronhia,mildbraedii,Oleaceae,Lamiales,AM
Nothofagus fusca,Nothofagus,fusca,Nothofagaceae,Fagales,EcM
Nothofagus menziesii,Nothofagus,menziesii,Nothofagaceae,Fagales,EcM
Nothofagus obliqua,Nothofagus,obliqua,Nothofagaceae,Fagales,EcM
Nothofagus solandri,Nothofagus,solandri,Nothofagaceae,Fagales,EcM
Nyssa aquatica,Nyssa,aquatica,Nyssaceae,Cornales,AM
Nyssa sylvatica,Nyssa,sylvatica,Nyssaceae,Cornales,AM
Ocotea aciphylla,Ocotea,aciphylla,Lauraceae,Laurales,AM
Ocotea amazonica,Ocotea,amazonica,Lauraceae,Laurales,AM
Ocotea andina,Ocotea,andina,Lauraceae,Laurales,AM
Ocotea argyrophylla,Ocotea,argyrophylla,Lauraceae,Laurales,AM
Ocotea aurantiodora,Ocotea,aurantiodora,Lauraceae,Laurales,AM
Ocotea boissieriana,Ocotea,boissieriana,Lauraceae,Laurales,AM
Ocotea cujumary,Ocotea,cujumary,Lauraceae,Laurales,AM
Ocotea cuneifolia,Ocotea,cuneifolia,Lauraceae,Laurales,AM
Ocotea infrafoveolata,Ocotea,infrafoveolata,Lauraceae,Laurales,AM
Ocotea lancifolia,Ocotea,lancifolia,Lauraceae,Laurales,AM
Ocotea myriantha,Ocotea,myriantha,Lauraceae,Laurales,AM
Ocotea nigra,Ocotea,nigra,Lauraceae,Laurales,AM
Ocotea nigrescens,Ocotea,nigrescens,Lauraceae,Laurales,AM
Ocotea olivacea,Ocotea,olivacea,Lauraceae,Laurales,AM
Ocotea pauciflora,Ocotea,pauciflora,Lauraceae,Laurales,AM
Ocotea pedanomischa,Ocotea,pedanomischa,Lauraceae,Laurales,AM
Ocotea percurrens,Ocotea,percurrens,Lauraceae,Laurales,AM
Ocotea rotundata,Ocotea,rotundata,Lauraceae,Laurales,AM
Ocotea scabrella,Ocotea,scabrella,Lauraceae,Laurales,AM
Ocotea splendens,Ocotea,splendens,Lauraceae,Laurales,AM
Oenothera biennis,Oenothera,biennis,Onagraceae,Myrtales,AM
Olea europaea,Olea,europaea,Oleaceae,Lamiales,AM
Olearia avicenniaefolia,Olearia,avicenniaefolia,Asteraceae,Asterales,AM
Olearia rani,Olearia,rani,Asteraceae,Asterales,AM
Onoclea sensibilis,Onoclea,sensibilis,Onocleaceae,Polypodiales,AM
Oreocnide frutescens,Oreocnide,frutescens,Urticaceae,Rosales,NMAM
Oreopanax sessiliflorus,Oreopanax,sessiliflorus,Araliaceae,Apiales,AM
Orophea creaghii,Orophea,creaghii,Annonaceae,Magnoliales,AM
Orthocarpus luteus,Orthocarpus,luteus,Orobanchaceae,Lamiales,NM
Osmanthus didymopetalus,Osmanthus,didymopetalus,Oleaceae,Lamiales,AM
Osmunda japonica,Osmunda,japonica,Osmundaceae,Osmundales,AM
Osyris alba,Osyris,alba,Santalaceae,Santalales,NMAM
Oxytropis sericea,Oxytropis,sericea,Fabaceae,Fabales,AM
Pachira insignis,Pachira,insignis,Malvaceae,Malvales,AM
Pachira macrocalyx,Pachira,macrocalyx,Malvaceae,Malvales,AM
Pachira minor,Pachira,minor,Malvaceae,Malvales,AM
Pagamea macrophylla,Pagamea,macrophylla,Rubiaceae,Gentianales,uncertain
Palicourea amplectens,Palicourea,amplectens,Rubiaceae,Gentianales,AM
Palicourea corymbifera,Palicourea,corymbifera,Rubiaceae,Gentianales,AM
Palicourea dichotoma,Palicourea,dichotoma,Rubiaceae,Gentianales,AM
Palicourea hoffmannseggiana,Palicourea,hoffmannseggiana,Rubiaceae,Gentianales,AM
Palicourea spicata,Palicourea,spicata,Rubiaceae,Gentianales,AM
Palicourea stenosepala,Palicourea,stenosepala,Rubiaceae,Gentianales,AM
Palicourea thyrsiflora,Palicourea,thyrsiflora,Rubiaceae,Gentianales,AM
Palicourea tinctoria,Palicourea,tinctoria,Rubiaceae,Gentianales,AM
Palicourea virens,Palicourea,virens,Rubiaceae,Gentianales,AM
Panicum capillare,Panicum,capillare,Poaceae,Poales,AM
Panicum virgatum,Panicum,virgatum,Poaceae,Poales,AM
Pappobolus microphyllus,Pappobolus,microphyllus,Asteraceae,Asterales,AM
Parablechnum novae-zelandiae,Parablechnum,novae-zelandiae,Blechnaceae,Polypodiales,
Parablechnum procerum,Parablechnum,procerum,Blechnaceae,Polypodiales,
Parthenocissus quinquefolia,Parthenocissus,quinquefolia,Vitaceae,Vitales,AM
Payena microphylla,Payena,microphylla,Sapotaceae,Ericales,AM
Pectinopitys ferruginea,Pectinopitys,ferruginea,Podocarpaceae,Araucariales,
Pennantia corymbosa,Pennantia,corymbosa,Pennantiaceae,Apiales,AM
Penstemon bradburyi,Penstemon,bradburyi,Plantaginaceae,Lamiales,AM
Penstemon confertus,Penstemon,confertus,Plantaginaceae,Lamiales,AM
Penstemon nitidus,Penstemon,nitidus,Plantaginaceae,Lamiales,AM
Penstemon procerus,Penstemon,procerus,Plantaginaceae,Lamiales,AM
Pentaphylax euryoides,Pentaphylax,euryoides,Pentaphylacaceae,Ericales,AM
Pentaspadon motleyi,Pentaspadon,motleyi,Anacardiaceae,Sapindales,AM
Persea areolatocostae,Persea,areolatocostae,Lauraceae,Laurales,AM
Persea ferruginea,Persea,ferruginea,Lauraceae,Laurales,AM
Persea weberbaueri,Persea,weberbaueri,Lauraceae,Laurales,AM
Phalaris arundinacea,Phalaris,arundinacea,Poaceae,Poales,AM
Phellodendron amurense,Phellodendron,amurense,Rutaceae,Sapindales,AM
Philadelphus incanus,Philadelphus,incanus,Hydrangeaceae,Cornales,AM
Phillyrea angustifolia,Phillyrea,angustifolia,Oleaceae,Lamiales,AM
Phillyrea latifolia,Phillyrea,latifolia,Oleaceae,Lamiales,AM
Phleum pratense,Phleum,pratense,Poaceae,Poales,AM
Phlomis purpurea,Phlomis,purpurea,Lamiaceae,Lamiales,AM
Phlomoides umbrosa,Phlomoides,umbrosa,Lamiaceae,Lamiales,AM
Phlox hoodii,Phlox,hoodii,Polemoniaceae,Ericales,AM
Phoebe lanceolata,Phoebe,lanceolata,Lauraceae,Laurales,AM
Phoebe puwenensis,Phoebe,puwenensis,Lauraceae,Laurales,AM
Phyllocladus hypophyllus,Phyllocladus,hypophyllus,Podocarpaceae,Araucariales,AM
Phyllocladus trichomanoides,Phyllocladus,trichomanoides,Podocarpaceae,Araucariales,AM
Physalis virginiana,Physalis,virginiana,Solanaceae,Solanales,AM
Picea abies,Picea,abies,Pinaceae,Pinales,EcM
Picea koraiensis,Picea,koraiensis,Pinaceae,Pinales,EcM
Picea meyeri,Picea,meyeri,Pinaceae,Pinales,EcM
Picea wilsonii,Picea,wilsonii,Pinaceae,Pinales,EcM
Picramnia latifolia,Picramnia,latifolia,Picramniaceae,Picramniales,AM
Picrasma longistaminea,Picrasma,longistaminea,Simaroubaceae,Sapindales,AM
Picris hieracioides,Picris,hieracioides,Asteraceae,Asterales,AM
Pilosella officinarum,Pilosella,officinarum,Asteraceae,Asterales,AM
Pinus armandii,Pinus,armandii,Pinaceae,Pinales,EcM
Pinus elliottii,Pinus,elliottii,Pinaceae,Pinales,EcM
Pinus koraiensis,Pinus,koraiensis,Pinaceae,Pinales,EcM
Pinus massoniana,Pinus,massoniana,Pinaceae,Pinales,EcM
Pinus nigra,Pinus,nigra,Pinaceae,Pinales,EcM
Pinus pinea,Pinus,pinea,Pinaceae,Pinales,EcM
Pinus pumila,Pinus,pumila,Pinaceae,Pinales,EcM
Pinus pungens,Pinus,pungens,Pinaceae,Pinales,EcM
Pinus resinosa,Pinus,resinosa,Pinaceae,Pinales,EcM
Pinus strobus,Pinus,strobus,Pinaceae,Pinales,EcM
Pinus sylvestris,Pinus,sylvestris,Pinaceae,Pinales,EcM
Pinus tabuliformis,Pinus,tabuliformis,Pinaceae,Pinales,EcM
Pinus virginiana,Pinus,virginiana,Pinaceae,Pinales,EcM
Piper arboreum,Piper,arboreum,Piperaceae,Piperales,NMAM
Pistacia chinensis,Pistacia,chinensis,Anacardiaceae,Sapindales,AM
Pistacia lentiscus,Pistacia,lentiscus,Anacardiaceae,Sapindales,AM
Pistacia terebinthus,Pistacia,terebinthus,Anacardiaceae,Sapindales,AM
Pittosporum eugenioides,Pittosporum,eugenioides,Pittosporaceae,Apiales,AM
Pittosporum tenuifolium,Pittosporum,tenuifolium,Pittosporaceae,Apiales,AM
Plagianthus regius,Plagianthus,regius,Malvaceae,Malvales,AM
Planchonella grandifolia,Planchonella,grandifolia,Sapotaceae,Ericales,AM
Plantago lanceolata,Plantago,lanceolata,Plantaginaceae,Lamiales,AM
Plantago patagonica,Plantago,patagonica,Plantaginaceae,Lamiales,AM
Platanus acerifolia,Platanus,acerifolia,Platanaceae,Proteales,AM
Platanus occidentalis,Platanus,occidentalis,Platanaceae,Proteales,AM
Platycladus orientalis,Platycladus,orientalis,Cupressaceae,Cupressales,AM
Platypodium elegans,Platypodium,elegans,Fabaceae,Fabales,AM
Pleioblastus amarus,Pleioblastus,amarus,Poaceae,Poales,AM
Pleroma ochypetalum,Pleroma,ochypetalum,Melastomataceae,Myrtales,AM
Poa cusickii,Poa,cusickii,Poaceae,Poales,AM
Poa nemoralis,Poa,nemoralis,Poaceae,Poales,AM
Poa pratensis,Poa,pratensis,Poaceae,Poales,AM
Podocarpus gibbsii,Podocarpus,gibbsii,Podocarpaceae,Araucariales,AM
Podocarpus laetus,Podocarpus,laetus,Podocarpaceae,Araucariales,AM
Podocarpus neriifolius,Podocarpus,neriifolius,Podocarpaceae,Araucariales,AM
Podocarpus oleifolius,Podocarpus,oleifolius,Podocarpaceae,Araucariales,AM
Podocarpus totara,Podocarpus,totara,Podocarpaceae,Araucariales,AM
Podophyllum peltatum,Podophyllum,peltatum,Berberidaceae,Ranunculales,AM
Polyspora axillaris,Polyspora,axillaris,Theaceae,Ericales,AM
Polystichum chilense,Polystichum,chilense,Dryopteridaceae,Polypodiales,AM
Pometia pinnata,Pometia,pinnata,Sapindaceae,Sapindales,AM
Populus alba,Populus,alba,Salicaceae,Malpighiales,EcMAM
Populus cathayana,Populus,cathayana,Salicaceae,Malpighiales,EcMAM
Populus deltoides,Populus,deltoides,Salicaceae,Malpighiales,EcMAM
Populus grandidentata,Populus,grandidentata,Salicaceae,Malpighiales,EcMAM
Populus suaveolens,Populus,suaveolens,Salicaceae,Malpighiales,EcMAM
Populus tremula,Populus,tremula,Salicaceae,Malpighiales,EcMAM
Populus tremuloides,Populus,tremuloides,Salicaceae,Malpighiales,EcMAM
Populus trichocarpa,Populus,trichocarpa,Salicaceae,Malpighiales,EcMAM
Potentilla acaulis,Potentilla,acaulis,Rosaceae,Rosales,AM
Potentilla indica,Potentilla,indica,Rosaceae,Rosales,AM
Potentilla pusilla,Potentilla,pusilla,Rosaceae,Rosales,AM
Potentilla tenacetifolia,Potentilla,tenacetifolia,Rosaceae,Rosales,AM
Pourouma cecropiifolia,Pourouma,cecropiifolia,Urticaceae,Rosales,AM
Pouteria austin-smithii,Pouteria,austin-smithii,Sapotaceae,Ericales,AM
Pouteria caimito,Pouteria,caimito,Sapotaceae,Ericales,AM
Pouteria cuspidata,Pouteria,cuspidata,Sapotaceae,Ericales,AM
Prasoxylon excelsum,Prasoxylon,excelsum,Meliaceae,Sapindales,
Prionostemma aspera,Prionostemma,aspera,Celastraceae,Celastrales,AM
Protium altsonii,Protium,altsonii,Burseraceae,Sapindales,AM
Protium amazonicum,Protium,amazonicum,Burseraceae,Sapindales,AM
Protium apiculatum,Protium,apiculatum,Burseraceae,Sapindales,AM
Protium aracouchini,Protium,aracouchini,Burseraceae,Sapindales,AM
Protium calanense,Protium,calanense,Burseraceae,Sapindales,AM
Protium calendulinum,Protium,calendulinum,Burseraceae,Sapindales,AM
Protium crassipetalum,Protium,crassipetalum,Burseraceae,Sapindales,AM
Protium decandrum,Protium,decandrum,Burseraceae,Sapindales,AM
Protium divaricatum,Protium,divaricatum,Burseraceae,Sapindales,AM
Protium elegans,Protium,elegans,Burseraceae,Sapindales,AM
Protium ferrugineum,Protium,ferrugineum,Burseraceae,Sapindales,AM
Protium gallosum,Protium,gallosum,Burseraceae,Sapindales,AM
Protium giganteum,Protium,giganteum,Burseraceae,Sapindales,AM
Protium grandifolium,Protium,grandifolium,Burseraceae,Sapindales,AM
Protium hebetatum,Protium,hebetatum,Burseraceae,Sapindales,AM
Protium heptaphyllum,Protium,heptaphyllum,Burseraceae,Sapindales,AM
Protium laxiflorum,Protium,laxiflorum,Burseraceae,Sapindales,AM
Protium occultum,Protium,occultum,Burseraceae,Sapindales,AM
Protium opacum,Protium,opacum,Burseraceae,Sapindales,AM
Protium paniculatum,Protium,paniculatum,Burseraceae,Sapindales,AM
Protium pilosissimum,Protium,pilosissimum,Burseraceae,Sapindales,AM
Protium pilosum,Protium,pilosum,Burseraceae,Sapindales,AM
Protium sagotianum,Protium,sagotianum,Burseraceae,Sapindales,AM
Protium spruceanum,Protium,spruceanum,Burseraceae,Sapindales,AM
Protium strumosum,Protium,strumosum,Burseraceae,Sapindales,AM
Protium subserratum,Protium,subserratum,Burseraceae,Sapindales,AM
Protium tenuifolium,Protium,tenuifolium,Burseraceae,Sapindales,AM
Protium trifoliolatum,Protium,trifoliolatum,Burseraceae,Sapindales,AM
Protium unifoliolatum,Protium,unifoliolatum,Burseraceae,Sapindales,AM
Protium urophyllidium,Protium,urophyllidium,Burseraceae,Sapindales,AM
Prumnopitys montana,Prumnopitys,montana,Podocarpaceae,Araucariales,AM
Prumnopitys taxifolia,Prumnopitys,taxifolia,Podocarpaceae,Araucariales,AM
Prunus armeniaca,Prunus,armeniaca,Rosaceae,Rosales,AM
Prunus avium,Prunus,avium,Rosaceae,Rosales,AM
Prunus herthae,Prunus,herthae,Rosaceae,Rosales,AM
Prunus opaca,Prunus,opaca,Rosaceae,Rosales,AM
Prunus padus,Prunus,padus,Rosaceae,Rosales,AM
Prunus sargentii,Prunus,sargentii,Rosaceae,Rosales,AM
Prunus serotina,Prunus,serotina,Rosaceae,Rosales,AM
Pseudodictamnus hirsutus,Pseudodictamnus,hirsutus,Lamiaceae,Lamiales,
Pseudodiphasium volubile,Pseudodiphasium,volubile,Lycopodiaceae,Lycopodiales,
Pseudolmedia laevigata,Pseudolmedia,laevigata,Moraceae,Rosales,AM
Pseudolmedia laevis,Pseudolmedia,laevis,Moraceae,Rosales,AM
Pseudolmedia rigida,Pseudolmedia,rigida,Moraceae,Rosales,AM
Pseudopanax crassifolius,Pseudopanax,crassifolius,Araliaceae,Apiales,AM
Pseudotsuga menziesii,Pseudotsuga,menziesii,Pinaceae,Pinales,EcM
Pseudowintera colorata,Pseudowintera,colorata,Winteraceae,Canellales,AM
Pseuduvaria trimera,Pseuduvaria,trimera,Annonaceae,Magnoliales,uncertain
Psychotria asiatica,Psychotria,asiatica,Rubiaceae,Gentianales,AM
Psychotria rhombibractea,Psychotria,rhombibractea,Rubiaceae,Gentianales,AM
Pteridium aquilinum,Pteridium,aquilinum,Dennstaedtiaceae,Polypodiales,AM
Pterophylla faxinea,Pterophylla,faxinea,Cunoniaceae,Oxalidales,
Pterophylla racemosa,Pterophylla,racemosa,Cunoniaceae,Oxalidales,
Pterospermum acerifolium,Pterospermum,acerifolium,Malvaceae,Malvales,AM
Puccinellia rupestris,Puccinellia,rupestris,Poaceae,Poales,NMAM
Pycnanthemum virginianum,Pycnanthemum,virginianum,Lamiaceae,Lamiales,AM
Pyrus betulifolia,Pyrus,betulifolia,Rosaceae,Rosales,AM
Pyrus bourgaeana,Pyrus,bourgaeana,Rosaceae,Rosales,AM
Quercus alba,Quercus,alba,Fagaceae,Fagales,EcM
Quercus aliena,Quercus,aliena,Fagaceae,Fagales,EcM
Quercus asymmetrica,Quercus,asymmetrica,Fagaceae,Fagales,EcM
Quercus bicolor,Quercus,bicolor,Fagaceae,Fagales,EcM
Quercus canariensis,Quercus,canariensis,Fagaceae,Fagales,EcM
Quercus coccifera,Quercus,coccifera,Fagaceae,Fagales,EcM
Quercus faginea,Quercus,faginea,Fagaceae,Fagales,EcM
Quercus glauca,Quercus,glauca,Fagaceae,Fagales,EcM
Quercus ilex,Quercus,ilex,Fagaceae,Fagales,EcM
Quercus lowii,Quercus,lowii,Fagaceae,Fagales,EcM
Quercus mongolica,Quercus,mongolica,Fagaceae,Fagales,EcM
Quercus multinervis,Quercus,multinervis,Fagaceae,Fagales,EcM
Quercus oxyodon,Quercus,oxyodon,Fagaceae,Fagales,EcM
Quercus palustris,Quercus,palustris,Fagaceae,Fagales,EcM
Quercus robur,Quercus,robur,Fagaceae,Fagales,EcM
Quercus rubra,Quercus,rubra,Fagaceae,Fagales,EcM
Quercus serrata,Quercus,serrata,Fagaceae,Fagales,EcM
Quercus suber,Quercus,suber,Fagaceae,Fagales,EcM
Quercus variabilis,Quercus,variabilis,Fagaceae,Fagales,EcM
Quercus wutaishanica,Quercus,wutaishanica,Fagaceae,Fagales,EcM
Quintinia serrata,Quintinia,serrata,Paracryphiaceae,Paracryphiales,AM
Ratibida pinnata,Ratibida,pinnata,Asteraceae,Asterales,AM
Raukaua simplex,Raukaua,simplex,Araliaceae,Apiales,AM
Rhamnus alaternus,Rhamnus,alaternus,Rhamnaceae,Rosales,AM
Rhamnus davurica,Rhamnus,davurica,Rhamnaceae,Rosales,AM
Rhamnus lycioides,Rhamnus,lycioides,Rhamnaceae,Rosales,AM
Rhaphiolepis indica,Rhaphiolepis,indica,Rosaceae,Rosales,AM
Rhododendron hypoglaucum,Rhododendron,hypoglaucum,Ericaceae,Ericales,ErM
Rhododendron ponticum,Rhododendron,ponticum,Ericaceae,Ericales,ErM
Rhodoleia championii,Rhodoleia,championii,Hamamelidaceae,Saxifragales,AM
Rhodostemonodaphne crenaticupula,Rhodostemonodaphne,crenaticupula,Lauraceae,Laurales,AM
Rhodostemonodaphne paniculata,Rhodostemonodaphne,paniculata,Lauraceae,Laurales,AM
Rhodostemonodaphne parvifolia,Rhodostemonodaphne,parvifolia,Lauraceae,Laurales,AM
Rhopalostylis sapida,Rhopalostylis,sapida,Arecaceae,Arecales,AM
