binominal,F01286,F01287,F01289,F01290,state
Castanopsis fissa,Castanopsis,fissa,Fagaceae,Fagales,EcM
Castanopsis fleuryi,Castanopsis,fleuryi,Fagaceae,Fagales,EcM
Castanopsis hystrix,Castanopsis,hystrix,Fagaceae,Fagales,EcM
Castanopsis indica,Castanopsis,indica,Fagaceae,Fagales,EcM
Castanopsis wattii,Castanopsis,wattii,Fagaceae,Fagales,EcM
Catalpa bignonioides,Catalpa,bignonioides,Bignoniaceae,Lamiales,AM
Catostemma sclerophyllum,Catostemma,sclerophyllum,Malvaceae,Malvales,AM
Catunaregam spinosa,Catunaregam,spinosa,Rubiaceae,Gentianales,AM
Caulophyllum robustum,Caulophyllum,robustum,Berberidaceae,Ranunculales,AM
Cecropia angustifolia,Cecropia,angustifolia,Urticaceae,Rosales,AM
Cedrela montana,Cedrela,montana,Meliaceae,Sapindales,AM
Cedrus libani,Cedrus,libani,Pinaceae,Pinales,EcM
Celtis australis,Celtis,australis,Cannabaceae,Rosales,AM
Celtis sinensis,Celtis,sinensis,Cannabaceae,Rosales,AM
Celtis tetrandra,Celtis,tetrandra,Cannabaceae,Rosales,AM
Celtis timorensis,Celtis,timorensis,Cannabaceae,Rosales,AM
Cenchrus americanus,Cenchrus,americanus,Poaceae,Poales,AM
Centaurea pectinata,Centaurea,pectinata,Asteraceae,Asterales,AM
Centronia laurifolia,Centronia,laurifolia,Melastomataceae,Myrtales,AM
Cephalotaxus harringtonii,Cephalotaxus,harringtonii,Cephalotaxaceae,Cupressales,AM
Cerastium arvense,Cerastium,arvense,Caryophyllaceae,Caryophyllales,NMAM
Cercidiphyllum japonicum,Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales,AM
Cercis canadensis,Cercis,canadensis,Fabaceae,Fabales,AM
Cestrum schlechtendalii,Cestrum,schlechtendalii,Solanaceae,Solanales,AM
Chamaecrista fasciculata,Chamaecrista,fasciculata,Fabaceae,Fabales,AM
Chamaecyparis obtusa,Chamaecyparis,obtusa,Cupressaceae,Cupressales,AM
Chamaecyparis pisifera,Chamaecyparis,pisifera,Cupressaceae,Cupressales,AM
Chamaerhodos erecta,Chamaerhodos,erecta,Rosaceae,Rosales,AM
Chassalia subnuda,Chassalia,subnuda,Rubiaceae,Gentianales,AM
Chenopodium album,Chenopodium,album,Amaranthaceae,Caryophyllales,NMAM
Chionanthus virginicus,Chionanthus,virginicus,Oleaceae,Lamiales,AM
