name,synonym
Galium aparine,"('Asterophyllum aparine', 'Aparine vulgaris', 'Rubia aparine', 'Galion aparinum')"
Galium boreale,"('Aparine borealis', 'Trichogalium boreale', 'Rubia borealis')"
Garcinia cowa,"('Stalagmitis cowa',)"
Garcinia xanthochymus,"('Stalagmitis pictoria', 'Xanthochymus pictorius')"
Garuga floribunda,"('Kunthia floribunda',)"
Gentiana andrewsii,"('Pneumonanthe andrewsii', 'Dasystephana andrewsii')"
Ginkgo biloba,"('Salisburia biloba',)"
Gironniera subaequalis,"('Gironniera nervosa var. subaequalis',)"
Gleditsia triacanthos,"('Caesalpiniodes triacanthum',)"
Glochidion eriocarpum,"('Phyllanthus eriocarpus',)"
Glochidion lanceolarium,"('Phyllanthus lanceolarius',)"
Gordonia fruticosa,"('Laplacea fruticosa', 'Wikstroemia fruticosa')"
Gutierrezia sarothrae,"('Xanthocephalum sarothrae', 'Solidago sarothrae')"
Gymnosporia arbutifolia,"('Celastrus arbutifolius', 'Maytenus arbutifolia')"
Hakea ceratophylla,"('Conchium ceratophyllum',)"
Halocarpus biformis,"('Dacrydium biforme', 'Podocarpus biformis')"
Halocarpus kirkii,"('Dacrydium kirkii',)"
Hamamelis virginiana,"('Trilopus virginiana',)"
Handroanthus guayacan,"('Tabebuia guayacan', 'Tecoma guayacan')"
