name,synonym
Puccinellia rupestris,"('Poa rupestris', 'Pseudosclerochloa rupestris', 'Sclerochloa rupestris')"
Pycnanthemum virginianum,"('Brachystemum virginicum', 'Thymus virginicus', 'Satureja virginiana', 'Koellia virginiana', 'Koellia virginica')"
Pyrus bourgaeana,"('Pyrus communis subsp. bourgaeana', 'Pyrus communis var. bourgaeana', 'Pyrus communis proles bourgaeana')"
Quercus bicolor,"('Quercus discolor var. bicolor', 'Quercus prinus var. bicolor')"
Quercus faginea,"('Quercus lusitanica subsp. faginea',)"
Quercus glauca,"('Perytis glauca', 'Cyclobalanopsis glauca')"
Quercus lowii,"('Cyclobalanopsis lowii',)"
Quercus mongolica,"('Quercus sessiliflora var. mongolica',)"
Quercus oxyodon,"('Cyclobalanopsis oxyodon', 'Cyclobalanopsis lineata var. oxyodon', 'Quercus lineata var. oxyodon')"
Quercus palustris,"('Quercus rubra var. palustris',)"
Quercus rubra,"('Erythrobalanus rubra',)"
Quercus suber,"('Quercus suberosa',)"
Quercus variabilis,"('Pasania variabilis',)"
Ratibida pinnata,"('Lepachys pinnata', 'Rudbeckia pinnata', 'Helianthus pinnatus', 'Obeliscaria pinnata')"
Raukaua simplex,"('Neopanax simplex', 'Pseudopanax simplex', 'Nothopanax simplex', 'Panax simplex')"
Rhamnus davurica,"('Rhamnus cathartica var. davurica',)"
Rhamnus lycioides,"('Rhamnus oleoides var. lycioides', 'Rhamnus oleoides subsp. lycioides')"
Rhaphiolepis indica,"('Mespilus indica', 'Pyrus rhaphiolepis', 'Crataegus indica')"
Rhododendron hypoglaucum,"('Rhododendron argyrophyllum subsp. hypoglaucum', 'Azalea hypoglauca')"
Rhododendron ponticum,"('Hymenanthes pontica',)"
Rhus typhina,"('Toxicodendron typhinum', 'Rhus hirta var. typhina', 'Rhus hirta f. typhina')"
Richetia multiflora,"('Doona multiflora', 'Balanocarpus multiflorus', 'Shorea multiflora')"
Rosa arkansana,"('Rosa blanda var. arkansana', 'Rosa virginiana var. arkansana')"
Rosa canina,"('Crepinia canina',)"
Ruagea glabra,"('Guarea trianae',)"
Rubia peregrina,"('Galium peregrinum',)"
Rubroshorea acuminata,"('Shorea acuminata',)"
Rubroshorea leprosula,"('Shorea leprosula',)"
Rubus allegheniensis,"('Rubus villosus var. montanus',)"
Rubus crataegifolius,"('Rubus corchorifolius var. crataegifolius',)"
Rubus idaeus,"('Batidaea idaea',)"
Rubus ulmifolius,"('Rubus sanctus ulmifolius', 'Rubus discolor subsp. ulmifolius', 'Rubus fruticosus var. ulmifolius')"
Rudgea cornifolia,"('Uragoga cornifolia', 'Psychotria cornifolia')"
Rudgea lanceifolia,"('Uragoga lanceifolia',)"
Rumex acetosella,"('Acetosa acetosella', 'Lapathum acetosella', 'Pauladolfia acetosella')"
Salix atrocinerea,"('Salix cinerea proles atrocinerea', 'Salix cinerea var. atrocinerea', 'Salix cinerea subsp. atrocinerea')"
Salix caprea,"('Nectopix caprea', 'Capraea vulgaris')"
Salix viminalis,"('Diplima viminalis',)"
Salvia chinensis,"('Salvia japonica var. chinensis',)"
Salvia rosmarinus,"('Rosmarinus officinalis',)"
Sanguisorba minor,"('Poterium minus', 'Pimpinella sanguisorba', 'Blitum sanguisorba', 'Poterium sanguisorba')"
Sanguisorba officinalis,"('Pimpinella officinalis', 'Poterium officinale')"
Sapium stylare,"('Excoecaria stylaris',)"
Sarcandra glabra,"('Ardisia glabra', 'Bladhia glabra', 'Chloranthus glaber')"
Sassafras albidum,"('Tetranthera albida', 'Sassafras officinale var. albidum', 'Sassafras variifolium var. albidum', 'Laurus albida')"
Saussurea amurensis,"('Theodorea amurensis',)"
Saussurea mongolica,"('Saussurea ussuriensis var. mongolica',)"
Schima superba,"('Schima wallichii var. superba',)"
Schima wallichii,"('Gordonia wallichii',)"
Schizachyrium scoparium,"('Pollinia scoparia', 'Sorghum scoparium', 'Andropogon scoparius')"
Schoepfia jasminodora,"('Schoepfiopsis jasminodora',)"
Sciadopitys verticillata,"('Taxus verticillata', 'Pinus verticillata')"
Sciodaphyllum acuminatum,"('Brassaia acuminata', 'Schefflera acuminata', 'Actinophyllum acuminatum')"
Scleronema micranthum,"('Catostemma micranthum',)"
Sequoiadendron giganteum,"('Americus gigantea', 'Wellingtonia gigantea', 'Gigantabies wellingtoniana', 'Washingtonia gigantea', 'Taxodium giganteum', 'Sequoia wellingtonia', 'Steinhauera gigantea')"
Sextonia rubra,"('Nectandra rubra', 'Ocotea rubra')"
Sibbaldianthe bifurca,"('Fragaria bifurca', 'Schistophyllidium bifurcum', 'Potentilla bifurca')"
Sideritis pusilla,"('Sideritis scordioides var. pusilla',)"
Simira rubescens,"('Sprucea rubescens',)"
Siparuna aspera,"('Citrosma aspera',)"
Siparuna muricata,"('Citrosma muricata',)"
Smilax trinervula,"('Smilax china var. trinervula', 'Smilax biflora var. trinervula')"
Solidago missouriensis,"('Aster missouriensis',)"
Solidago ptarmicoides,"('Doellingeria ptarmicoides', 'Aster albus', 'Aster ptarmicoides', 'Chrysopsis alba', 'Diplopappus albus', 'Eucephalus albus', 'Heleastrum album', 'Inula alba', 'Oligoneuron album', 'Solidago asteroides', 'Unamia alba', 'Unamia ptarmicoides')"
Solidago rigida,"('Leioligo rigida',)"
Solidago speciosa,"('Aster speciosus', 'Leioligo speciosa')"
Sophora microphylla,"('Edwardsia grandiflora var. microphylla', 'Edwardsia microphylla', 'Sophora tetraptera var. microphylla')"
Sorbus aucuparia,"('Pyrus aucuparia', 'Pyrenia aucuparia', 'Mespilus aucuparia', 'Crataegus aucuparia', 'Aucuparia silvestris')"
Sorbus discolor,"('Pyrus discolor',)"
Sorghastrum nutans,"('Chalcoelytrum nutans', 'Poranthera nutans', 'Rhaphis nutans', 'Holcus nutans', 'Digitaria nutans', 'Trichachne nutans', 'Andropogon nutans', 'Sorghum nutans')"
Sphaeralcea coccinea,"('Malvastrum coccineum', 'Malveopsis coccinea', 'Malva coccinea', 'Sida coccinea')"
Sphaeropteris medullaris,"('Polypodium medullare', 'Cyathea medullaris')"
Spiraea dahurica,"('Spiraea media subsp. dahurica', 'Spiraea alpina var. dahurica')"
Sporobolus heterolepis,"('Agrostis heterolepis', 'Vilfa heterolepis')"
Sporobolus rigidus,"('Vilfa rigida',)"
Stauracanthus genistoides,"('Ulex genistoides',)"
Sterculia monosperma,"('Clompanus monosperma',)"
Sticherus cunninghamii,"('Gleichenia cunninghamii', 'Mertensia cunninghamii')"
Stipa krylovii,"('Stipa sareptana subsp. krylovii', 'Stipa sareptana var. krylovii')"
Strobilanthes dimorphotricha,"('Goldfussia dimorphotricha',)"
Styphnolobium japonicum,"('Sophora japonica',)"
Symphoricarpos occidentalis,"('Symphoria occidentalis',)"
Symphyotrichum ciliolatum,"('Aster ciliolatus', 'Aster lindleyanus var. ciliolatus')"
Symphyotrichum ericoides,"('Aster ericoides', 'Lasallea ericoides', 'Virgulus ericoides')"
Symphyotrichum falcatum,"('Aster falcatus', 'Virgulus falcatus', 'Lasallea falcata')"
Symphyotrichum laeve,"('Aster laevis',)"
Symphyotrichum novae-angliae,"('Aster spurius var. novae-angliae', 'Lasallea novae-angliae', 'Virgulus novae-angliae', 'Aster novae-angliae')"
Symphyotrichum oolentangiense,"('Aster oolentangiensis',)"
Symphyotrichum puniceum,"('Aster puniceus',)"
Symplocos cochinchinensis,"('Dicalix cochinchinensis',)"
Syringa reticulata,"('Ligustrum reticulatum', 'Ligustrina reticulata')"
Syzygium acuminatissimum,"('Acmena acuminatissima', 'Myrtus acuminatissima', 'Jambosa acuminatissima')"
Syzygium borbonicum,"('Calyptranthes paniculata',)"
Syzygium castaneum,"('Eugenia castanea',)"
Syzygium globiflorum,"('Eugenia globiflora',)"
Syzygium hancei,"('Eugenia minutiflora',)"
Syzygium jambos,"('Plinia jambos', 'Jambosa jambos', 'Myrtus jambos', 'Eugenia jambos')"
Syzygium kunstleri,"('Eugenia kunstleri',)"
Syzygium levinei,"('Eugenia levinei',)"
Syzygium maire,"('Eugenia maire',)"
Syzygium napiforme,"('Eugenia napiformis',)"
Syzygium subdecussatum,"('Eugenia subdecussata',)"
Tanaecium pyramidatum,"('Haplolophium pyramidatum', 'Paragonia pyramidata', 'Tabebuia pyramidata', 'Bignonia pyramidata')"
Tapirira guianensis,"('Joncquetia guianensis', 'Bursera bahiensis')"
Taxodium distichum,"('Schubertia disticha', 'Cuprespinnata disticha', 'Cupressus disticha')"
Taxus chinensis,"('Taxus wallichiana var. chinensis', 'Taxus sumatrana subsp. chinensis', 'Taxus baccata var. chinensis', 'Taxus cuspidata var. chinensis')"
Taxus cuspidata,"('Taxus baccata var. cuspidata', 'Taxus baccata subsp. cuspidata')"
Terminalia amazonia,"('Chuncoa amazonia',)"
Ternstroemia coriacea,"('Taonabo coriacea',)"
Tetractomia tetrandra,"('Melicope tetrandra',)"
Tetrapilus roseus,"('Olea rosea',)"
Thalictrum simplex,"('Thalictrum angustifolium var. simplex', 'Thalictrum flavum subsp. simplex', 'Thalictrum angustifolium subsp. simplex')"
Thermopsis rhombifolia,"('Drepilia rhombifolia', 'Thermia rhombifolia', 'Cytisus rhombifolius')"
Thymelaea hirsuta,"('Passerina hirsuta', 'Piptochlamys hirsuta', 'Giardia hirsuta', 'Stellera hirsuta', 'Lachnaea hirsuta', 'Chlamydanthus hirsutus')"
Thymus hyemalis,"('Origanum hyemale', 'Thymus vulgaris var. hyemalis')"
Thymus mastichina,"('Origanum mastichina', 'Satureja mastichina')"
Tilia amurensis,"('Tilia cordata var. amurensis',)"
Tilia mandshurica,"('Tilia argentea f. mandshurica',)"
Tordylium maximum,"('Heracleum tordylium', 'Pastinaca tordylium', 'Pastinaca maxima', 'Caucalis maxima')"
Torreya californica,"('Tumion californicum',)"
Torreya nucifera,"('Tumion nuciferum', 'Foetataxus nucifera', 'Taxus nucifera', 'Taxodium nuciferum', 'Caryotaxus nucifera', 'Podocarpus nucifer')"
Toxicodendron acuminatum,"('Rhus acuminata', 'Toxicodendron succedaneum var. acuminatum', 'Rhus succedanea var. acuminata')"
Toxicoscordion venenosum,"('Zigadenus venenosus',)"
Tragopogon dubius,"('Tragopogon major subsp. dubius', 'Tragopogon pratensis subsp. dubius')"
Trifolium angustifolium,"('Triphylloides angustifolia',)"
Trifolium pratense,"('Lagopus pratensis',)"
Trifolium purpureum,"('Trifolium angustifolium subsp. purpureum', 'Trifolium angustifolium subsp. purpureum')"
Trifolium repens,"('Amoria repens',)"
Trifolium subterraneum,"('Calycomorphum subterraneum',)"
Tristaniopsis elliptica,"('Tristania elliptica',)"
Tristaniopsis obovata,"('Tristania obovata',)"
Trymatococcus amazonicus,"('Brosimum amazonicum',)"
Tsuga canadensis,"('Abies curvifolia', 'Pinus canadensis', 'Picea canadensis')"
Turpinia occidentalis,"('Staphylea occidentalis', 'Maurocenia occidentalis')"
Ulmus minor,"('Ulmus vulgaris proles minor', 'Ulmus campestris minor', 'Ulmus campestris var. minor', 'Ulmus glabra f. minor')"
Ulmus rubra,"('Ulmus americana var. rubra',)"
Unonopsis rufescens,"('Trigynaea rufescens',)"
Vaccinium corymbosum,"('Cyanococcus corymbosus',)"
Vepris nobilis,"('Teclea nobilis', 'Toddalia nobilis', 'Cranzia nobilis')"
Veratrum nigrum,"('Helonias nigra', 'Melanthium nigrum')"
Vernonia fasciculata,"('Cacalia fasciculata',)"
Veronica persica,"('Pocilla persica',)"
Veronica spuria,"('Veronica foliosa var. spuria', 'Pseudolysimachion spurium')"
Veronicastrum virginicum,"('Callistachya virginica', 'Paederota virginica', 'Leptandra virginica', 'Veronica virginica')"
Vicia americana,"('Abacosa americana',)"
Viola adunca,"('Viola canina var. adunca',)"
Vitis amurensis,"('Vitis vinifera f. amurensis', 'Vitis vulpina var. amurensis', 'Vitis vinifera var. amurensis')"
Vitis vinifera,"('Cissus vinifera',)"
Vitis vulpina,"('Vitis vinifera var. vulpina', 'Vitis cordifolia var. vulpina')"
Weinmannia elliptica,"('Windmannia elliptica',)"
Weinmannia fagaroides,"('Windmannia fagaroides', 'Weinmannia microphylla var. fagaroides')"
Weinmannia ovata,"('Windmannia ovata',)"
Withania frutescens,"('Physalis frutescens', 'Hypnoticum frutescens', 'Atropa frutescens')"
Wurfbainia villosa,"('Cardamomum villosum', 'Elettaria villosa', 'Zingiber villosum', 'Amomum villosum')"
Xanthisma spinulosum,"('Dieteria spinulosa', 'Sideranthus spinulosus', 'Haplopappus spinulosus', 'Amellus spinulosus')"
Zabelia biflora,"('Abelia biflora',)"
Zizia aurea,"('Smyrnium aureum', 'Sison aureum', 'Carum aureum', 'Thaspium aureum')"
Zygia inaequalis,"('Inga inaequalis', 'Pithecellobium inaequale', 'Feuilleea inaequalis', 'Mimosa inaequalis')"
