binominal,F01286,F01287,F01289,F01290,reconciled_state,source,synonyms
Ambrosia artemisiifolia,Ambrosia,artemisiifolia,Asteraceae,Asterales,AM,Maherali et. al. 2016,['Ambrosia elatior var. artemisiifolia']
Amelanchier alnifolia,Amelanchier,alnifolia,Rosaceae,Rosales,EcMAM,FungalRoot,"['Pyrus alnifolia', 'Amelanchier sanguinea var. alnifolia', 'Amelanchier canadensis var. alnifolia', 'Amelanchier diversifolia var. alnifolia', 'Aronia alnifolia']"
Anaphalis aureopunctata,Anaphalis,aureopunctata,Asteraceae,Asterales,NMAM,FRED4,
Anaphalis hancockii,Anaphalis,hancockii,Asteraceae,Asterales,AM,FRED4,
Anaxagorea javanica,Anaxagorea,javanica,Annonaceae,Magnoliales,,,
Andesanthus lepidotus,Andesanthus,lepidotus,Melastomataceae,Myrtales,,,"['Tibouchina lepidota', 'Pleroma lepidotum', 'Chaetogastra lepidota', 'Rhexia lepidota']"
Andropogon gerardii,Andropogon,gerardii,Poaceae,Poales,AM,Maherali et. al. 2016,
Androsace occidentalis,Androsace,occidentalis,Primulaceae,Ericales,,,"['Primula occidentalis', 'Aretia occidentalis', 'Amadea occidentalis']"
Anemone cylindrica,Anemone,cylindrica,Ranunculaceae,Ranunculales,,,
Aniba coto,Aniba,coto,Lauraceae,Laurales,,,['Nectandra coto']
Aniba guianensis,Aniba,guianensis,Lauraceae,Laurales,AM,FRED4,['Cedrota guianensis']
Aniba hostmanniana,Aniba,hostmanniana,Lauraceae,Laurales,AM,FRED4,['Aydendron hostmannianum']
Aniba muca,Aniba,muca,Lauraceae,Laurales,,,"['Aydendron muca', 'Laurus muca']"
Aniba terminalis,Aniba,terminalis,Lauraceae,Laurales,AM,FRED4,
Antennaria neglecta,Antennaria,neglecta,Asteraceae,Asterales,AM,FungalRoot,
Antennaria parvifolia,Antennaria,parvifolia,Asteraceae,Asterales,AM,FRED4,['Antennaria dioica var. parvifolia']
Anthyllis cytisoides,Anthyllis,cytisoides,Fabaceae,Fabales,AM,Maherali et. al. 2016,['Zenopogon cytisoides']
Anthyllis terniflora,Anthyllis,terniflora,Fabaceae,Fabales,AM,Maherali et. al. 2016,"['Anthyllis cytisoides subsp. terniflora', 'Genista terniflora']"
Antiaris toxicaria,Antiaris,toxicaria,Moraceae,Rosales,NMAM,FungalRoot,"['Cestrum toxicarium', 'Mithridatea toxicaria', 'Ipo toxicaria']"
Antidesma maclurei,Antidesma,maclurei,Phyllanthaceae,Malpighiales,AM,FRED4,
Aphanamixis polystachya,Aphanamixis,polystachya,Meliaceae,Sapindales,AM,FRED4,"['Amoora polystachya', 'Aglaia polystachya', 'Ricinocarpodendron polystachyum']"
Apodytes dimidiata,Apodytes,dimidiata,Metteniusaceae,Metteniusales,NMAM,FungalRoot,
Aporosa octandra,Aporosa,octandra,Phyllanthaceae,Malpighiales,AM,FRED4,['Myrica octandra']
Aporosa subcaudata,Aporosa,subcaudata,Phyllanthaceae,Malpighiales,,,
Aporosa yunnanensis,Aporosa,yunnanensis,Phyllanthaceae,Malpighiales,AM,FRED4,['Aporosa wallichii f. yunnanensis']
Araucaria luxurians,Araucaria,luxurians,Araucariaceae,Araucariales,AM,FRED4,"['Eutassa luxurians', 'Araucaria columnaris f. luxurians', 'Araucaria cookii var. luxurians']"
