binominal,F01286,F01287,F01289,F01290,reconciled_state,source,synonyms
Eumachia podocephala,Eumachia,podocephala,Rubiaceae,Gentianales,AM,FRED4,"['Psychotria podocephala', 'Uragoga podocephala', 'Mapouria podocephala', 'Margaritopsis podocephala']"
Euonymus alatus,Euonymus,alatus,Celastraceae,Celastrales,AM,FRED4,"['Melanocarya alata', 'Euonymus striatus var. alatus', 'Euonymus striatus subsp. alatus', 'Celastrus alatus']"
Euonymus verrucosus,Euonymus,verrucosus,Celastraceae,Celastrales,AM,FRED4,
Euptelea pleiosperma,Euptelea,pleiosperma,Eupteleaceae,Ranunculales,,,
Eurya japonica,Eurya,japonica,Pentaphylacaceae,Ericales,AM,FRED4,
Fagus engleriana,Fagus,engleriana,Fagaceae,Fagales,EcM,FRED4,
Fagus grandifolia,Fagus,grandifolia,Fagaceae,Fagales,EcM,FRED4,
Fagus sylvatica,Fagus,sylvatica,Fagaceae,Fagales,EcM,FRED4,
Fallopia convolvulus,Fallopia,convolvulus,Polygonaceae,Caryophyllales,NMAM,FRED4,"['Tiniaria convolvulus', 'Polygonum convolvulus', 'Reynoutria convolvulus', 'Bilderdykia convolvulus', 'Helxine convolvulus', 'Fagopyrum convolvulus']"
Faramea bangii,Faramea,bangii,Rubiaceae,Gentianales,,,
Faramea capillipes,Faramea,capillipes,Rubiaceae,Gentianales,AM,FRED4,
Faramea platyneura,Faramea,platyneura,Rubiaceae,Gentianales,AM,FRED4,
Faramea torquata,Faramea,torquata,Rubiaceae,Gentianales,AM,FRED4,
Ferdinandusa hirsuta,Ferdinandusa,hirsuta,Rubiaceae,Gentianales,AM,FRED4,
Ferdinandusa rudgeoides,Ferdinandusa,rudgeoides,Rubiaceae,Gentianales,AM,FRED4,['Aspidanthera rudgeoides']
Festuca christianii-bernardii,Festuca,christianii-bernardii,Poaceae,Poales,,,
Festuca hallii,Festuca,hallii,Poaceae,Poales,AM,FungalRoot,"['Festuca altaica subsp. hallii', 'Festuca altaica subvar. hallii', 'Melica hallii', 'Dalucum hallii', 'Festuca scabrella subsp. hallii']"
Festuca ovina,Festuca,ovina,Poaceae,Poales,NMAM,FRED4,"['Bromus ovinus', 'Gnomonia ovina']"
Festuca rubra,Festuca,rubra,Poaceae,Poales,NMAM,FRED4,"['Gramen rubrum', 'Festuca polymorpha var. rubra', 'Festuca communis var. rubra', 'Festuca ovina subsp. rubra', 'Festuca ovina var. rubra', 'Festuca duriuscula var. rubra']"
Ficus apollinaris,Ficus,apollinaris,Moraceae,Rosales,,,
Ficus carica,Ficus,carica,Moraceae,Rosales,AM,FRED4,
Ficus citrifolia,Ficus,citrifolia,Moraceae,Rosales,AM,Maherali et. al. 2016,
Ficus fistulosa,Ficus,fistulosa,Moraceae,Rosales,AM,FungalRoot,
Ficus langkokensis,Ficus,langkokensis,Moraceae,Rosales,AM,FungalRoot,
Ficus maclellandii,Ficus,maclellandii,Moraceae,Rosales,,,
Ficus pertusa,Ficus,pertusa,Moraceae,Rosales,,,['Urostigma pertusum']
Ficus simplicissima,Ficus,simplicissima,Moraceae,Rosales,,,
Ficus sodiroi,Ficus,sodiroi,Moraceae,Rosales,,,
Ficus tonduzii,Ficus,tonduzii,Moraceae,Rosales,,,
Ficus variolosa,Ficus,variolosa,Moraceae,Rosales,AM,FRED4,
Ficus vasculosa,Ficus,vasculosa,Moraceae,Rosales,,,
Filipendula digitata,Filipendula,digitata,Rosaceae,Rosales,NMAM,FRED4,['Spiraea digitata']
Fraxinus americana,Fraxinus,americana,Oleaceae,Lamiales,AM,FRED4,"['Ornus americana', 'Ornanthes americana', 'Calycomelia americana']"
Fraxinus angustifolia,Fraxinus,angustifolia,Oleaceae,Lamiales,AM,FRED4,"['Fraxinus oxyphylla subsp. angustifolia', 'Fraxinus excelsior proles angustifolia', 'Fraxinus oxycarpa var. angustifolia', 'Fraxinus excelsior subsp. angustifolia', 'Fraxinus excelsior var. angustifolia']"
Fraxinus chinensis,Fraxinus,chinensis,Oleaceae,Lamiales,AM,FRED4,
Fraxinus excelsior,Fraxinus,excelsior,Oleaceae,Lamiales,AM,FRED4,
Fraxinus mandshurica,Fraxinus,mandshurica,Oleaceae,Lamiales,AM,FRED4,"['Fraxinus nigra var. mandshurica', 'Fraxinus nigra subsp. mandshurica']"
Fraxinus nigra,Fraxinus,nigra,Oleaceae,Lamiales,AM,FRED4,"['Leptalix nigra', 'Fraxinus americana var. nigra', 'Fraxinoides nigra', 'Calycomelia nigra']"
Fuchsia excorticata,Fuchsia,excorticata,Onagraceae,Myrtales,AM,FRED4,['Skinnera excorticata']
Fumana thymifolia,Fumana,thymifolia,Cistaceae,Malvales,AM,Maherali et. al. 2016,"['Helianthemum thymifolium', 'Helianthemum glutinosum var. thymifolium', 'Cistus thymifolius', 'Fumana glutinosa var. thymifolia', 'Fumanopsis thymifolia']"
Gahnia procera,Gahnia,procera,Cyperaceae,Poales,AM,FRED4,
Gahnia xanthocarpa,Gahnia,xanthocarpa,Cyperaceae,Poales,AM,FRED4,"['Gahnia setifolia var. xanthocarpa', 'Mariscus xanthocarpus', 'Lampocarya xanthocarpa', 'Cladium xanthocarpum']"
Galearia maingayi,Galearia,maingayi,Pandaceae,Malpighiales,,,
Galium aparine,Galium,aparine,Rubiaceae,Gentianales,NMAM,FRED4,"['Asterophyllum aparine', 'Aparine vulgaris', 'Rubia aparine', 'Galion aparinum']"
Galium boreale,Galium,boreale,Rubiaceae,Gentianales,AM,FRED4,"['Aparine borealis', 'Trichogalium boreale', 'Rubia borealis']"
Garcinia cowa,Garcinia,cowa,Clusiaceae,Malpighiales,AM,FRED4,['Stalagmitis cowa']
Garcinia oblongifolia,Garcinia,oblongifolia,Clusiaceae,Malpighiales,AM,FRED4,
Garcinia xanthochymus,Garcinia,xanthochymus,Clusiaceae,Malpighiales,AM,Maherali et. al. 2016,"['Stalagmitis pictoria', 'Xanthochymus pictorius']"
Garuga floribunda,Garuga,floribunda,Burseraceae,Sapindales,,,['Kunthia floribunda']
Geissanthus vanderwerffii,Geissanthus,vanderwerffii,Primulaceae,Ericales,,,
Genista hirsuta,Genista,hirsuta,Fabaceae,Fabales,AM,FRED4,
Genista triacanthos,Genista,triacanthos,Fabaceae,Fabales,,,
Gentiana andrewsii,Gentiana,andrewsii,Gentianaceae,Gentianales,,,"['Pneumonanthe andrewsii', 'Dasystephana andrewsii']"
Geranium rotundifolium,Geranium,rotundifolium,Geraniaceae,Geraniales,AM,Maherali et. al. 2016,
Ginkgo biloba,Ginkgo,biloba,Ginkgoaceae,Ginkgoales,AM,FRED4,['Salisburia biloba']
Gironniera subaequalis,Gironniera,subaequalis,Cannabaceae,Rosales,NM,FRED4,['Gironniera nervosa var. subaequalis']
Gleditsia triacanthos,Gleditsia,triacanthos,Fabaceae,Fabales,AM,FRED4,['Caesalpiniodes triacanthum']
Glochidion eriocarpum,Glochidion,eriocarpum,Phyllanthaceae,Malpighiales,,,
Glochidion lanceolarium,Glochidion,lanceolarium,Phyllanthaceae,Malpighiales,,,
Gnetum gnemon,Gnetum,gnemon,Gnetaceae,Gnetales,AM,FRED4,
Goniothalamus griffithii,Goniothalamus,griffithii,Annonaceae,Magnoliales,AM,FRED4,
Gordonia fruticosa,Gordonia,fruticosa,Theaceae,Ericales,,,"['Laplacea fruticosa', 'Wikstroemia fruticosa']"
Graffenrieda emarginata,Graffenrieda,emarginata,Melastomataceae,Myrtales,EcMAM,FungalRoot,
Graffenrieda harlingii,Graffenrieda,harlingii,Melastomataceae,Myrtales,,,
Graffenrieda uribei,Graffenrieda,uribei,Melastomataceae,Myrtales,,,
Grias peruviana,Grias,peruviana,Lecythidaceae,Ericales,,,
Guarea kunthiana,Guarea,kunthiana,Meliaceae,Sapindales,AM,FungalRoot,
Guarea macrophylla,Guarea,macrophylla,Meliaceae,Sapindales,,,
Guarea subandina,Guarea,subandina,Meliaceae,Sapindales,,,
Gutierrezia sarothrae,Gutierrezia,sarothrae,Asteraceae,Asterales,AM,Maherali et. al. 2016,"['Xanthocephalum sarothrae', 'Solidago sarothrae']"
Gymnosporia arbutifolia,Gymnosporia,arbutifolia,Celastraceae,Celastrales,,,"['Celastrus arbutifolius', 'Maytenus arbutifolia']"
Hakea ceratophylla,Hakea,ceratophylla,Proteaceae,Proteales,NM,FungalRoot,['Conchium ceratophyllum']
Hakea cyclocarpa,Hakea,cyclocarpa,Proteaceae,Proteales,,,
Hakea linearis,Hakea,linearis,Proteaceae,Proteales,,,
Hakea lissocarpha,Hakea,lissocarpha,Proteaceae,Proteales,NM,FungalRoot,
Hakea oldfieldii,Hakea,oldfieldii,Proteaceae,Proteales,,,
Hakea tuberculata,Hakea,tuberculata,Proteaceae,Proteales,,,
Hakea varia,Hakea,varia,Proteaceae,Proteales,,,
Halesia tetraptera,Halesia,tetraptera,Styracaceae,Ericales,,,
Halocarpus biformis,Halocarpus,biformis,Podocarpaceae,Araucariales,AM,FRED4,"['Dacrydium biforme', 'Podocarpus biformis']"
Halocarpus kirkii,Halocarpus,kirkii,Podocarpaceae,Araucariales,AM,FRED4,['Dacrydium kirkii']
Hamamelis virginiana,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,AM,FRED4,['Trilopus virginiana']
Handroanthus guayacan,Handroanthus,guayacan,Bignoniaceae,Lamiales,AM,FRED4,"['Tabebuia guayacan', 'Tecoma guayacan']"
Handroanthus ochraceus,Handroanthus,ochraceus,Bignoniaceae,Lamiales,AM,FRED4,"['Tecoma ochracea', 'Tabebuia ochracea']"
Harpullia cupanioides,Harpullia,cupanioides,Sapindaceae,Sapindales,AM,FungalRoot,
Hedeoma hispida,Hedeoma,hispida,Lamiaceae,Lamiales,,,"['Cunila hispida', 'Ziziphora hispida']"
Hedera helix,Hedera,helix,Araliaceae,Apiales,AM,FRED4,
Hedycarya arborea,Hedycarya,arborea,Monimiaceae,Laurales,AM,FRED4,
Hedyosmum goudotianum,Hedyosmum,goudotianum,Chloranthaceae,Chloranthales,,,['Tafalla goudotiana']
Hedyosmum purpurascens,Hedyosmum,purpurascens,Chloranthaceae,Chloranthales,,,
Helianthemum almeriense,Helianthemum,almeriense,Cistaceae,Malvales,EcM,Maherali et. al. 2016,
Helianthemum apenninum,Helianthemum,apenninum,Cistaceae,Malvales,EcMAM,FungalRoot,"['Helianthemum polifolium subsp. apenninum', 'Helianthemum polifolium var. apenninum', 'Cistus apenninus']"
Helianthemum oelandicum,Helianthemum,oelandicum,Cistaceae,Malvales,,,"['Helianthemum oelandicum var. glabrum', 'Cistus oelandicus']"
Helianthemum syriacum,Helianthemum,syriacum,Cistaceae,Malvales,,,"['Halimium syriacum', 'Cistus lavandulifolius var. syriacus', 'Cistus syriacus', 'Helianthemum racemosum var. syriacum', 'Helianthemum lavandulifolium var. syriacum']"
Helianthus agrestis,Helianthus,agrestis,Asteraceae,Asterales,,,
Helianthus angustifolius,Helianthus,angustifolius,Asteraceae,Asterales,,,['Discomela angustifolius']
Helianthus annuus,Helianthus,annuus,Asteraceae,Asterales,AM,Maherali et. al. 2016,
Helianthus argophyllus,Helianthus,argophyllus,Asteraceae,Asterales,AM,Maherali et. al. 2016,['Helianthus annuus var. argophyllus']
Helianthus atrorubens,Helianthus,atrorubens,Asteraceae,Asterales,,,
Helianthus carnosus,Helianthus,carnosus,Asteraceae,Asterales,,,
Helianthus cusickii,Helianthus,cusickii,Asteraceae,Asterales,,,
Helianthus debilis,Helianthus,debilis,Asteraceae,Asterales,AM,Maherali et. al. 2016,['Helianthus annuus var. debilis']
Helianthus floridanus,Helianthus,floridanus,Asteraceae,Asterales,,,
Helianthus giganteus,Helianthus,giganteus,Asteraceae,Asterales,,,['Helianthus angustifolius subsp. giganteus']
Helianthus grosseserratus,Helianthus,grosseserratus,Asteraceae,Asterales,AM,FungalRoot,
Helianthus heterophyllus,Helianthus,heterophyllus,Asteraceae,Asterales,,,['Helianthus atrorubens subsp. heterophyllus']
Helianthus longifolius,Helianthus,longifolius,Asteraceae,Asterales,,,
Helianthus maximiliani,Helianthus,maximiliani,Asteraceae,Asterales,AM,Maherali et. al. 2016,
Helianthus mollis,Helianthus,mollis,Asteraceae,Asterales,AM,FungalRoot,
Helianthus neglectus,Helianthus,neglectus,Asteraceae,Asterales,,,
Helianthus niveus,Helianthus,niveus,Asteraceae,Asterales,AM,Maherali et. al. 2016,"['Helianthus annuus var. niveus', 'Encelia nivea']"
Helianthus occidentalis,Helianthus,occidentalis,Asteraceae,Asterales,,,
Helianthus pauciflorus,Helianthus,pauciflorus,Asteraceae,Asterales,AM,FungalRoot,
Helianthus petiolaris,Helianthus,petiolaris,Asteraceae,Asterales,AM,Maherali et. al. 2016,['Helianthus annuus subsp. petiolaris']
Helianthus porteri,Helianthus,porteri,Asteraceae,Asterales,,,"['Gymnolomia porteri', 'Rudbeckia porteri']"
Helianthus praecox,Helianthus,praecox,Asteraceae,Asterales,,,"['Helianthus debilis subsp. praecox', 'Helianthus cucumerifolius var. praecox']"
Helianthus radula,Helianthus,radula,Asteraceae,Asterales,,,"['Centrocarpha radula', 'Helianthus atrorubens subsp. radula', 'Rudbeckia radula']"
Helianthus salicifolius,Helianthus,salicifolius,Asteraceae,Asterales,,,
Helianthus silphioides,Helianthus,silphioides,Asteraceae,Asterales,,,
Helianthus verticillatus,Helianthus,verticillatus,Asteraceae,Asterales,,,
Helichrysum italicum,Helichrysum,italicum,Asteraceae,Asterales,AM,Maherali et. al. 2016,['Gnaphalium italicum']
Helichrysum stoechas,Helichrysum,stoechas,Asteraceae,Asterales,AM,Maherali et. al. 2016,['Gnaphalium stoechas']
Helicia formosana,Helicia,formosana,Proteaceae,Proteales,AM,FRED4,
Helicostylis scabra,Helicostylis,scabra,Moraceae,Rosales,AM,FRED4,['Pseudolmedia scabra']
Helicostylis tomentosa,Helicostylis,tomentosa,Moraceae,Rosales,AM,FungalRoot,['Olmedia tomentosa']
Helicostylis tovarensis,Helicostylis,tovarensis,Moraceae,Rosales,,,['Olmedia tovarensis']
Heliocarpus americanus,Heliocarpus,americanus,Malvaceae,Malvales,AM,Maherali et. al. 2016,
Heliopsis helianthoides,Heliopsis,helianthoides,Asteraceae,Asterales,NM,FungalRoot,['Buphthalmum helianthoides']
Heptapleurum heptaphyllum,Heptapleurum,heptaphyllum,Araliaceae,Apiales,AM,FRED4,"['Aralia heptaphylla', 'Sciodaphyllum heptaphyllum', 'Schefflera heptaphylla', 'Vitis heptaphylla', 'Ampelopsis heptaphylla']"
Heptapleurum minutistellatum,Heptapleurum,minutistellatum,Araliaceae,Apiales,AM,FRED4,['Schefflera minutistellata']
Hesperostipa comata,Hesperostipa,comata,Poaceae,Poales,AM,FungalRoot,['Stipa comata']
Hesperostipa spartea,Hesperostipa,spartea,Poaceae,Poales,AM,FungalRoot,['Stipa spartea']
Heuchera richardsonii,Heuchera,richardsonii,Saxifragaceae,Saxifragales,,,['Heuchera hispida var. richardsonii']
Hieronyma asperifolia,Hieronyma,asperifolia,Phyllanthaceae,Malpighiales,,,
Hieronyma fendleri,Hieronyma,fendleri,Phyllanthaceae,Malpighiales,,,['Hieronyma moritziana var. fendleri']
Hieronyma macrocarpa,Hieronyma,macrocarpa,Phyllanthaceae,Malpighiales,,,
Hieronyma oblonga,Hieronyma,oblonga,Phyllanthaceae,Malpighiales,,,['Stilaginella oblonga']
Hoheria lyallii,Hoheria,lyallii,Malvaceae,Malvales,AM,FRED4,"['Gaya lyallii', 'Plagianthus lyallii']"
Hoheria sexstylosa,Hoheria,sexstylosa,Malvaceae,Malvales,AM,FRED4,
Holcus lanatus,Holcus,lanatus,Poaceae,Poales,AM,FRED4,"['Notholcus lanatus', 'Avena lanata', 'Nothoholcus lanatus', 'Ginannia lanata']"
Horsfieldia amygdalina,Horsfieldia,amygdalina,Myristicaceae,Magnoliales,,,"['Palala amygdalina', 'Myristica amygdalina']"
Hosta ventricosa,Hosta,ventricosa,Asparagaceae,Asparagales,AM,FRED4,"['Niobe caerulea', 'Hemerocallis caerulea', 'Saussurea caerulea', 'Funkia caerulea', 'Hosta japonica var. caerulea', 'Funkia ovata var. caerulea']"
Hymenopus adolphoduckei,Hymenopus,adolphoduckei,Chrysobalanaceae,Malpighiales,AM,FRED4,['Licania adolphoduckei']
Hymenopus caudatus,Hymenopus,caudatus,Chrysobalanaceae,Malpighiales,AM,FRED4,['Licania caudata']
Hymenopus macrophyllus,Hymenopus,macrophyllus,Chrysobalanaceae,Malpighiales,AM,FRED4,['Licania macrophylla']
Hymenopus reticulatus,Hymenopus,reticulatus,Chrysobalanaceae,Malpighiales,AM,FRED4,['Licania reticulata']
Hymenopus sothersiae,Hymenopus,sothersiae,Chrysobalanaceae,Malpighiales,AM,FRED4,['Licania sothersiae']
Hymenoxys richardsonii,Hymenoxys,richardsonii,Asteraceae,Asterales,AM,FungalRoot,"['Picradenia richardsonii', 'Actinea richardsonii', 'Actinella richardsonii']"
Hypobathrum racemosum,Hypobathrum,racemosum,Rubiaceae,Gentianales,,,"['Randia racemosa', 'Petunga racemosa']"
Ilex laurina,Ilex,laurina,Aquifoliaceae,Aquifoliales,,,
Ilex macropoda,Ilex,macropoda,Aquifoliaceae,Aquifoliales,,,"['Ilex montana var. macropoda', 'Ilex monticola var. macropoda', 'Ilex dubia var. macropoda', 'Ilex ambigua subsp. macropoda', 'Ilex ambigua var. macropoda']"
Ilex opaca,Ilex,opaca,Aquifoliaceae,Aquifoliales,AM,FRED4,"['Ageria opaca', 'Ilex aquifolium var. opaca']"
Ilex pedunculosa,Ilex,pedunculosa,Aquifoliaceae,Aquifoliales,AM,FungalRoot,
Ilex teratopis,Ilex,teratopis,Aquifoliaceae,Aquifoliales,,,
Ilex verticillata,Ilex,verticillata,Aquifoliaceae,Aquifoliales,AM,Maherali et. al. 2016,['Prinos verticillatus']
Imbralyx leptobotrys,Imbralyx,leptobotrys,Fabaceae,Fabales,AM,FungalRoot,"['Fordia leptobotrys', 'Millettia leptobotrys']"
Inga alba,Inga,alba,Fabaceae,Fabales,AM,FRED4,"['Feuilleea alba', 'Mimosa alba']"
Inga auristellae,Inga,auristellae,Fabaceae,Fabales,AM,FRED4,
Inga bicoloriflora,Inga,bicoloriflora,Fabaceae,Fabales,AM,FRED4,
Inga brevipes,Inga,brevipes,Fabaceae,Fabales,AM,FRED4,['Feuilleea alata']
Inga cayennensis,Inga,cayennensis,Fabaceae,Fabales,AM,FRED4,['Feuilleea cayennensis']
Inga cordatoalata,Inga,cordatoalata,Fabaceae,Fabales,AM,FRED4,
Inga extra-nodis,Inga,extra-nodis,Fabaceae,Fabales,,,
Inga gracilifolia,Inga,gracilifolia,Fabaceae,Fabales,AM,FRED4,
Inga huberi,Inga,huberi,Fabaceae,Fabales,AM,FRED4,
Inga lateriflora,Inga,lateriflora,Fabaceae,Fabales,AM,FRED4,['Feuilleea lateriflora']
Inga loubryana,Inga,loubryana,Fabaceae,Fabales,,,
Inga macrophylla,Inga,macrophylla,Fabaceae,Fabales,AM,FRED4,"['Feuilleea macrophylla', 'Mimosa macrophylla']"
Inga marginata,Inga,marginata,Fabaceae,Fabales,AM,FRED4,"['Inga fagifolia var. marginata', 'Feuilleea marginata']"
Inga nobilis,Inga,nobilis,Fabaceae,Fabales,AM,Maherali et. al. 2016,['Feuilleea nobilis']
Inga obidensis,Inga,obidensis,Fabaceae,Fabales,AM,FRED4,
Inga paraensis,Inga,paraensis,Fabaceae,Fabales,AM,FRED4,
Inga rubiginosa,Inga,rubiginosa,Fabaceae,Fabales,,,"['Feuilleea rubiginosa', 'Mimosa rubiginosa']"
Inga ruiziana,Inga,ruiziana,Fabaceae,Fabales,AM,FRED4,['Feuilleea ruiziana']
Inga splendens,Inga,splendens,Fabaceae,Fabales,AM,FRED4,"['Mimosa splendens', 'Feuilleea splendens']"
Inga stipularis,Inga,stipularis,Fabaceae,Fabales,AM,FRED4,['Feuilleea stipularis']
Inga suberosa,Inga,suberosa,Fabaceae,Fabales,AM,FRED4,
Inga thibaudiana,Inga,thibaudiana,Fabaceae,Fabales,AM,FRED4,['Feuilleea thibaudiana']
Inga umbellifera,Inga,umbellifera,Fabaceae,Fabales,AM,FRED4,"['Feuilleea umbellifera', 'Mimosa umbellifera']"
Inga umbratica,Inga,umbratica,Fabaceae,Fabales,AM,FRED4,['Feuilleea umbratica']
Inula conyza,Inula,conyza,Asteraceae,Asterales,AM,FRED4,
Iris japonica,Iris,japonica,Iridaceae,Asparagales,AM,FRED4,['Evansia japonica']
Iris versicolor,Iris,versicolor,Iridaceae,Asparagales,AM,Maherali et. al. 2016,"['Xiphion versicolor', 'Limniris versicolor']"
Itea chinensis,Itea,chinensis,Iteaceae,Saxifragales,AM,FRED4,['Polyosma chinensis']
Ixora intensa,Ixora,intensa,Rubiaceae,Gentianales,AM,FRED4,
Ixora panurensis,Ixora,panurensis,Rubiaceae,Gentianales,AM,FRED4,
Juglans mandshurica,Juglans,mandshurica,Juglandaceae,Fagales,AM,FRED4,
Juglans nigra,Juglans,nigra,Juglandaceae,Fagales,AM,FRED4,['Wallia nigra']
Juniperus chinensis,Juniperus,chinensis,Cupressaceae,Cupressales,AM,FRED4,['Sabina chinensis']
Juniperus communis,Juniperus,communis,Cupressaceae,Cupressales,AM,FRED4,
Juniperus phoenicea,Juniperus,phoenicea,Cupressaceae,Cupressales,NMAM,FungalRoot,"['Sabinella phoenicea', 'Sabina phoenicea']"
Juniperus sabina,Juniperus,sabina,Cupressaceae,Cupressales,AM,FRED4,['Sabina vulgaris']
Knema erratica,Knema,erratica,Myristicaceae,Magnoliales,AM,FRED4,"['Myristica longifolia var. erratica', 'Myristica erratica']"
Knightia excelsa,Knightia,excelsa,Proteaceae,Proteales,NMAM,FRED4,['Rymandra excelsa']
Koeleria macrantha,Koeleria,macrantha,Poaceae,Poales,AM,FRED4,"['Koeleria cristata var. macrantha', 'Aira macrantha', 'Koeleria cristata subsp. macrantha']"
Koeleria pyramidata,Koeleria,pyramidata,Poaceae,Poales,AM,FRED4,"['Poa pyramidata', 'Koeleria cristata subsp. pyramidata', 'Koeleria cristata var. pyramidata', 'Koeleria ciliata var. pyramidata']"
Koeleria vallesiana,Koeleria,vallesiana,Poaceae,Poales,AM,Maherali et. al. 2016,"['Airochloa vallesiana', 'Aira vallesiana', 'Poa vallesiana', 'Koeleria setacea var. glabra']"
Koelreuteria paniculata,Koelreuteria,paniculata,Sapindaceae,Sapindales,AM,FRED4,['Sapindus paniculata']
Krascheninnikovia ceratoides,Krascheninnikovia,ceratoides,Amaranthaceae,Caryophyllales,AM,FRED4,"['Axyris ceratoides', 'Ceratoides papposa', 'Diotis ceratoides', 'Eurotia ceratoides']"
Kubitzkia mezii,Kubitzkia,mezii,Lauraceae,Laurales,AM,FRED4,['Systemonodaphne mezii']
Kunzea ericoides,Kunzea,ericoides,Myrtaceae,Myrtales,EcMAM,FRED4,['Leptospermum ericoides']
Kutchubaea oocarpa,Kutchubaea,oocarpa,Rubiaceae,Gentianales,AM,FRED4,"['Amaioua oocarpa', 'Duroia oocarpa']"
Kutchubaea semisericea,Kutchubaea,semisericea,Rubiaceae,Gentianales,AM,FRED4,
Kutchubaea sericantha,Kutchubaea,sericantha,Rubiaceae,Gentianales,AM,FRED4,['Einsteinia sericantha']
Lactuca tatarica,Lactuca,tatarica,Asteraceae,Asterales,AM,FRED4,"['Lagedium tataricum', 'Wiestia tatarica', 'Mulgedium tataricum', 'Sonchus tataricus', 'Agathyrsus tataricus']"
Ladenbergia riveroana,Ladenbergia,riveroana,Rubiaceae,Gentianales,,,"['Remijia riveroana', 'Cascarilla riveroana']"
Lamium album,Lamium,album,Lamiaceae,Lamiales,NMAM,FRED4,
Larix decidua,Larix,decidua,Pinaceae,Pinales,EcM,FRED4,"['Abies larix', 'Picea larix', 'Pinus larix']"
Larix gmelinii,Larix,gmelinii,Pinaceae,Pinales,EcMAM,FRED4,['Abies gmelinii']
Larix kaempferi,Larix,kaempferi,Pinaceae,Pinales,EcM,FRED4,"['Abies kaempferi', 'Pinus kaempferi', 'Pseudolarix kaempferi', 'Laricopsis kaempferi']"
Lathyrus venosus,Lathyrus,venosus,Fabaceae,Fabales,,,
Launaea arborescens,Launaea,arborescens,Asteraceae,Asterales,,,['Zollikoferia arborescens']
Laurelia novae-zelandiae,Laurelia,novae-zelandiae,Atherospermataceae,Laurales,AM,FRED4,"['Atherosperma novae-zelandiae', 'Pavonia novozelandiae']"
Lavandula multifida,Lavandula,multifida,Lamiaceae,Lamiales,AM,FRED4,
Leonia glycycarpa,Leonia,glycycarpa,Violaceae,Malpighiales,,,['Theophrasta glycycarpa']
Lepidium densiflorum,Lepidium,densiflorum,Brassicaceae,Brassicales,NM,Maherali et. al. 2016,
Lepidothamnus intermedius,Lepidothamnus,intermedius,Podocarpaceae,Araucariales,AM,FRED4,['Dacrydium intermedium']
Lepisanthes senegalensis,Lepisanthes,senegalensis,Sapindaceae,Sapindales,AM,FungalRoot,"['Sapindus senegalensis', 'Aphania senegalensis']"
Leptecophylla juniperina,Leptecophylla,juniperina,Ericaceae,Ericales,ErM,FRED4,"['Styphelia juniperina', 'Epacris juniperina', 'Cyathodes juniperina']"
Leptobalanus granvillei,Leptobalanus,granvillei,Chrysobalanaceae,Malpighiales,AM,FRED4,['Licania granvillei']
Leptobalanus latus,Leptobalanus,latus,Chrysobalanaceae,Malpighiales,AM,FRED4,['Licania lata']
Leptobalanus longistylus,Leptobalanus,longistylus,Chrysobalanaceae,Malpighiales,AM,FRED4,"['Licania longistyla', 'Moquilea longistyla']"
Leptobalanus octandrus,Leptobalanus,octandrus,Chrysobalanaceae,Malpighiales,AM,FRED4,"['Licania octandra', 'Hirtella octandra']"
Leptobalanus sprucei,Leptobalanus,sprucei,Chrysobalanaceae,Malpighiales,AM,FRED4,"['Moquilea sprucei', 'Licania sprucei']"
Leptospermum scoparium,Leptospermum,scoparium,Myrtaceae,Myrtales,EcMAM,FRED4,"['Melaleuca scoparia', 'Philadelphus scoparius']"
Lespedeza bicolor,Lespedeza,bicolor,Fabaceae,Fabales,AM,FRED4,
Lespedeza capitata,Lespedeza,capitata,Fabaceae,Fabales,AM,Maherali et. al. 2016,['Despeleza capitata']
Lespedeza davurica,Lespedeza,davurica,Fabaceae,Fabales,,,
Lespedeza thunbergii,Lespedeza,thunbergii,Fabaceae,Fabales,EcMAM,FungalRoot,['Desmodium thunbergii']
Leymus chinensis,Leymus,chinensis,Poaceae,Poales,AM,FRED4,"['Agropyron chinense', 'Aneurolepidium chinense', 'Elymus chinensis', 'Triticum chinense']"
Liatris aspera,Liatris,aspera,Asteraceae,Asterales,AM,Maherali et. al. 2016,"['Lacinaria scariosa var. aspera', 'Lacinaria aspera']"
Licania bracteata,Licania,bracteata,Chrysobalanaceae,Malpighiales,AM,FRED4,
Licania gracilipes,Licania,gracilipes,Chrysobalanaceae,Malpighiales,AM,FRED4,
Licania harlingii,Licania,harlingii,Chrysobalanaceae,Malpighiales,,,
Licania hypoleuca,Licania,hypoleuca,Chrysobalanaceae,Malpighiales,AM,FRED4,
Licania irwinii,Licania,irwinii,Chrysobalanaceae,Malpighiales,,,
Licania micrantha,Licania,micrantha,Chrysobalanaceae,Malpighiales,AM,FRED4,
Licania niloi,Licania,niloi,Chrysobalanaceae,Malpighiales,AM,FRED4,
Licania ovalifolia,Licania,ovalifolia,Chrysobalanaceae,Malpighiales,,,
Licania parviflora,Licania,parviflora,Chrysobalanaceae,Malpighiales,AM,FRED4,
Licania rodriguesii,Licania,rodriguesii,Chrysobalanaceae,Malpighiales,AM,FRED4,
Licaria chrysophylla,Licaria,chrysophylla,Lauraceae,Laurales,AM,FRED4,"['Misanteca chrysophylla', 'Acrodiclidium chrysophyllum']"
