binominal,F01286,F01289,F00679,F00727,F00709,state,state_source,synonym
Artemisia_ludoviciana,Artemisia,Asteraceae,-1.091111916,4.43512083431079,-1.684369325,AM,FRED4,"('Artemisia vulgaris var. ludoviciana', 'Artemisia vulgaris subsp. ludoviciana')"
Artemisia_cana,Artemisia,Asteraceae,-1.171182982,4.02391358608675,-1.340672101,AM,"(Soudzilovskaia et al., 2020)","('Seriphidium canum',)"
Achillea_millefolium,Achillea,Asteraceae,-1.109983362,5.26711120084677,-2.034730354,AM,"(Soudzilovskaia et al., 2020)","('Chamaemelum millefolium', 'Alitubus millefolium', 'Santolina millefolium')"
Crepis_foetida,Crepis,Asteraceae,-1.362577835,5.70711026474888,-2.63108916,AM,Maherali et. al. 2016,"('Hostia foetida', 'Wibelia foetida', 'Rhynchopappus foetidus', 'Anisoderis foetida', 'Arnoseris foetida', 'Barkhausia foetida', 'Berinia foetida', 'Picris foetida', 'Hieracium foetidum', 'Hieracioides foetida')"
Crepis_tectorum,Crepis,Asteraceae,-1.078809661,4.779123493,-2.407945609,AM,"(Soudzilovskaia et al., 2020)","('Hieracioides tectorum', 'Hedypnois tectorum', 'Hieracium tectorum')"
Taraxacum_campylodes,Taraxacum,Asteraceae,-1.28076386,5.47501795882032,-1.837304823,AM,FRED4,
Picris_hieracioides,Picris,Asteraceae,-1.32425897,5.29831736654804,-2.137070655,AM,FRED4,"('Crepis hieracioides',)"
Nabalus_tatarinowii,Nabalus,Asteraceae,-1.723727059,5.837122182327,-2.14843441,AM,FRED4,"('Prenanthes tatarinowii',)"
Launaea_arborescens,Launaea,Asteraceae,-0.977966687,1.86229379004909,-0.781773764,AM,"(Brundrett and Tedersoo, 2018)","('Zollikoferia arborescens',)"
Lactuca_tatarica,Lactuca,Asteraceae,-1.089677325,4.346291841,-1.545395871,AM,FRED4,"('Lagedium tataricum', 'Wiestia tatarica', 'Mulgedium tataricum', 'Sonchus tataricus', 'Agathyrsus tataricus')"
Pilosella_officinarum,Pilosella,Asteraceae,-0.927479091,4.27037693464858,-2.065242039,AM,FRED4,"('Hieracium pilosella',)"
Lygodesmia_juncea,Lygodesmia,Asteraceae,-0.994657761,3.50125631734703,-1.023245924,AM,FRED4,"('Prenanthes juncea',)"
Cichorium_intybus,Cichorium,Asteraceae,-1.037705353,5.93723432917947,-3.884458277,AM,FRED4,
Tragopogon_dubius,Tragopogon,Asteraceae,-1.255968099,4.74174589858957,-1.721229318,AM,FRED4,"('Tragopogon major subsp. dubius', 'Tragopogon pratensis subsp. dubius')"
Critoniopsis_pycnantha,Critoniopsis,Asteraceae,-0.558194363,2.82167027490809,-1.260412838,AM,"(Brundrett and Tedersoo, 2018)","('Vernonia pycnantha',)"
Critoniopsis_floribunda,Critoniopsis,Asteraceae,-0.781213659,3.18311308777822,-1.273892818,AM,"(Brundrett and Tedersoo, 2018)","('Vernonia floribunda',)"
Vernonia_fasciculata,Vernonia,Asteraceae,-1.171182982,4.81218435537242,-2.207274913,AM,Maherali et. al. 2016,"('Cacalia fasciculata',)"
Centaurea_pectinata,Centaurea,Asteraceae,-0.754618298,4.22739588096293,-2.069962451,AM,"(Brundrett and Tedersoo, 2018)","('Jacea pectinata',)"
