binominal,F01286,F01287,F00679_mean,F00679_sem,F00727_mean,F00727_sem,F00709_mean,F00709_sem
Antiaris_toxicaria,Antiaris,toxicaria,-0.35586733012755545,0.04315263810216653,2.0784189559889485,0.21551993596571462,-0.9844159762288841,0.08203421371716656
Antidesma_maclurei,Antidesma,maclurei,-0.909985650739561,,2.995232148512309,,-1.2378743560016174,
Aphanamixis_polystachya,Aphanamixis,polystachya,-1.054679016426181,0.2679347607369738,3.2915058737301726,0.7271628997349775,-0.8486091799206538,0.08819894397466774
Apodytes_dimidiata,Apodytes,dimidiata,-0.5978370007556204,,2.5572273113676265,,-1.0788096613719298,
Aporosa_octandra,Aporosa,octandra,-1.0034293896909183,,3.3724549127965013,,-1.0788096613719298,
Aporosa_subcaudata,Aporosa,subcaudata,-0.6995677483628681,,2.4220089311308337,,-0.7807452401596214,
Aporosa_yunnanensis,Aporosa,yunnanensis,-0.6579130970692266,0.11584624944584168,2.658909827272607,0.26358591276023824,-1.056793736728403,0.08318771395581159
Araucaria_luxurians,Araucaria,luxurians,-0.5661284940389203,0.06370264783036575,3.137217683469982,0.2231786073596639,-1.4973862453092508,0.1579255417085973
Araucaria_rulei,Araucaria,rulei,-1.1623525083160235,0.29209533006325256,3.3712493481706716,0.6465282409737134,-1.008342543100038,0.12200228983320542
Arbutus_unedo,Arbutus,unedo,-0.6933805417865585,,2.4945979586490235,,-0.5830853416610542,
Archidendron_clypearia,Archidendron,clypearia,-1.306263961214402,,4.2531984503199265,,-0.8915981192837836,
Archidendron_lucidum,Archidendron,lucidum,-1.3449221180141588,,4.07567129695648,,-1.171182981502945,
Ardisia_depressa,Ardisia,depressa,-1.0671165469273196,0.150648220489815,3.6734973604517682,0.27315976454282465,-1.2976997741905978,0.11631951666527227
Ardisia_japonica,Ardisia,japonica,-1.469241281940817,,4.620057234933822,,-1.4175469058938364,
Ardisia_quinquegona,Ardisia,quinquegona,-0.6011613109748714,0.16437110818745587,2.7574617168718802,0.19571948849442025,-1.3209651119339676,0.1517501641941405
Arenaria_serpyllifolia,Arenaria,serpyllifolia,-1.565421027017326,,6.481577129276431,,-2.703062659591171,
Aristotelia_serrata,Aristotelia,serrata,-1.0235543031063132,0.029644859026090636,4.252273966125488,0.15734013848172532,-1.9576042538387477,0.1993786011647267
Armeria_velutina,Armeria,velutina,-0.676437566996998,,2.3518964032480256,,-0.49355447410103276,
Arnica_fulgens,Arnica,fulgens,-0.6627149734397434,,2.7651715000311867,,-1.124452334533328,
Arnica_sororia,Arnica,sororia,-1.4134600291926602,,4.3422566039633335,,-1.2039728043259361,
Artemisia_barrelieri,Artemisia,barrelieri,-0.8560191135325868,,1.6239199287813029,,-0.7989399985358439,
Artemisia_cana,Artemisia,cana,-1.171182981502945,,4.023913586086754,,-1.3406721008922717,
Artemisia_frigida,Artemisia,frigida,-1.1876236104009679,0.06174452295779435,4.0618759231433375,0.16326224780389667,-1.4104564396754322,0.07149145033904261
Artemisia_igniaria,Artemisia,igniaria,-1.7885645783315358,,5.318869012769295,,-1.5018072470172452,
Artemisia_ludoviciana,Artemisia,ludoviciana,-1.0911885321834227,0.012378870811492915,4.397755988462842,0.275072845999063,-1.775019606796425,0.4322553063932958
Artemisia_mongolica,Artemisia,mongolica,-1.795165262362888,,5.276430365583576,,-1.4395388757949528,
Artocarpus_lakoocha,Artocarpus,lakoocha,-0.24453744357620544,,1.9822398245462034,,-1.1761407023295931,
Artocarpus_styracifolius,Artocarpus,styracifolius,-1.262449734084912,,3.5421180727185324,,-0.527632742082372,
Ascarina_lucida,Ascarina,lucida,-0.6348782724359695,,3.100092288878234,,-1.6094379124341003,
Asclepias_incarnata,Asclepias,incarnata,-1.0216512475319814,,4.248495242049359,,-1.9661128563728327,
Asclepias_syriaca,Asclepias,syriaca,-0.843970070294529,,3.871201010907891,,-1.9661128563728327,
Asclepias_tuberosa,Asclepias,tuberosa,-0.6931471805599453,,3.1354942159291497,,-1.5141277326297755,
Asimina_triloba,Asimina,triloba,-0.6702205935401236,0.5307649655265342,2.524287989738684,0.08196480301668838,-1.8047007991805823,0.013952259007243567
Asparagus_schoberioides,Asparagus,schoberioides,-1.0708998501015738,,4.78553148940686,,-2.406725353466155,
Asplenium_bulbiferum,Asplenium,bulbiferum,-0.843970070294529,,3.459466289786131,,-1.6094379124341003,
Astelia_fragrans,Astelia,fragrans,-0.06187540371808753,,2.5572273113676265,,-2.4079456086518722,
Astelia_nervosa,Astelia,nervosa,-0.05129329438755058,,2.6741486494265287,,-2.4079456086518722,
Aster_lanceolatus,Aster,lanceolatus,-1.0216512475319814,,4.219507705176107,,-1.8971199848858813,
Aster_scaber,Aster,scaber,-1.554476354360126,,5.389988204702237,,-2.0281482500922854,
Aster_tataricus,Aster,tataricus,-1.6245515502441485,,5.694102440602895,,-2.184802057337662,
Astilbe_rivularis,Astilbe,rivularis,-0.9564618965634318,,3.6047036853482144,,-1.4515348843366063,
Astilbe_rubra,Astilbe,rubra,-1.7620065110787073,,5.3774425203207885,,-1.6094379124341003,
Astragalus_aboriginum,Astragalus,aboriginum,-1.5329399414613754,,3.7607826164598617,,-0.4307829160924542,
Astragalus_agrestis,Astragalus,agrestis,-0.9450760833059084,,3.0361683041597565,,-0.87638008370386,
Astragalus_bisulcatus,Astragalus,bisulcatus,-1.0367648853420295,,4.505276183130613,,-2.1594842526867057,
Astragalus_canadensis,Astragalus,canadensis,-0.8675005677047231,,3.5263605246161616,,-1.5141277326297755,
Astragalus_scaberrimus,Astragalus,scaberrimus,-1.2554200159072524,0.017545659905634947,4.0867823851383385,0.0998374531929329,-1.2924740019841132,0.05459964598249589
Athyrium_monomachii,Athyrium,monomachii,-0.9961592573418158,0.3269629054369449,3.5058034826010074,0.7525191986789762,-1.4962603502213916,0.39748387520394507
Athyrium_sinense,Athyrium,sinense,-0.6773417353595359,0.26599216282530813,3.7054914175850184,0.7436216353871369,-1.6799718032467519,0.3280869695527459
Athyrium_spinulosum,Athyrium,spinulosum,-1.469555884944195,0.2478289132374905,4.057874689286682,0.9463092762290212,-1.924713766185203,0.5776212017863104
Atractylis_humilis,Atractylis,humilis,-0.9342637838644055,,1.7067240685289604,,-0.651258991746882,
Baccaurea_ramiflora,Baccaurea,ramiflora,-0.2666470491860544,0.04431936722882347,2.1455742403785725,0.09093551144945958,-1.2505527912275192,0.043017635888054885
Baptisia_alba,Baptisia,alba,-1.4271163556401458,,5.765191102784844,,-2.659260036932778,
Barringtonia_fusicarpa,Barringtonia,fusicarpa,-0.2195464015381864,0.023670668281498886,1.8021819733420372,0.10647125543138733,-1.0677603348659115,0.0946146349083219
Barringtonia_racemosa,Barringtonia,racemosa,-0.5445425773023795,0.15288372394834207,2.3626723236673266,0.368445229418932,-1.0303883563666985,0.09037705409114312
Bathysa_australis,Bathysa,australis,-1.1405509914400151,0.11906473642154566,2.679720470510376,0.15930584484126936,-0.15832666627110387,0.14953636855762922
Beilschmiedia_purpurascens,Beilschmiedia,purpurascens,-0.0917338872719264,0.018333622180147145,1.6395167415021872,0.06396069633988312,-1.1976931583844734,0.03960613808658214
Beilschmiedia_tarairi,Beilschmiedia,tarairi,-0.141013699662139,0.019546800554897607,2.1693292023205832,0.06164786146159291,-1.63581128195411,0.05694011660167755
Beilschmiedia_tawa,Beilschmiedia,tawa,-0.22894505927571016,0.03486271194688429,2.0664229787492276,0.0719408916658504,-1.3615496681575077,0.02270222952649961
Berberis_thunbergii,Berberis,thunbergii,-1.249102796005754,0.036126377182601255,3.3500374793892673,0.027162612447937603,-0.611886463773964,0.022033920413662308
Berteroa_incana,Berteroa,incana,-1.6607312068216509,,5.4680601411351315,,-1.8971199848858813,
Betula_costata,Betula,costata,-1.1134214053367373,,4.713259579070718,,-1.9045246250276415,
Betula_dahurica,Betula,dahurica,-0.8448757459914932,0.23018285635363536,2.669228760587161,0.5835867604540499,-0.737912775642002,0.13173678687455406
Betula_fruticosa,Betula,fruticosa,-1.2718948208113945,,3.88699799929116,,-1.0756070598850043,
Betula_lenta,Betula,lenta,-1.3093333199837622,,4.697749367281185,,-1.6928195213731514,
Betula_pendula,Betula,pendula,-1.179921489994348,0.0814363104639601,3.9900129062496292,0.21673218526412122,-1.332504922879608,0.07023993781360943
Betula_utilis,Betula,utilis,-1.024784296141047,0.2800979631820616,2.784863741810944,0.6980669394157859,-0.4937306567406826,0.14014747358750157
Bituminaria_bituminosa,Bituminaria,bituminosa,-1.0700248318161971,,4.897839799950911,,-2.396895772465287,
Blastus_cochinchinensis,Blastus,cochinchinensis,-1.5941388767862934,,5.32488948298348,,-1.739950432158628,
Blastus_pauciflorus,Blastus,pauciflorus,-1.8153352078044724,,5.490746388301094,,-1.599256004436593,
Blechnopsis_orientalis,Blechnopsis,orientalis,-1.5663784229736533,,5.222220751507993,,-1.8971199848858813,
Blechnum_fluviatilis,Blechnum,fluviatilis,-1.171182981502945,,3.758871825933971,,-1.2378743560016174,
Blechnum_lanceolatum,Blechnum,lanceolatum,-0.8915981192837836,,3.4781584227982836,,-1.5606477482646683,
Blepharocalyx_eggersii,Blepharocalyx,eggersii,-0.6405547304407747,,1.8164520818184267,,-0.4992264879226388,
Blumeodendron_tokbrai,Blumeodendron,tokbrai,-0.7907600094269457,,3.21107720250907,,-1.3878114553255747,
Bouteloua_curtipendula,Bouteloua,curtipendula,-1.1394342831883648,,4.174387269895637,,-1.6607312068216509,
Bouteloua_gracilis,Bouteloua,gracilis,-1.5829988599044778,,4.481377676912836,,-0.819768970422293,
Brachypodium_phoenicoides,Brachypodium,phoenicoides,-1.324258970200438,,4.727387818712341,,-1.973281345851445,
Brachypodium_pinnatum,Brachypodium,pinnatum,-1.8971199848858813,,4.875197323201151,,-1.2378743560016174,
Brachypodium_sylvaticum,Brachypodium,sylvaticum,-2.0402208285265546,,5.081404364984463,,-1.171182981502945,
Bromus_catharticus,Bromus,catharticus,-1.186624165991323,,5.342224871341821,,-3.097581848671833,
Bromus_erectus,Bromus,erectus,-1.3611249691815295,0.12895799606949246,4.701955043973716,0.15836365860913545,-1.8872654287581745,0.211980897052049
Bromus_inermis,Bromus,inermis,-1.3507367376262949,0.24086125667947453,4.910206203445384,0.4241086343036815,-2.1679623972792905,1.1119097231549766
Bromus_madritensis,Bromus,madritensis,-1.5511690043101247,,6.056784013228625,,-2.396895772465287,
Brosimum_lactescens,Brosimum,lactescens,-0.43850496218636453,,2.2945529212967815,,-1.0729445419195318,
Brosimum_rubescens,Brosimum,rubescens,-0.2984060358147566,,2.1138429683971682,,-1.1086626245216111,
Brosimum_utile,Brosimum,utile,-0.29169009384931976,,2.211565694606877,,-1.07587280169862,
Calamagrostis_canadensis,Calamagrostis,canadensis,-1.5141277326297755,,5.517452896464707,,-2.2072749131897207,
Calamus_rhabdocladus,Calamus,rhabdocladus,-1.520054351299415,,4.637108263275592,,-1.368275853831498,
Calliandra_houstoniana,Calliandra,houstoniana,-0.7507762933965817,,3.1599747169480397,,-1.1116975282167652,
Callitropsis_nootkatensis,Callitropsis,nootkatensis,-0.9408912515821838,0.09330261143136756,3.542681823940665,0.32435238656027876,-1.3814418873940368,0.2333487034540163
Calluna_vulgaris,Calluna,vulgaris,-1.1501161315352253,,2.611930551632364,,0.1777698685600747,
Calocedrus_decurrens,Calocedrus,decurrens,-0.4258686031145464,0.03510401433067015,2.4530109455227596,0.16760224298446508,-1.3588439497789235,0.22553388425933163
