F01286,F01287,F01289,F01290
Eschweilera,grandiflora,Lecythidaceae,Ericales
Eschweilera,ovata,Lecythidaceae,Ericales
Eschweilera,parviflora,Lecythidaceae,Ericales
Eschweilera,pedicellata,Lecythidaceae,Ericales
Eschweilera,tenuifolia,Lecythidaceae,Ericales
Eschweilera,truncata,Lecythidaceae,Ericales
Eschweilera,wachenheimii,Lecythidaceae,Ericales
Eugenia,biflora,Myrtaceae,Myrtales
Eugenia,lambertiana,Myrtaceae,Myrtales
Eugenia,lisboae,Myrtaceae,Myrtales
Eugenia,patrisii,Myrtaceae,Myrtales
Eugenia,protenta,Myrtaceae,Myrtales
Eugenia,pseudopsidium,Myrtaceae,Myrtales
Eugenia,pusilliflora,Myrtaceae,Myrtales
Eugenia,spruceana,Myrtaceae,Myrtales
Faramea,capillipes,Rubiaceae,Gentianales
Faramea,platyneura,Rubiaceae,Gentianales
Faramea,torquata,Rubiaceae,Gentianales
Ferdinandusa,hirsuta,Rubiaceae,Gentianales
Ferdinandusa,rudgeoides,Rubiaceae,Gentianales
Helicostylis,scabra,Moraceae,Rosales
Inga,alba,Fabaceae,Fabales
Inga,auristellae,Fabaceae,Fabales
Inga,bicoloriflora,Fabaceae,Fabales
Inga,brevipes,Fabaceae,Fabales
Inga,cayennensis,Fabaceae,Fabales
Inga,cordatoalata,Fabaceae,Fabales
Inga,gracilifolia,Fabaceae,Fabales
Calliandra,houstoniana,Fabaceae,Fabales
Inga,huberi,Fabaceae,Fabales
Inga,lateriflora,Fabaceae,Fabales
Inga,macrophylla,Fabaceae,Fabales
Inga,ruiziana,Fabaceae,Fabales
Inga,obidensis,Fabaceae,Fabales
Inga,paraensis,Fabaceae,Fabales
Inga,splendens,Fabaceae,Fabales
Inga,suberosa,Fabaceae,Fabales
Inga,thibaudiana,Fabaceae,Fabales
Inga,umbratica,Fabaceae,Fabales
Ixora,intensa,Rubiaceae,Gentianales
Ixora,panurensis,Rubiaceae,Gentianales
Kubitzkia,mezii,Lauraceae,Laurales
Kutchubaea,semisericea,Rubiaceae,Gentianales
Kutchubaea,sericantha,Rubiaceae,Gentianales
Hymenopus,adolphoduckei,Chrysobalanaceae,Malpighiales
Licania,bracteata,Chrysobalanaceae,Malpighiales
Hymenopus,caudatus,Chrysobalanaceae,Malpighiales
Licania,gracilipes,Chrysobalanaceae,Malpighiales
Leptobalanus,granvillei,Chrysobalanaceae,Malpighiales
Licania,hypoleuca,Chrysobalanaceae,Malpighiales
Leptobalanus,latus,Chrysobalanaceae,Malpighiales
Leptobalanus,longistylus,Chrysobalanaceae,Malpighiales
Hymenopus,macrophyllus,Chrysobalanaceae,Malpighiales
Licania,niloi,Chrysobalanaceae,Malpighiales
Leptobalanus,octandrus,Chrysobalanaceae,Malpighiales
Licania,parviflora,Chrysobalanaceae,Malpighiales
Hymenopus,reticulatus,Chrysobalanaceae,Malpighiales
Licania,rodriguesii,Chrysobalanaceae,Malpighiales
Hymenopus,sothersiae,Chrysobalanaceae,Malpighiales
Leptobalanus,sprucei,Chrysobalanaceae,Malpighiales
Licaria,chrysophylla,Lauraceae,Laurales
Licaria,guianensis,Lauraceae,Laurales
Licaria,hirsuta,Lauraceae,Laurales
Licaria,macrophylla,Lauraceae,Laurales
Licaria,oppositifolia,Lauraceae,Laurales
Maquira,calophylla,Moraceae,Rosales
Maquira,coriacea,Moraceae,Rosales
Maquira,sclerophylla,Moraceae,Rosales
Eumachia,astrellantha,Rubiaceae,Gentianales
Eumachia,podocephala,Rubiaceae,Gentianales
Myrcia,caudata,Myrtaceae,Myrtales
Myrcia,ferruginea,Myrtaceae,Myrtales
Myrcia,umbraticola,Myrtaceae,Myrtales
Mezilaurus,ita-uba,Lauraceae,Laurales
Micropholis,casiquiarensis,Sapotaceae,Ericales
Micropholis,cylindrocarpa,Sapotaceae,Ericales
Micropholis,mensalis,Sapotaceae,Ericales
Micropholis,trunciflora,Sapotaceae,Ericales
Myrcia,bracteata,Myrtaceae,Myrtales
Myrcia,citrifolia,Myrtaceae,Myrtales
Myrcia,fenestrata,Myrtaceae,Myrtales
Myrcia,grandis,Myrtaceae,Myrtales
Myrcia,integra,Myrtaceae,Myrtales
Myrcia,splendens,Myrtaceae,Myrtales
Myrcia,paivae,Myrtaceae,Myrtales
Myrcia,servata,Myrtaceae,Myrtales
Myrcia,subsericea,Myrtaceae,Myrtales
Myrcia,sylvatica,Myrtaceae,Myrtales
Myrciaria,floribunda,Myrtaceae,Myrtales
Myrciaria,tenella,Myrtaceae,Myrtales
Naucleopsis,caloneura,Moraceae,Rosales
Naucleopsis,imitans,Moraceae,Rosales
Naucleopsis,insculptula,Moraceae,Rosales
Naucleopsis,krukovii,Moraceae,Rosales
Naucleopsis,ternstroemiiflora,Moraceae,Rosales
Ocotea,amazonica,Lauraceae,Laurales
Ocotea,argyrophylla,Lauraceae,Laurales
Ocotea,boissieriana,Lauraceae,Laurales
Ocotea,cujumary,Lauraceae,Laurales
Ocotea,aurantiodora,Lauraceae,Laurales
Ocotea,myriantha,Lauraceae,Laurales
Ocotea,nigrescens,Lauraceae,Laurales
Ocotea,olivacea,Lauraceae,Laurales
Ocotea,pauciflora,Lauraceae,Laurales
Ocotea,percurrens,Lauraceae,Laurales
Ocotea,scabrella,Lauraceae,Laurales
Ocotea,splendens,Lauraceae,Laurales
Pachira,insignis,Malvaceae,Malvales
Pachira,macrocalyx,Malvaceae,Malvales
Pachira,minor,Malvaceae,Malvales
Pagamea,macrophylla,Rubiaceae,Gentianales
Palicourea,corymbifera,Rubiaceae,Gentianales
Palicourea,virens,Rubiaceae,Gentianales
Pouteria,caimito,Sapotaceae,Ericales
Pouteria,cuspidata,Sapotaceae,Ericales
Protium,altsonii,Burseraceae,Sapindales
Protium,amazonicum,Burseraceae,Sapindales
Protium,apiculatum,Burseraceae,Sapindales
Protium,calanense,Burseraceae,Sapindales
Protium,calendulinum,Burseraceae,Sapindales
Protium,crassipetalum,Burseraceae,Sapindales
Protium,decandrum,Burseraceae,Sapindales
Protium,divaricatum,Burseraceae,Sapindales
Protium,elegans,Burseraceae,Sapindales
Protium,ferrugineum,Burseraceae,Sapindales
Protium,gallosum,Burseraceae,Sapindales
Protium,grandifolium,Burseraceae,Sapindales
Protium,hebetatum,Burseraceae,Sapindales
Protium,heptaphyllum,Burseraceae,Sapindales
Protium,laxiflorum,Burseraceae,Sapindales
Protium,occultum,Burseraceae,Sapindales
Protium,paniculatum,Burseraceae,Sapindales
Protium,pilosissimum,Burseraceae,Sapindales
Protium,pilosum,Burseraceae,Sapindales
Protium,spruceanum,Burseraceae,Sapindales
Protium,strumosum,Burseraceae,Sapindales
Protium,tenuifolium,Burseraceae,Sapindales
Protium,trifoliolatum,Burseraceae,Sapindales
Protium,unifoliolatum,Burseraceae,Sapindales
Protium,urophyllidium,Burseraceae,Sapindales
Palicourea,amplectens,Rubiaceae,Gentianales
Palicourea,hoffmannseggiana,Rubiaceae,Gentianales
Carapichea,pacimonica,Rubiaceae,Gentianales
Palicourea,dichotoma,Rubiaceae,Gentianales
Psychotria,rhombibractea,Rubiaceae,Gentianales
Palicourea,spicata,Rubiaceae,Gentianales
Chassalia,subnuda,Rubiaceae,Gentianales
Rhodostemonodaphne,crenaticupula,Lauraceae,Laurales
Rhodostemonodaphne,paniculata,Lauraceae,Laurales
Rhodostemonodaphne,parvifolia,Lauraceae,Laurales
Rudgea,cornifolia,Rubiaceae,Gentianales
Rudgea,lanceifolia,Rubiaceae,Gentianales
Scleronema,micranthum,Malvaceae,Malvales
Simira,rubescens,Rubiaceae,Gentianales
Sorocea,guilleminiana,Moraceae,Rosales
Sorocea,pubivena,Moraceae,Rosales
Sorocea,muriculata,Moraceae,Rosales
Stachyarrhena,acuminata,Rubiaceae,Gentianales
Trymatococcus,amazonicus,Moraceae,Rosales
Zygia,inaequalis,Fabaceae,Fabales
Handroanthus,ochraceus,Bignoniaceae,Lamiales
