F01286,F01287,F01289,F01290
Cornus,officinalis,Cornaceae,Cornales
Cornus,bretschneideri,Cornaceae,Cornales
Sambucus,williamsii,Viburnaceae,Dipsacales
Ardisia,depressa,Primulaceae,Ericales
Eurya,japonica,Pentaphylacaceae,Ericales
Diospyros,strigosa,Ebenaceae,Ericales
Myrsine,seguinii,Primulaceae,Ericales
Betula,utilis,Betulaceae,Fagales
Carpinus,cordata,Betulaceae,Fagales
Betula,dahurica,Betulaceae,Fagales
Lithocarpus,fenestratus,Fagaceae,Fagales
Quercus,aliena,Fagaceae,Fagales
Quercus,variabilis,Fagaceae,Fagales
Quercus,wutaishanica,Fagaceae,Fagales
Aidia,oxyodonta,Rubiaceae,Gentianales
Ginkgo,biloba,Ginkgoaceae,Ginkgoales
Fraxinus,chinensis,Oleaceae,Lamiales
Machilus,breviflora,Lauraceae,Laurales
Machilus,shweliensis,Lauraceae,Laurales
Lindera,communis,Lauraceae,Laurales
Goniothalamus,griffithii,Annonaceae,Magnoliales
Magnolia,championii,Magnoliaceae,Magnoliales
Knema,erratica,Myristicaceae,Magnoliales
Populus,cathayana,Salicaceae,Malpighiales
Salix,caprea,Salicaceae,Malpighiales
Alchornea,tiliifolia,Euphorbiaceae,Malpighiales
Sterculia,monosperma,Malvaceae,Malvales
Tilia,mandshurica,Malvaceae,Malvales
Tilia,mongolica,Malvaceae,Malvales
Memecylon,nigrescens,Melastomataceae,Myrtales
Picea,meyeri,Pinaceae,Pinales
Picea,wilsonii,Pinaceae,Pinales
Pinus,armandii,Pinaceae,Pinales
Pinus,tabuliformis,Pinaceae,Pinales
Ulmus,macrocarpa,Ulmaceae,Rosales
Ulmus,davidiana,Ulmaceae,Rosales
Malus,baccata,Rosaceae,Rosales
Pyrus,betulifolia,Rosaceae,Rosales
Sanguisorba,officinalis,Rosaceae,Rosales
Sorbus,aucuparia,Rosaceae,Rosales
Aphanamixis,polystachya,Meliaceae,Sapindales
Prasoxylon,excelsum,Meliaceae,Sapindales
Acer,davidii,Sapindaceae,Sapindales
Acer,truncatum,Sapindaceae,Sapindales
Rhodoleia,championii,Hamamelidaceae,Saxifragales
Dicranopteris,linearis,Gleicheniaceae,Gleicheniales
Olea,europaea,Oleaceae,Lamiales
Populus,tremuloides,Salicaceae,Malpighiales
Quercus,robur,Fagaceae,Fagales
Abies,alba,Pinaceae,Pinales
Larix,decidua,Pinaceae,Pinales
Picea,abies,Pinaceae,Pinales
Pinus,nigra,Pinaceae,Pinales
Pinus,sylvestris,Pinaceae,Pinales
Pseudotsuga,menziesii,Pinaceae,Pinales
Pinus,elliottii,Pinaceae,Pinales
Agathis,australis,Araucariaceae,Araucariales
Dacrycarpus,dacrydioides,Podocarpaceae,Araucariales
