species,number of plants studied,mycorrhiza type,AM intensity,AM method,EcM intensity,EcM frequency,EcM method,ErM intensity,ErM frequency,ErM method,OrM intensity,OrM frequency,OrM method,remark_mycorrhiza_ type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,curator_remark_3_name,curator_remark_3_comment,other_remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysopogon nodulibarbis,,AM; others not addressed,49.74,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissus quadrangularis,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 23% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissus quadrangularis,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 23% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus aurantium,,AM; others not addressed,85.21,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleome gynandra,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleome monophylla,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleome monophylla,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleome viscosa,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleome viscosa,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clitoria ternatea,,AM; others not addressed,95.12,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clitoria ternatea,,AM; others not addressed,65.34,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coccinia grandis,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is AM; in this study 23% reports conflict with predictions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocculus hirsutus,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 23% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commelina attenuata,,AM; others not addressed,43.18,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commelina benghalensis,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanotis cristata,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commelina diffusa,,AM; others not addressed,18.52,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commelina forskalaei,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commelina coelestis,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commelina tuberosa,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corchorus trilocularis,,AM; others not addressed,42.43,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corchorus trilocularis,,AM; others not addressed,36.54,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crescentia cujete,,AM; others not addressed,55.17,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossandra infundibuliformis,,AM; others not addressed,48.7,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotalaria epunctata,,AM; others not addressed,92,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotalaria icana,,AM; others not addressed,68.28,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cephalaria juncea,,AM; others not addressed,58.17,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotalaria mysorensis,,AM; others not addressed,85.5,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotalaria prostrata,,AM; others not addressed,82.84,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotalaria retusa,,AM; others not addressed,88.32,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotalaria verrucosa,,AM; others not addressed,39.16,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotalaria willdenowiana,,AM; others not addressed,79.33,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton bonplandianus,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 23% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptostegia grandiflora,,AM; others not addressed,48.6,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curculigo orchioides,,AM; others not addressed,59.48,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynodon radiatus,,AM; others not addressed,22.77,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynodon dactylon,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 23% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbopogon caesius,,AM; others not addressed,26.58,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbopogon flexuosus,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is AM; in this study 23% reports conflict with predictions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyllinga brevifolia,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus clarkei,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus compressus,,AM; others not addressed,24.19,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus cyperinus,,AM; others not addressed,24.46,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus cyperinus,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus cyperinus,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus distans,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus dubius,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus iria,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus iria,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhynchospora colorata,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus nutans,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus paniceus,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus rotundus,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus rotundus,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus rotundus,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus squarrosus,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus dubius,,AM; others not addressed,16.38,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyrtococcum patens,,AM; others not addressed,56.67,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactyloctenium aegyptium,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 23% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datura metel,,AM; others not addressed,53.12,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datura stramonium,,AM; others not addressed,43.19,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delonix regia,,AM; others not addressed,55.61,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrocalamus strictus,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 23% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmodium triflorum,,AM; others not addressed,82.9,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dichanthium caricosum,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is AM; in this study 23% reports conflict with predictions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digera muricata,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digitaria bicornis,,AM; others not addressed,38.87,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digitaria ciliaris,,AM; others not addressed,15.53,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinebra retroflexa,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is AM; in this study 23% reports conflict with predictions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dioscorea bulbifera,,AM; others not addressed,56.37,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dioscorea pentaphylla,,AM; others not addressed,67.12,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea viscosa,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 23% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinochloa colona,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleiotis monophyllos,,AM; others not addressed,86.09,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleocharis acutangula,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emilia sonchifolia,,AM; others not addressed,69,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enneapogon persicus,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostiella bifaria,,AM; others not addressed,73.12,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis gangetica,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis pilosa,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragrostis amabilis,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,in this study 23% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dichanthium foveolatum,,non-AM; others not addressed,0,McGonigle et al. 1990: RLC (%),,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is AM; in this study 23% reports conflict with predictions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
