species,number of plants studied,mycorrhiza type,AM intensity,AM method,EcM intensity,EcM frequency,EcM method,ErM intensity,ErM frequency,ErM method,OrM intensity,OrM frequency,OrM method,remark_mycorrhiza_ type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,curator_remark_3_name,curator_remark_3_comment,other_remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,100,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,100,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,100,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,100,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,100,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,100,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,100,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,100,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,100,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sibirica,,EcM; others not addressed,,,69,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies veitchii,,EcM; others not addressed,,,9,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies sachalinensis var. nemorensis,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abutilon hybridum,,AM; others not addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia dealbata,,AM; others not addressed,67.57482,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,Leho Tedersoo,misleading report from EcM perspective (most species of Acacia s.str. are EcM-AM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha wilkesiana,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is AM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthophyllum elatius,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthophyllum elatius,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthophyllum korolkowii,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthophyllum krascheninnikovii,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allochrusa paniculata,,non-mycorrhizal (checked for all types),0,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer barbinerve,,EcM; others not addressed,,,,,,,,,,,,,Leho Tedersoo,incorrect report (this genus is AM),Mark Brundrett,incorrect report,Laura M. Suz,not ECM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer buergerianum,,AM; others not addressed,99.98707,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer campestre,,AM; others not addressed,99.98707,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer campestre,,AM; others not addressed,98.89194,Selivanov 1981: RLC (%) - recalculated to McGonigle et al. 1990: (RLC%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer campestre,,AM; others not addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer campestre,,AM; others not addressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer campestre,,AM; no others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
