"binominal","F01286","F01289","F00679D","F00727D","F00709D","F00679O","F00727O","F00709O","state","synonym"
"Embelia_vestita","Embelia","Primulaceae",-1.57093861328349,4.5688211275408,-1.18562366420319,-1.57093861328349,4.5688211275408,-1.18562366420319,"AM","('Ribesiodes vestitum', 'Samara vestita')"
"Myrsine_seguinii","Myrsine","Primulaceae",-0.163691824835374,3.26391750192144,-1.59409553985085,-0.763467277420965,3.5802928294172,-1.48150953743719,"AM","('Athruphyllum seguinii',)"
"Diospyros_strigosa","Diospyros","Ebenaceae",-0.521494706559461,2.98324947985401,-0.93620269574736,-0.914229012013256,3.41772131638585,-1.13199415471411,"AM",""
"Diospyros_virginiana","Diospyros","Ebenaceae",-0.475027270628367,2.86717065469204,-1.80332610559952,-0.475027270628367,2.86717065469204,-1.80332610559952,"AM","('Persimon virginiana',)"
"Barringtonia_racemosa","Barringtonia","Lecythidaceae",-0.316882883275456,2.43548395479645,-0.985282547558093,-0.631668786839899,2.7692142125905,-1.11344582687723,"AM","('Caryophyllus racemosus', 'Butonica racemosa', 'Butonica alba', 'Eugenia racemosa', 'Michelia racemosa', 'Stravadium racemosum', 'Huttum racemosum')"
"Polyspora_axillaris","Polyspora","Theaceae",-0.32141812058255,2.22822067770518,-0.794810834336446,-0.52170964036807,2.54219237033892,-0.954511944694353,"AM","('Camellia axillaris', 'Gordonia axillaris', 'Lasianthus axillaris')"
"Schima_superba","Schima","Theaceae",-1.46401088785141,4.7656705907749,-1.46117185968313,-1.46401088785141,4.7656705907749,-1.46117185968313,"AM","('Schima wallichii var. superba',)"
"Schima_wallichii","Schima","Theaceae",-1.42769985917856,4.58934563564112,-0.994252273343867,-1.42769985917856,4.58934563564112,-0.994252273343867,"AM","('Gordonia wallichii',)"
"Eurya_japonica","Eurya","Pentaphylacaceae",-0.674032169617714,3.95034139690395,-1.38887049490496,-1.29767660937466,4.39543973902575,-1.34308012118181,"AM",""
"Pentaphylax_euryoides","Pentaphylax","Pentaphylacaceae",-2.11477860596952,4.58333349137892,-0.63487827243597,-2.11477860596952,4.58333349137892,-0.63487827243597,"AM",""
"Deutzia_glabrata","Deutzia","Hydrangeaceae",-1.69281952137315,5.36879236500864,-1.73079877024482,-1.69281952137315,5.36879236500864,-1.73079877024482,"AM",""
"Deutzia_grandiflora","Deutzia","Hydrangeaceae",-1.11359903097643,5.05188206654559,-2.03701715040328,-1.11359903097643,5.05188206654559,-2.03701715040328,"AM",""
