"binominal","F01286","F01287","F01289","F00679","F00727","F00709","state","taxa"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5382,17.21152941,0.253731343,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5467,53.76765714,0.07918552,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5385,30.44992308,0.144444444,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6002,13.58862119,0.26,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.656,11.63849246,0.253503185,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5918,21.39276382,0.17008547,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5357,29.06744318,0.153043478,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6646,14.98480769,0.192592593,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5767,90.93627907,0.042156863,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5363,23.73357143,0.186666667,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.28,34.72,0.47,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6067,18.42870968,0.187878788,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5777,9.009051186,0.423809524,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5451,25.10237143,0.170731707,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4843,36.34823899,0.15,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.33,63.2,0.19,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5005,36.93472727,0.1375,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6105,31.84731343,0.1072,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5223,44.03849398,0.105732484,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5915,12.82694595,0.284615385,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5256,29.7431454,0.155299539,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.27,46.63,0.39,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6472,23.09765625,0.131958763,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.477,30.93848739,0.18030303,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5456,16.55556054,0.259302326,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.7626,14.71496528,0.148453608,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6878,9.838733706,0.273979592,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5753,18.87733444,0.204054054,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5698,35.51387255,0.11027027,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4234,43.67927711,0.162745098,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5872,5.996462264,0.61627907,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6569,24.73406844,0.119545455,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5164,35.58913495,0.134106729,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5912,38.0723913,0.095833333,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4074,33.19666667,0.231818182,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4757,29.71558011,0.188541667,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4859,10.33183807,0.519318182,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5831,12.10238286,0.309958506,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.7221,21.63153846,0.113043478,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6399,52.48464286,0.059259259,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5237,13.27971963,0.348913043,"AM","Acer_rubrum"
