binominal,F00645
Myrciaria tenella,AM
Myrsine australis,AM
Myrsine coriacea,AM
Myrsine divaricata,AM
Myrsine seguinii,AM
Myrtus communis,AM
Nabalus tatarinowii,AM
Nageia nagi,AM
Naucleopsis caloneura,AM
Naucleopsis imitans,AM
Naucleopsis insculptula,AM
Naucleopsis krukovii,AM
Naucleopsis ternstroemiiflora,AM
Neolitsea cassia,AM
Neolitsea phanerophlebia,AM
Neomyrtus pedunculata,AM
Neopanax arboreus,AM
Neopanax colensoi,AM
Nephelium lappaceum,AM
Nerium oleander,AM
Nerium oleander,NM
Nestegis lanceolata,AM
Nothofagus fusca,EcM
Nothofagus fusca,AM
Nothofagus menziesii,AM
Nothofagus obliqua,EcM
Nothofagus solandri,EcM
Nothofagus solandri,AM
Nyssa sylvatica,AM
Ocotea aciphylla,AM
Ocotea amazonica,AM
Ocotea argyrophylla,AM
Ocotea aurantiodora,AM
Ocotea boissieriana,AM
Ocotea cujumary,AM
Ocotea lancifolia,AM
Ocotea myriantha,AM
Ocotea nigrescens,AM
Ocotea olivacea,AM
Ocotea pauciflora,AM
Ocotea percurrens,AM
Ocotea scabrella,AM
Ocotea splendens,AM
Olearia avicenniaefolia,AM
Olearia rani,AM
Oreocnide frutescens,AM
Orophea creaghii,AM
Osmanthus didymopetalus,AM
Osmunda japonica,AM
Pachira insignis,AM
Pachira macrocalyx,AM
Pachira minor,AM
Pagamea macrophylla,AM
Palicourea amplectens,AM
Palicourea corymbifera,AM
Palicourea dichotoma,AM
Palicourea hoffmannseggiana,AM
Palicourea spicata,AM
Palicourea virens,AM
Panicum virgatum,AM
Parablechnum novae-zelandiae,AM
Parablechnum procerum,AM
Parthenocissus quinquefolia,AM
Payena microphylla,AM
Pectinopitys ferruginea,AM
Pennantia corymbosa,AM
Pentaphylax euryoides,AM
Phalaris arundinacea,AM
Phalaris arundinacea,NM
Phellodendron amurense,AM
Phillyrea angustifolia,AM
Phillyrea latifolia,AM
Phleum pratense,AM
Phleum pratense,NM
Phlomis purpurea,AM
Phlomoides umbrosa,AM
Phyllocladus hypophyllus,AM
Phyllocladus trichomanoides,AM
Picea abies,EcM
Picea koraiensis,EcM
Picea meyeri,EcM
Picea wilsonii,EcM
Picris hieracioides,AM
Pilosella officinarum,AM
Pinus armandii,EcM
Pinus elliottii,EcM
Pinus koraiensis,EcM
Pinus massoniana,EcM
Pinus nigra,EcM
Pinus pinea,EcM
Pinus pumila,EcM
Pinus pungens,EcM
Pinus resinosa,EcM
Pinus strobus,EcM
Pinus sylvestris,EcM
Pinus tabuliformis,EcM
Pinus virginiana,EcM
Pinus virginiana,NM
Pistacia chinensis,AM
Pistacia lentiscus,AM
Pistacia terebinthus,AM
Pittosporum eugenioides,AM
Pittosporum tenuifolium,AM
Plagianthus regius,AM
Plantago lanceolata,AM
Platanus occidentalis,AM
Platycladus orientalis,AM
Platypodium elegans,AM
Poa nemoralis,AM
Poa nemoralis,NM
Poa pratensis,EcM
Poa pratensis,AM
Podocarpus gibbsii,AM
Podocarpus laetus,AM
Podocarpus neriifolius,AM
Podocarpus totara,AM
Polyspora axillaris,AM
Polystichum chilense,AM
Populus alba,EcM
Populus cathayana,EcMAM
Populus deltoides,AM
Populus grandidentata,EcMAM
Populus suaveolens,EcMAM
Populus tremula,EcM
Populus tremuloides,AM
Potentilla acaulis,AM
Potentilla indica,AM
Potentilla tenacetifolia,AM
Pouteria caimito,AM
Pouteria cuspidata,AM
Prasoxylon excelsum,AM
Prionostemma aspera,AM
Protium altsonii,AM
Protium amazonicum,AM
Protium apiculatum,AM
Protium aracouchini,AM
Protium calanense,AM
Protium calendulinum,AM
Protium crassipetalum,AM
Protium decandrum,AM
Protium divaricatum,AM
Protium elegans,AM
Protium ferrugineum,AM
Protium gallosum,AM
Protium grandifolium,AM
Protium hebetatum,AM
Protium heptaphyllum,AM
Protium laxiflorum,AM
Protium occultum,AM
Protium opacum,AM
Protium paniculatum,AM
Protium pilosissimum,AM
Protium pilosum,AM
Protium spruceanum,AM
Protium strumosum,AM
Protium subserratum,AM
Protium tenuifolium,AM
Protium trifoliolatum,AM
Protium unifoliolatum,AM
Protium urophyllidium,AM
Prumnopitys taxifolia,AM
Prunus armeniaca,AM
Prunus avium,AM
Prunus avium,NM
Prunus padus,EcMAM
Prunus sargentii,AM
Prunus serotina,AM
Pseudodiphasium volubile,AM
Pseudolmedia laevigata,AM
Pseudolmedia laevis,AM
Pseudopanax crassifolius,AM
Pseudotsuga menziesii,EcM
Pseudowintera colorata,AM
Psychotria asiatica,AM
Psychotria rhombibractea,AM
Pteridium aquilinum,AM
Pterophylla faxinea,AM
Pterophylla racemosa,AM
Pterospermum acerifolium,AM
Pyrus betulifolia,AM
Pyrus bourgaeana,AM
Quercus alba,EcM
Quercus alba,NM
Quercus aliena,EcM
Quercus asymmetrica,EcM
Quercus coccifera,EcM
Quercus faginea,EcM
Quercus ilex,EcM
Quercus lowii,EcM
Quercus mongolica,EcM
Quercus multinervis,EcM
Quercus oxyodon,EcM
Quercus robur,EcM
Quercus rubra,EcM
Quercus rubra,NM
Quercus serrata,EcM
Quercus variabilis,EcM
Quercus wutaishanica,EcM
Quintinia serrata,AM
Raukaua simplex,AM
Rhamnus davurica,NMAM
Rhamnus lycioides,AM
Rhaphiolepis indica,AM
Rhododendron hypoglaucum,ErM
Rhodoleia championii,AM
Rhodostemonodaphne crenaticupula,AM
Rhodostemonodaphne paniculata,AM
Rhodostemonodaphne parvifolia,AM
Rhopalostylis sapida,AM
Rhus typhina,AM
Rosa acicularis,AM
Rosa acicularis,NM
Rosa canina,AM
Rosa xanthina,AM
Rubus allegheniensis,AM
Rubus crataegifolius,AM
Rubus idaeus,AM
Rubus idaeus,NM
Rubus irritans,AM
Rubus phoenicolasius,AM
Rubus rosifolius,AM
Rubus ulmifolius,AM
Rudgea cornifolia,AM
Rudgea lanceifolia,AM
Rumex acetosella,AM
Rumex acetosella,NM
Rumex acetosella,NMAM
Salix atrocinerea,EcM
Salix caprea,EcMAM
Salix caprea,EcM
Salix caprea,NM
Salix viminalis,EcM
Salix viminalis,EcMAM
Salvia chinensis,AM
