"binominal","F01286","F01289","F00679","F00679_se","F00727","F00727_se","F00709","F00709_se","state","state_source","synonym"
"Sanicula_orthacantha","Sanicula","Apiaceae",-1.63616697217612,NA,5.02199985086301,NA,-1.50219238402965,NA,"AM","FRED4",NA
"Heptapleurum_heptaphyllum","Heptapleurum","Araliaceae",-1.30729835489339,NA,5.05933598823162,NA,-2.20727491318972,NA,"AM","FRED4","('Aralia heptaphylla', 'Sciodaphyllum heptaphyllum', 'Schefflera heptaphylla', 'Vitis heptaphylla', 'Ampelopsis heptaphylla')"
"Heptapleurum_minutistellatum","Heptapleurum","Araliaceae",-1.10072451785438,NA,3.63521492952824,NA,-1.04982212449868,NA,"AM","FRED4","('Schefflera minutistellata',)"
"Sciodaphyllum_acuminatum","Sciodaphyllum","Araliaceae",-1.06160556303901,NA,3.71325494325525,NA,-1.34819451436426,NA,"AM","(Brundrett and Tedersoo, 2018)","('Brassaia acuminata', 'Schefflera acuminata', 'Actinophyllum acuminatum')"
"Schefflera_digita","Schefflera","Araliaceae",-0.549564306949369,0.0822865372800926,3.8064754830949,0.0446738474967502,-2.48191301284605,0.134105740632742,"AM","FRED4",NA
"Oreopanax_sessiliflorus","Oreopanax","Araliaceae",-0.425417567747968,0.0211511651338605,2.81649746622067,0.0550472670815177,-1.72484078708168,0.0716195976036712,"AM","(Brundrett and Tedersoo, 2018)","('Hedera sessiliflora',)"
"Dendropanax_dentigerus","Dendropanax","Araliaceae",-2.06120877341878,NA,5.4083710520356,NA,-0.8754687365539,NA,"AM","FRED4","('Textoria dentigera', 'Dendropanax chevalieri var. dentigerus', 'Gilibertia dentigera')"
"Eleutherococcus_senticosus","Eleutherococcus","Araliaceae",-1.49387957179983,NA,5.26364088400132,NA,-2.01490302304226,NA,"AM","FRED4","('Hedera senticosa', 'Acanthopanax senticosus')"
"Macropanax_undulatus","Macropanax","Araliaceae",-1.3329431856229,NA,3.35689712276558,NA,-1.13943428318837,NA,"AM","FRED4","('Hedera undulata', 'Paratropia undulata')"
"Hedera_helix","Hedera","Araliaceae",-0.604403970725557,NA,2.66154012465602,NA,-1.17752136539409,NA,"AM","FRED4",NA
"Neopanax_arboreus","Neopanax","Araliaceae",-0.259549822962037,0.0696744164071561,2.84609074291329,0.111711220764118,-2.07040319722849,0.0338647491865673,"AM","FRED4","('Pseudopanax arboreus', 'Panax arboreus', 'Nothopanax arboreus')"
"Neopanax_colensoi","Neopanax","Araliaceae",-0.82098055206983,NA,3.10458667846607,NA,-1.27296567581289,NA,"AM","FRED4","('Nothopanax colensoi', 'Panax colensoi', 'Pseudopanax colensoi')"
"Pseudopanax_crassifolius","Pseudopanax","Araliaceae",-0.410805789833946,0.0527882407164973,3.10719219161816,0.150909236156764,-2.03757339697273,0.0849354520338145,"AM","FRED4","('Hedera crassifolia', 'Aralia crassifolia', 'Panax crassifolius')"
"Raukaua_simplex","Raukaua","Araliaceae",-1.02165124753198,NA,3.45946628978613,NA,-1.20397280432594,NA,"AM","FRED4","('Neopanax simplex', 'Pseudopanax simplex', 'Nothopanax simplex', 'Panax simplex')"
"Pittosporum_eugenioides","Pittosporum","Pittosporaceae",-0.878162062838403,0.0156820393713426,3.8871495882579,0.0614802523998169,-1.88598828664751,0.0438190964965532,"AM","FRED4",NA
"Pittosporum_tenuifolium","Pittosporum","Pittosporaceae",-0.857503247329767,0.0408841327658296,3.92764325138057,0.0518381006643626,-1.96568501551268,0.0714691642609046,"AM","FRED4",NA
"Pennantia_corymbosa","Pennantia","Pennantiaceae",-0.700002167840056,0.0309685207543203,3.52551301846388,0.0662050986819174,-1.88221932503465,0.03615643548703,"AM","FRED4",NA
"Zabelia_biflora","Zabelia","Caprifoliaceae",-0.636388846741336,NA,3.43227790769518,NA,-1.91939262214666,NA,"AM","FRED4","('Abelia biflora',)"
"Lonicera_chrysantha","Lonicera","Caprifoliaceae",-1.37267144205036,0.0275190242616433,5.1419449554325,0.0052273450691351,-2.1544336490396,0.0635940597101627,"AM","FRED4","('Caprifolium chrysanthum', 'Xylosteon chrysanthum', 'Lonicera xylosteum var. chrysantha')"
"Lonicera_maackii","Lonicera","Caprifoliaceae",-1.3657861167432,0.0196579140100534,3.4136173727406,0.0583363328341053,-0.235960463315209,0.044187239914402,"AM","FRED4","('Xylosteon maackii',)"
"Symphoricarpos_occidentalis","Symphoricarpos","Caprifoliaceae",-1.19440758722351,NA,3.89387197606093,NA,-1.08670331384464,NA,"AM","(Brundrett and Tedersoo, 2018)","('Symphoria occidentalis',)"
"Viburnum_stipitatum","Viburnum","Viburnaceae",-0.0227569871226161,NA,1.39040950578553,NA,-1.10366852792879,NA,"AM","(Soudzilovskaia et al., 2020)",NA
"Viburnum_dentatum","Viburnum","Viburnaceae",-0.625392255892732,0.020507074967806,2.15872631887163,0.0077023995883502,-0.607447333745219,0.0193971995381107,"AM","FRED4",NA
"Viburnum_tinus","Viburnum","Viburnaceae",-0.791256273670265,NA,2.42213818783762,NA,-0.453206152895838,NA,"AM","FRED4",NA
"Sambucus_williamsii","Sambucus","Viburnaceae",-0.895046814571776,0.147563038580053,3.93170636944819,0.478033553066288,-1.90103704032209,0.194382401450136,"AM","FRED4",NA
"Quintinia_serrata","Quintinia","Paracryphiaceae",-0.996276610850996,0.104354630177617,3.60778790101474,0.0341046859422801,-1.38130018822199,0.230045939633013,"AM","FRED4",NA
