Dataset,SpeciesName,AccSpeciesName,TraitID,OrigValueStr
FRED - Fine Root Ecology Database,Fraxinus excelsior,Fraxinus excelsior,7.0,NM/AM
FRED - Fine Root Ecology Database,Populus tremula,Populus tremula,7.0,EM
FRED - Fine Root Ecology Database,Acer pseudoplatanus,Acer pseudoplatanus,7.0,NM/AM
FRED - Fine Root Ecology Database,Carpinus betulus,Carpinus betulus,7.0,EM
FRED - Fine Root Ecology Database,Acer pseudoplatanus,Acer pseudoplatanus,7.0,AM
FRED - Fine Root Ecology Database,Cunninghamia lanceolata,Cunninghamia lanceolata,7.0,AM
FRED - Fine Root Ecology Database,Populus tremuloides,Populus tremuloides,7.0,AM
FRED - Fine Root Ecology Database,Acer negundo,Acer negundo,7.0,AM
FRED - Fine Root Ecology Database,Acer negundo,Acer negundo,7.0,NM/AM
FRED - Fine Root Ecology Database,Carya glabra,Carya glabra,7.0,EM
FRED - Fine Root Ecology Database,Pinus virginiana,Pinus virginiana,7.0,EM
FRED - Fine Root Ecology Database,Dacrycarpus imbricatus,Dacrycarpus imbricatus,7.0,AM
FRED - Fine Root Ecology Database,Cornus florida,Cornus florida,7.0,AM
FRED - Fine Root Ecology Database,Hamamelis virginiana,Hamamelis virginiana,7.0,AM
FRED - Fine Root Ecology Database,Fraxinus rhynchophylla,Fraxinus chinensis,7.0,AM
FRED - Fine Root Ecology Database,Fraxinus rhynchophylla,Fraxinus chinensis,7.0,NM/AM
FRED - Fine Root Ecology Database,Juglans mandshurica,Juglans mandshurica,7.0,NM/AM
FRED - Fine Root Ecology Database,Pinus tabuliformis,Pinus tabuliformis,7.0,EM
FRED - Fine Root Ecology Database,Sorbus aucuparia,Sorbus aucuparia,7.0,NM/AM
FRED - Fine Root Ecology Database,Larix principis-rupprechtii,Larix gmelinii,7.0,EM
FRED - Fine Root Ecology Database,Acer davidii,Acer davidii,7.0,AM
FRED - Fine Root Ecology Database,Acer platanoides,Acer platanoides,7.0,NM
FRED - Fine Root Ecology Database,Acer pseudoplatanus,Acer pseudoplatanus,7.0,NM
FRED - Fine Root Ecology Database,Acer turkestanicum,Acer platanoides,7.0,AM
FRED - Fine Root Ecology Database,Aesculus hippocastanum,Aesculus hippocastanum,7.0,AM
FRED - Fine Root Ecology Database,Equisetum hyemale,Equisetum hyemale,7.0,NM
FRED - Fine Root Ecology Database,Equisetum pratense,Equisetum pratense,7.0,NM
FRED - Fine Root Ecology Database,Fraxinus viridis,Fraxinus americana,7.0,AM
FRED - Fine Root Ecology Database,Gleditsia triacanthos,Gleditsia triacanthos,7.0,AM
FRED - Fine Root Ecology Database,Juglans mandshurica,Juglans mandshurica,7.0,AM
FRED - Fine Root Ecology Database,Larix kamtschatica,Larix gmelinii,7.0,EM
FRED - Fine Root Ecology Database,Liriodendron chinense,Liriodendron chinense,7.0,AM
