,RD,SRL,RN,RTD,F00056,F00645,F01286,F01287,F01289,F01290
90,0.363000,19.472000,10.076000,0.540000,NA,AM,Acer,pseudoplatanus,Sapindaceae,Sapindales
91,0.476000,22.831000,10.469000,0.462000,NA,AM,Acer,platanoides,Sapindaceae,Sapindales
92,0.511000,11.587000,9.191000,0.460000,NA,EM,Carpinus,betulus,Betulaceae,Fagales
93,0.652000,7.436000,8.988000,0.478000,NA,EM,Tilia,cordata,Malvaceae,Malvales
94,0.459000,12.797000,9.102000,0.536000,NA,EM,Fagus,sylvatica,Fagaceae,Fagales
95,0.531000,11.717000,13.601000,0.340000,NA,AM,Fraxinus,excelsior,Oleaceae,Lamiales
96,0.333000,22.394000,9.442000,0.491000,NA,AM,Acer,pseudoplatanus,Sapindaceae,Sapindales
97,0.416000,13.939000,9.221000,0.576000,NA,AM,Acer,platanoides,Sapindaceae,Sapindales
98,0.416000,14.967000,11.110000,0.488000,NA,EM,Carpinus,betulus,Betulaceae,Fagales
99,0.562000,7.614000,9.279000,0.525000,NA,EM,Tilia,cordata,Malvaceae,Malvales
100,0.459000,12.292000,9.636000,0.521000,NA,EM,Fagus,sylvatica,Fagaceae,Fagales
101,0.373683,32.822980,17.884615,0.370787,1.000000,AM,Fraxinus,excelsior,Oleaceae,Lamiales
102,0.477964,16.411514,15.576925,0.286517,2.000000,AM,Fraxinus,excelsior,Oleaceae,Lamiales
103,0.704767,6.028751,13.461542,0.320225,3.000000,AM,Fraxinus,excelsior,Oleaceae,Lamiales
104,0.266508,62.631585,14.230772,0.380899,1.000000,AM,Acer,pseudoplatanus,Sapindaceae,Sapindales
105,0.301892,23.110077,10.480775,0.596629,2.000000,AM,Acer,pseudoplatanus,Sapindaceae,Sapindales
106,0.398554,19.425874,8.942314,0.525843,3.000000,AM,Acer,pseudoplatanus,Sapindaceae,Sapindales
107,0.327751,29.808626,11.442311,0.468539,1.000000,AM,Acer,platanoides,Sapindaceae,Sapindales
108,0.416722,19.090939,9.326929,0.529214,2.000000,AM,Acer,platanoides,Sapindaceae,Sapindales
109,0.589937,10.047888,8.461546,0.502247,3.000000,AM,Acer,platanoides,Sapindaceae,Sapindales
110,0.266508,41.196185,15.576925,0.458427,1.000000,EM,Carpinus,betulus,Betulaceae,Fagales
111,0.347824,21.435436,12.019235,0.508989,2.000000,EM,Carpinus,betulus,Betulaceae,Fagales
112,0.704767,11.387600,9.230776,0.448315,3.000000,EM,Carpinus,betulus,Betulaceae,Fagales
113,0.312477,33.157908,11.826926,0.562921,1.000000,EM,Tilia,cordata,Malvaceae,Malvales
114,0.500930,11.052664,10.000006,0.559551,2.000000,EM,Tilia,cordata,Malvaceae,Malvales
115,0.612903,5.358895,8.557699,0.633708,3.000000,EM,Tilia,cordata,Malvaceae,Malvales
116,0.344000,60.677714,14.339167,0.086000,1.000000,AM,Acer,saccharum,Sapindaceae,Sapindales
117,0.367750,24.052413,12.298667,0.140000,2.000000,AM,Acer,saccharum,Sapindaceae,Sapindales
118,0.919125,5.163508,10.134375,0.310000,3.000000,AM,Acer,saccharum,Sapindaceae,Sapindales
119,0.451750,19.455180,12.134500,0.160000,1.000000,AM,Aesculus,hippocastanum,Sapindaceae,Sapindales
120,0.480000,9.929515,8.974375,0.240000,2.000000,AM,Aesculus,hippocastanum,Sapindaceae,Sapindales
121,1.317925,2.759176,7.221250,0.290000,3.000000,AM,Aesculus,hippocastanum,Sapindaceae,Sapindales
122,0.357500,43.198070,13.063500,0.104000,1.000000,AM,Aesculus,parviflora,Sapindaceae,Sapindales
123,0.580500,19.652615,8.493000,0.190000,2.000000,AM,Aesculus,parviflora,Sapindaceae,Sapindales
124,0.867700,6.907547,7.039500,0.260000,3.000000,AM,Aesculus,parviflora,Sapindaceae,Sapindales
125,0.872667,13.549708,25.157833,0.167000,1.000000,AM,Asimina,triloba,Annonaceae,Magnoliales
126,0.867000,10.594748,23.004500,0.160000,2.000000,AM,Asimina,triloba,Annonaceae,Magnoliales
127,1.304933,4.654072,20.686833,0.180000,3.000000,AM,Asimina,triloba,Annonaceae,Magnoliales
128,0.424000,37.262529,27.365875,0.111000,1.000000,AM,Catalpa,bignonioides,Bignoniaceae,Lamiales
129,0.587500,18.131837,25.697250,0.130000,2.000000,AM,Catalpa,bignonioides,Bignoniaceae,Lamiales
130,1.311650,4.155367,11.416000,0.210000,3.000000,AM,Catalpa,bignonioides,Bignoniaceae,Lamiales
131,0.368000,27.351802,12.418875,0.160000,1.000000,AM,Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales
132,0.491500,13.939074,9.514625,0.210000,2.000000,AM,Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales
133,1.135475,3.088089,6.906750,0.360000,3.000000,AM,Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales
134,0.710250,13.882907,17.741875,0.164000,1.000000,AM,Chionanthus,virginicus,Oleaceae,Lamiales
135,0.880250,8.331267,14.721875,0.180000,2.000000,AM,Chionanthus,virginicus,Oleaceae,Lamiales
136,1.352675,2.731471,11.838375,0.280000,3.000000,AM,Chionanthus,virginicus,Oleaceae,Lamiales
