"binominal","state","RD"
"Cornus_bretschneideri","AM",-1.09652246836452
"Cornus_ulotricha","AM",-0.492515122207834
"Cornus_controversa","AM",-0.425336237750576
"Cornus_kousa","AM",-0.970351008724099
"Cornus_florida","AM",-1.32962656427945
"Cornus_officinalis","AM",-0.904383967076671
"Alangium_chinense","AM",-2.37354418193454
"Nyssa_aquatica","AM",-1.71465443845893
"Nyssa_sylvatica","AM",-0.12972911046985
"Silene_rupestris","AM",-0.551647618286246
"Arenaria_serpyllifolia","AM",-1.42088580588951
"Cerastium_fontanum","AM",-1.27296567581289
"Cerastium_arvense","AM",-1.66724359276464
"Eurotia_lanata","AM",-1.40456016992678
"Chenopodium_serotinum","AM",-2.05274233486641
"Chenopodium_album","AM",-1.58085045558219
"Alternanthera_sessilis","AM",-1.23100147671386
"Rumex_acetosa","AM",-1.17118298150295
"Rumex_acetosella","AM",-1.07880966137193
"Fallopia_convolvulus","AM",-1.38629436111989
"Coccoloba_manzinellensis","EcM",-0.734280189898629
"Coccoloba_excelsa","EcM",-0.887103292754117
"Armeria_velutina","AM",-0.676437566996998
"Schoepfia_jasminodora","AM",-1.65574366531061
"Osyris_alba","AM",-0.46056828245925
"Comandra_umbellata","AM",-1.135113275951
"Stauracanthus_genistoides","AM",-0.816445396904439
"Trifolium_spumosum","AM",-1.16792682241853
"Trifolium_repens","AM",-1.11881499496522
"Trifolium_pratense","AM",-1.31922333519564
"Trifolium_incarnatum","AM",-1.29003211104197
"Trifolium_hirtum","AM",-1.24355921873977
"Trifolium_angustifolium","AM",-0.896488104577976
"Trifolium_purpureum","AM",-1.08228217652108
"Trifolium_subterraneum","AM",-0.908044070824855
"Trifolium_dubium","AM",-1.24827306322252
"Medicago_sativa","AM",-1.10852702260486
"Medicago_ruthenica","AM",-1.34707364796661
"Medicago_minima","AM",-1.20064501423326
"Melilotus_officinalis","AM",-1.23787435600162
"Vicia_americana","AM",-1.01286128849475
"Vicia_villosa","AM",-0.843970070294529
"Lathyrus_venosus","AM",-0.987518241162523
"Astragalus_bisulcatus","AM",-1.03676488534203
"Astragalus_agrestis","AM",-0.945076083305908
"Astragalus_scaberrimus","AM",-1.25526609871349
"Astragalus_canadensis","AM",-0.867500567704723
"Astragalus_aboriginum","AM",-1.53293994146138
"Astragalus_pelecinus","AM",-1.27618708756394
"Oxytropis_sericea","AM",-1.26638026445455
"Caragana_microphylla","AM",-0.891598119283784
"Lotus_tenuis","AM",-0.653926467406664
"Lotus_corniculatus","AM",-0.822025561863454
"Ornithopus_sativus","AM",-1.32909381405645
"Ornithopus_compressus","AM",-1.28868864534819
"Anthyllis_cytisoides","AM",-1.25062774969836
"Anthyllis_terniflora","AM",-1.01094487691635
"Coronilla_juncea","AM",-1.20363952653582
"Coronilla_minima","AM",-0.621359385393528
"Gliricidia_sepium","AM",-0.293029678778376
"Pueraria_stricta","AM",-0.41703174447963
"Bituminaria_bituminosa","AM",-0.886382553171675
"Desmodium_canadense","AM",-1.07880966137193
"Lespedeza_bicolor","AM",-1.40690531502401
"Lespedeza_davurica","AM",-1.17118298150295
"Lespedeza_davidii","AM",-0.755022584278033
"Lespedeza_thunbergii","AM",-1.47447005202362
"Lespedeza_capitata","AM",-0.994252273343867
"Millettia_leptobotrya","AM",-1.07417336679109
"Clitoria_javitensis","AM",-0.32221979002429
"Dalea_purpurea","AM",-0.978698192002772
"Lupinus_perennis","NM",-1.07880966137193
"Cytisus_grandiflorus","AM",-0.298406035814757
"Genista_triacanthos","AM",-0.867917321201065
"Genista_hirsuta","AM",-0.841560185702718
"Ulex_parviflorus","AM",-0.985696635522147
"Calpurnia_aurea","AM",-0.63487827243597
"Thermopsis_rhombifolia","AM",-1.39382262754068
"Baptisia_alba","AM",-1.42711635564015
"Pterocarpus_indicus","AM",0
"Platypodium_elegans","AM",-0.133610835208573
"Sophora_microphylla","AM",-0.664365379134493
"Styphnolobium_japonicum","AM",-1.25792137522804
"Leucaena_Leucocephala","AM",-0.628608659422374
"Acacia_mangium","EcMAM",-1.37614603006808
"Acacia_auriculiformis","EcMAM",-1.09422194036682
"Acacia_crassicarpa","EcMAM",-1.48753006220077
"Archidendron_lucidum","AM",-1.34492211801416
"Archidendron_clypearia","AM",-1.3062639612144
"Chamaecrista_fasciculata","AM",-1.07880966137193
"Gleditsia_triacanthos","AM",-0.969453469951595
"Bauhinia_championii","AM",-0.750776293396582
"Cercis_canadensis","AM",-0.59783700075562
"Xanthophyllum_tenue","AM",-0.830686594582007
"Potentilla_tanacetifolia","AM",-1.38629436111989
"Potentilla_neumanniana","AM",-0.903774587451917
"Potentilla_acaulis","AM",-1.42711635564015
"Duchesnea_indica","AM",-1.64092857952547
"Alchemilla_alpina","AM",-0.983499481567605
"Sibbaldianthe_bifurca","AM",-1.32802545299591
"Fragaria_virginiana","AM",-1.75677850033281
"Potentilla_arguta","AM",-1.03193543087158
"Chamaerhodos_erecta","AM",-1.44816976483798
"Sanguisorba_officinalis","AM",-0.926025460971052
"Sanguisorba_minor","AM",-0.52538985077007
"Agrimonia_pilosa","AM",-1.48501033405905
"Rosa_arkansana","AM",-1.18564184764121
"Rosa_canina","AM",-0.652917361340879
"Rosa_acicularis","AM",-1.23374496265961
"Rosa_xanthina","AM",-1.69064796785964
"Rubus_irritans","AM",-1.73160554640831
"Rubus_ulmifolius","AM",-1.10274268201062
"Rubus_allegheniensis","AM",-1.63499647247376
"Rubus_corchorifolius","AM",-1.20397280432594
"Rubus_rosifolius","AM",-2.13467268448851
"Rubus_crataegifolius","AM",-1.88981340970344
"Rubus_phoenicolasius","AM",-1.505015495153
"Rubus_idaeus","AM",-1.70898204277049
"Filipendula_palmata","AM",-1.69826912614072
"Malus_domestica","AM",-1.69010581550156
"Malus_baccata","AM",-1.44435816163987
"Cydonia_oblonga","AM",-0.918292734544828
"Crataegus_pinnatifida","AM",-1.54014508593815
"Crataegus_monogyna","AM",-0.841241238804673
"Cotoneaster_multiflorus","AM",-1.47119886821033
"Cotoneaster_adpressus","AM",-1.41202250969262
"Cotoneaster_acutifolius","AM",-1.59258079536768
"Pyrus_bourgaeana","AM",-0.845948770817908
"Pyrus_betulifolia","AM",-0.742150435931695
"Sorbus_discolor","AM",-1.59049349643316
"Sorbus_aucuparia","AM",-1.61935534802832
"Eriobotrya_japonica","AM",-1.14306586942241
"Rhaphiolepis_indica","AM",-1.93233274064163
"Amelanchier_alnifolia","AM",-0.977988845458003
"Spiraea_dahurica","AM",-2.10155055463984
"Spiraea_pubescens","AM",-0.98859264362956
"Prunus_alabamensis","AM",-1.6424777665123
"Prunus_armeniaca","AM",-0.814185508937001
"Prunus_sibirica","AM",-1.47655285739072
"Prunus_persica","AM",-1.92072985052502
"Prunus_sargentii","AM",-1.84151348575397
"Prunus_avium","AM",-1.60662936011206
"Prunus_virginiana","AM",-1.03282454813011
"Prunus_serotina","AM",-0.457463234872453
"Prunus_padus","AM",-1.91664265137475
"Ficus_variolosa","AM",-2.01800783549574
"Ficus_carica","AM",-1.0000120724285
"Ficus_tikoua","AM",-0.588787165235702
"Artocarpus_styracifolius","AM",-1.26244973408491
"Oreocnide_frutescens","AM",-1.43045525690566
"Celtis_australis","AM",-1.26700135493191
"Celtis_sinensis","AM",-1.96304613500205
"Gironniera_subaequalis","AM",-2.08024186185061
"Ulmus_laciniata","AM",-2.11313979540126
"Ulmus_minor","AM",-1.05598392661249
"Ulmus_macrocarpa","AM",-1.50309362833517
"Ulmus_pumila","AM",-1.53141652856748
"Ulmus_davidiana","AM",-1.47543199116611
"Ulmus_rubra","AM",-0.994252273343867
"Ulmus_americana","AM",-1.83389135252815
"Rhamnus_davurica","AM",-1.7120245012092
"Rhamnus_lycioides","AM",-1.14279931355778
"Rhamnus_alaternus","AM",-1.01991664171977
"Elaeagnus_commutata","AM",-0.920298753271694
"Coriaria_arborea","AM",-1.17118298150295
"Coriaria_nepalensis","AM",-0.82098055206983
"Corynocarpus_laevigatus","AM",-0.53102833108351
"Carpinus_caroliniana","EcM",-0.460637627495412
"Carpinus_betulus","EcM",-1.32234994392712
"Carpinus_cordata","EcM",-1.92054025757739
"Corylus_ferox","EcM",-1.37357558871212
"Corylus_sieboldiana","EcM",-1.57680931228421
"Betula_albosinensis","EcM",-1.55856946653189
"Betula_platyphylla","EcM",-1.38136324866363
"Betula_pendula","EcM",-1.24262701130748
"Betula_dahurica","EcM",-1.15470541912394
"Betula_costata","EcM",-1.33818932493038
"Betula_fruticosa","EcM",-1.27189482081139
"Betula_alleghaniensis","EcM",-1.42711635564015
"Betula_lenta","EcM",-1.30933331998376
"Alnus_glutinosa","EcM",-0.952630598653048
"Alnus_hirsuta","EcM",-1.41160792295935
"Alnus_formosana","EcM",-1.23214246043623
"Alnus_mandshurica","EcM",-1.62518072275096
"Engelhardia_roxburghiana","EcM",-1.73443440260879
"Juglans_nigra","AM",-1.32389422469809
"Juglans_mandshurica","AM",-1.35418772625686
"Carya_glabra","EcM",-1.83258146374831
"Carya_cordiformis","EcM",-0.494225048517291
"Carya_ovata","EcM",-0.541975826293654
"Quercus_lowii","EcM",-1.00239343092757
"Quercus_ilex","EcM",-0.597405275780442
"Quercus_serrata","EcM",-1.69724506051103
"Quercus_robur","EcM",-1.46397449858382
"Quercus_mongolica","EcM",-1.52312020305956
"Quercus_aliena","EcM",-1.7447295648358
"Quercus_alba","EcM",-1.77195684193188
"Quercus_macrocarpa","EcM",-1.24632374486647
"Quercus_bicolor","EcM",-0.612774457417435
"Quercus_canariensis","EcM",-0.882493352290864
"Quercus_faginea","EcM",-0.677421480098463
"Quercus_wutaishanica","EcM",-1.24537295089759
"Quercus_suber","EcM",-1.06326927639611
"Quercus_variabilis","EcM",-1.9687889338763
"Quercus_asymmetrica","EcM",-1.05831523190357
"Quercus_glauca","EcM",-1.51412773262978
"Quercus_oxyodon","EcM",-1.7080159257952
"Quercus_multinervis","EcM",-1.46285148384205
"Quercus_coccifera","EcM",-0.748774415018289
"Quercus_palustris","EcM",-0.686469525806705
"Quercus_rubra","EcM",-1.79175946922806
"Castanopsis_carlesii","EcM",-1.29760094754728
"Castanopsis_faberi","EcM",-1.3810052173342
"Castanopsis_fargesii","EcM",-1.59602822552418
"Castanopsis_echinocarpa","EcM",-1.81137051487717
"Castanopsis_fissa","EcM",-1.58310031211482
"Castanopsis_wattii","EcM",-1.82504741609423
"Castanopsis_eyrei","EcM",-1.63663800362297
"Castanopsis_hystrix","EcM",-1.78683163099176
"Castanea_henryi","EcM",-1.78361274409229
"Lithocarpus_rigidus","EcM",-0.581158678611898
"Lithocarpus_lampadarius","EcM",-0.686668214462236
"Lithocarpus_confertus","EcM",-0.665532013526972
"Lithocarpus_clementianus","EcM",-0.848048141777908
"Lithocarpus_chiungchungensis","EcM",-1.51622083072297
"Lithocarpus_fenestratus","EcM",-0.518144004573671
"Lithocarpus_cleistocarpus","EcM",-1.29417107224408
"Fagus_sylvatica","EcM",-0.91921627868273
"Fagus_grandifolia","EcM",-0.512518975869661
"Fagus_engleriana","EcM",-1.69186888641326
"Nothofagus_solandri","EcM",-1.44075054691595
"Nothofagus_menziesii","EcM",-1.18395233583513
"Nothofagus_fusca","EcM",-1.18217054364294
"Nothofagus_obliqua","EcM",-1.02165124753198
"Hypericum_perforatum","AM",-1.72081650041749
"Cratoxylum_cochinchinense","AM",-2.11262610907088
"Garcinia_cowa","AM",-1.22795816707645
"Garcinia_oblongifolia","AM",-1.65973170648857
"Salix_atrocinerea","EcMAM",-0.968044658652307
"Salix_gordejevii","EcMAM",-1.96611285637283
"Salix_pierotii","EcMAM",-1.49754787308926
"Salix_viminalis","EcMAM",-1.96088866909063
"Salix_caprea","EcMAM",-2.16475261954309
"Salix_raddeana","EcMAM",-2.11279152136139
"Populus_grandidentata","EcMAM",-0.64630176332844
"Populus_alba","EcMAM",-0.636294368967163
"Populus_tremula","EcMAM",-1.73600911112236
"Populus_tremuloides","EcMAM",-1.6094379124341
"Populus_cathayana","EcMAM",-1.50418362741855
"Populus_koreana","EcMAM",-1.53734983603985
"Populus_balsamifera","EcMAM",-1.83258146374831
"Populus_trichocarpa","EcMAM",-1.91629962161432
"Populus_deltoides","EcMAM",-1.37418552982266
"Dovyalis_abyssinica","AM",-0.478035800943
"Viola_adunca","AM",-1.42233613246716
"Viola_thomasiana","AM",-0.896488104577975
"Melicytus_ramiflorus","AM",-0.746776534745044
"Antidesma_maclurei","AM",-0.909985650739561
"Aporosa_subcaudata","AM",-0.699567748362868
