binominal,SRL
Pteridium_aquilinum,4.6935390431844075
Pterospermum_acerifolium,3.2449333591874905
Pyrus_betulifolia,2.872843822791624
Quercus_alba,4.291417885803127
Quercus_aliena,4.617689267645409
Quercus_asymmetrica,3.810654511039857
Quercus_mongolica,4.597080072390454
Quercus_multinervis,4.345563147836171
Quercus_oxyodon,5.158334149593464
Quercus_robur,3.5859468125793654
Quercus_rubra,4.161951288268011
Quercus_serrata,4.854558315702191
Quercus_variabilis,4.384073327019456
Quercus_wutaishanica,4.012031738872642
Rhamnus_davurica,5.19709489569434
Rhaphiolepis_indica,4.463491407656154
Rhodoleia_championii,3.8406558890797298
Rosa_acicularis,4.022385435031041
Rosa_xanthina,5.22768711832685
Rubus_crataegifolius,5.64788850177962
Rubus_idaeus,5.145917113662598
Rubus_irritans,5.260971191549772
Rubus_rosifolius,5.766636300616433
Salix_caprea,4.840606305943966
Salix_gordejevii,5.255879483850069
Salix_pierotii,5.140414486095638
Salix_raddeana,5.802261266376117
Salix_viminalis,5.764240858969673
Salvia_chinensis,5.797148617256237
Sambucus_williamsii,4.858619698797443
Sanguisorba_officinalis,3.902578546600146
Sanicula_orthacantha,5.021999850863013
Saprosma_ternatum,4.761746493030188
Sarcandra_glabra,3.4173372896126404
Sassafras_albidum,2.8023645316374526
Saussurea_amurensis,5.5051756973674
Saussurea_mongolica,5.015324960401109
Saussurea_nivea,4.7660689036512505
Schefflera_heptaphylla,5.059335988231617
Schefflera_minutistellata,3.635214929528243
Schima_superba,4.9393758659092235
Schima_wallichii,4.58934563564112
Schoepfia_jasminodora,4.400389762662409
Smilax_trinervula,4.697894312108901
Solidago_decurrens,5.312633154910845
Sorbus_aucuparia,4.090652672911127
Sorbus_discolor,4.795288438983798
Spiraea_dahurica,5.672998477663331
Spiraea_pubescens,5.011736909095579
Sterculia_lanceolata,4.586304361684933
Sterculia_nobilis,4.567675981560511
Strobilanthes_dimorphotricha,4.915893556164899
Strobilanthes_villosum,5.23327101995561
Styphnolobium_japonicum,3.6059748835478986
Styrax_suberifolius,3.997357668802149
Syringa_reticulata,4.767641232081141
Syzygium_acuminatissimum,3.8528019063502166
Syzygium_globiflorum,3.7106409458954492
Syzygium_hancei,4.548605694165069
Syzygium_jambos,4.971446208016166
Syzygium_levinei,4.809510050898489
Syzygium_szemaoense,4.083806472419144
Thalictrum_simplex,5.557027124896727
Tilia_amurensis,4.875551748934549
Tilia_cordata,3.5012812495682604
Tilia_mandshurica,4.466575846709062
Tilia_mongolica,4.22991586656124
Tilia_oliveri,5.008139589748644
Trachelospermum_axillare,4.350516641221867
Ulmus_americana,4.2734639879399925
Ulmus_davidiana,4.76263893805587
Ulmus_laciniata,4.89896666181845
Ulmus_macrocarpa,4.177724226979262
Ulmus_pumila,4.741008005401787
Veratrum_nigrum,4.838767172507941
Veronica_spuria,5.424579170311993
Vitis_amurensis,4.644499902046494
Vitis_vinifera,-3.009831197933493
Wendlandia_uvariifolia,3.8126445614478675
Abies_alba,3.4665688891036184
Acer_campestre,3.4330189939851112
Achillea_millefolium,5.84927128443819
Adinandra_millettii,5.384495062789089
Afrocarpus_falcatus,2.4475508632442313
Agastache_foeniculum,3.6888794541139363
Agathis_australis,2.638282937179391
Agathis_kinabaluensis,2.4272333975591565
Aglaia_exstipulata,0.6983538030461193
Aglaia_odoratissima,1.6522278025290842
Agropyron_cristatum,5.203457085524077
Agrostis_capillaris,4.928122872521792
Agrostis_scabra,4.941642422609304
Aira_elegantissima,6.634436229366123
Alchemilla_alpina,3.8146306594194965
Alectryon_excelsus,3.6063919629954304
Aleurites_moluccana,2.0980179272527715
Alliaria_petiolata,6.239676908885172
Allium_bidentatum,3.362629788512897
Allium_tenuissimum,3.887935209899056
Allium_textile,5.23566960080539
