"binominal","state","SRL"
"Myrsine_coriacea","AM",3.3762833229294
"Rapanea_australis","AM",3.64315293721849
"Rapanea_divaricata","AM",3.65049805578074
"Myrsine_seguinii","AM",4.03376154163407
"Diospyros_strigosa","AM",3.68895932642406
"Diospyros_virginiana","AM",3.1937893193622
"Barringtonia_racemosa","AM",3.06842739617712
"Madhuca_endertii","AM",2.19941661750418
"Payena_microphylla","AM",2.14188803229675
"Gordonia_axillaris","AM",2.79300390698237
"Schima_superba","AM",4.93937586590922
"Schima_wallichii","AM",4.58934563564112
"Phlox_hoodii","AM",4.67333891556337
"Eurya_japonica","AM",4.84299870029243
"Adinandra_millettii","AM",5.38449506278909
"Ternstroemia_coriacea","AM",2.19112266514475
"Pentaphylax_euryoides","AM",4.58333349137892
"Deutzia_glabrata","AM",5.36879236500864
"Deutzia_grandiflora","AM",5.05188206654559
"Philadelphus_incanus","AM",5.17486845955163
"Cornus_bretschneideri","AM",4.01643447888786
"Cornus_ulotricha","AM",2.58692645824223
"Cornus_controversa","AM",2.68768478190838
"Cornus_kousa","AM",3.94341900636482
"Cornus_florida","AM",3.66475489802392
"Cornus_officinalis","AM",3.37988054100334
"Alangium_chinense","AM",5.13526888509767
"Nyssa_aquatica","AM",2.60810708332858
"Nyssa_sylvatica","AM",2.60806816582277
"Silene_rupestris","NMAM",2.87073578337931
"Arenaria_serpyllifolia","NMAM",6.44175163910168
"Cerastium_fontanum","NMAM",1.97408102602201
"Cerastium_arvense","NMAM",4.51722983086823
"Eurotia_lanata","AM",4.37709589063546
"Chenopodium_serotinum","NMAM",4.59339000390386
"Chenopodium_album","NMAM",4.95549932960853
"Alternanthera_sessilis","NMAM",3.82929335782915
"Rumex_acetosa","NMAM",1.5810384379124
"Rumex_acetosella","NMAM",4.84418708645859
"Fallopia_convolvulus","NMAM",5.30330490805908
"Coccoloba_manzinellensis","EcM",2.4985465569967
"Coccoloba_excelsa","EcM",2.91701228772725
"Armeria_velutina","NMAM",2.35189640324803
"Schoepfia_jasminodora","AM",4.40038976266241
"Osyris_alba","NMAM",1.77303377552067
"Comandra_umbellata","AM",3.44559036285322
"Stauracanthus_genistoides","AM",2.57584543440597
"Trifolium_spumosum","AM",5.50409363977041
"Trifolium_repens","AM",6.21838303437743
"Trifolium_pratense","AM",5.01851485071133
"Trifolium_incarnatum","AM",5.57245732173217
"Trifolium_hirtum","AM",5.6028284054119
"Trifolium_angustifolium","AM",4.85249890409066
"Trifolium_purpureum","AM",5.300096768473
"Trifolium_subterraneum","AM",4.93211526116142
"Trifolium_dubium","AM",5.24174701505964
"Medicago_sativa","AM",5.50587639113034
"Medicago_ruthenica","AM",4.18920009323478
"Medicago_minima","AM",5.35413043136725
"Melilotus_officinalis","AM",4.60517018598809
"Vicia_americana","AM",5.10888612866133
"Vicia_villosa","AM",4.0943445622221
"Lathyrus_venosus","AM",3.84651487154136
"Astragalus_bisulcatus","AM",4.50527618313061
"Astragalus_agrestis","AM",3.03616830415976
"Astragalus_scaberrimus","AM",4.09175788632533
"Astragalus_canadensis","AM",3.52636052461616
"Astragalus_aboriginum","AM",3.76078261645986
"Astragalus_pelecinus","AM",5.57685299413496
"Oxytropis_sericea","AM",4.57114428582284
"Caragana_microphylla","AM",3.2204745462319
"Lotus_tenuis","AM",4.70953020131233
"Lotus_corniculatus","AM",5.00758049330172
"Ornithopus_sativus","AM",5.70433524085281
"Ornithopus_compressus","AM",5.58122938354041
"Anthyllis_cytisoides","AM",2.24081145590607
"Anthyllis_terniflora","AM",1.79622508882357
"Coronilla_juncea","AM",2.0561118710401
"Coronilla_minima","AM",3.69988553914565
"Gliricidia_sepium","AM",3.47506723022861
"Pueraria_stricta","AM",1.60140574073684
"Bituminaria_bituminosa","AM",4.72397292574726
"Desmodium_canadense","AM",4.83628190695148
"Lespedeza_bicolor","AM",4.93161832306386
"Lespedeza_davurica","AM",3.69424006035603
"Lespedeza_davidii","AM",5.20948615284142
"Lespedeza_thunbergii","AM",4.75748825532435
"Lespedeza_capitata","AM",4.29045944114839
"Millettia_leptobotrya","AM",3.24337329646859
"Clitoria_javitensis","AM",2.52004523315245
"Dalea_purpurea","AM",3.92479910686004
"Lupinus_perennis","NM",4.76217393479776
"Cytisus_grandiflorus","AM",1.17908989314494
"Genista_triacanthos","AM",2.55339582399633
"Genista_hirsuta","AM",2.41588810565008
"Ulex_parviflorus","AM",2.21802321411472
"Calpurnia_aurea","AM",2.83026783382646
"Thermopsis_rhombifolia","AM",4.64345258021167
"Baptisia_alba","AM",5.76519110278484
"Pterocarpus_indicus","AM",1.52605630349505
"Platypodium_elegans","AM",1.86296762258743
"Sophora_microphylla","AM",3.26791944491498
"Styphnolobium_japonicum","AM",3.6059748835479
"Leucaena_Leucocephala","AM",3.02204958187136
"Acacia_mangium","EcMAM",4.5970372027579
"Acacia_auriculiformis","EcMAM",4.34756458111878
"Acacia_crassicarpa","EcMAM",4.6847204647461
"Archidendron_lucidum","AM",4.07567129695648
"Archidendron_clypearia","AM",4.25319845031993
"Chamaecrista_fasciculata","AM",4.24849524204936
"Gleditsia_triacanthos","AM",3.0039883357859
"Bauhinia_championii","AM",2.18941639488841
"Cercis_canadensis","AM",3.29953372788566
"Xanthophyllum_tenue","AM",3.22800403569507
"Potentilla_tanacetifolia","AM",4.23577178391632
"Potentilla_neumanniana","AM",4.12210465528003
"Potentilla_acaulis","AM",4.43455978512215
"Duchesnea_indica","AM",5.31910239593315
"Alchemilla_alpina","AM",3.8146306594195
"Sibbaldianthe_bifurca","AM",3.94468378766769
"Fragaria_virginiana","AM",5.48053103518894
"Potentilla_arguta","AM",3.8767726202095
"Chamaerhodos_erecta","AM",4.65871095291612
"Sanguisorba_officinalis","AM",3.90257854660015
"Sanguisorba_minor","AM",4.40910028982312
"Agrimonia_pilosa","AM",5.08637811770417
"Rosa_arkansana","AM",3.72632145504614
"Rosa_canina","AM",2.54089728064586
"Rosa_acicularis","AM",4.02238543503104
"Rosa_xanthina","AM",5.22768711832685
"Rubus_irritans","AM",5.26097119154977
"Rubus_ulmifolius","AM",2.97452241177767
"Rubus_allegheniensis","AM",3.26642886411406
"Rubus_corchorifolius","AM",6.10009471163343
"Rubus_rosifolius","AM",5.76663630061643
"Rubus_crataegifolius","AM",5.64788850177962
"Rubus_phoenicolasius","AM",3.19556729211727
"Rubus_idaeus","AM",5.1459171136626
"Filipendula_palmata","AM",5.39638636367747
