binominal,state,RD
Barringtonia_racemosa,AM,-0.848957732212552
Betula_albosinensis,EcM,-1.5585694665318883
Betula_costata,EcM,-1.3381893249303756
Betula_dahurica,EcM,-1.1547054191239419
Betula_fruticosa,EcM,-1.2718948208113945
Betula_platyphylla,EcM,-1.3813632486636274
Blastus_cochinchinesis,AM,-1.5941390392811776
Blastus_pauciflorus,AM,-1.81533541052795
Blechnum_orientale,AM,-1.5663784229736533
Calamus_rhabdocladus,AM,-1.520054351299415
Caltha_palustris,NMAM,-1.5616005830199404
Canarium_album,AM,-1.6404940454660997
Caragana_microphylla,AM,-0.8915981192837836
Carallia_brachiata,AM,-1.5405650481477249
Carpinus_betulus,EcM,-1.3223499439271242
Carpinus_cordata,EcM,-1.9205402575773922
Carya_glabra,EcM,-1.8325814637483102
Caryota_maxima,AM,-1.2301456786299592
Castanea_henryi,EcM,-1.7836127440922864
Castanopsis_carlesii,EcM,-1.2976009475472772
Castanopsis_echinocarpa,EcM,-1.8113705148771706
Castanopsis_eyrei,EcM,-1.636638003622972
Castanopsis_faberi,EcM,-1.3810052173341962
Castanopsis_fargesii,EcM,-1.5960282255241827
Castanopsis_fissa,EcM,-1.5831003121148188
Castanopsis_hystrix,EcM,-1.7868316309917582
Castanopsis_wattii,EcM,-1.82504741609423
Catalpa_bignonioides,AM,-1.2548979384226286
Catunaregam_spinosa,AM,-1.3587181053497872
Caulophyllum_robustum,AM,-1.0277811079075183
Celtis_sinensis,AM,-1.963046135002048
Cercidiphyllum_japonicum,AM,-1.5443634646183895
Chamaecyparis_obtusa,AM,-0.9662227829984147
Chenopodium_serotinum,NMAM,-2.0527423348664056
Chionanthus_virginicus,AM,-0.89960999466853
Chloranthus_henryi,AM,-0.7721903879003982
Choerospondias_axillaris,AM,-1.3309542660867262
Cibotium_barometz,AM,-1.3933189760568552
Cinnamomum_austrosinense,AM,-0.8884931884766529
Cinnamomum_camphora,AM,-0.8834878042983222
Cinnamomum_cassia,AM,-0.6264422577659549
Cinnamomum_chekiangense,AM,-0.694258888278042
Cinnamomum_micranthum,AM,-0.9052790226506572
Cinnamomum_porrectum,AM,-0.9567655644398732
Cinnamomum_tenuifolium,AM,-0.5539941191673694
Convallaria_majalis,AM,-0.8673815271712809
Coriaria_nepalensis,AM,-0.8209805520698302
Cornus_bretschneideri,AM,-1.096522468364518
Cornus_controversa,AM,-0.4253362377505763
Cornus_florida,AM,-1.329626564279449
Cornus_kousa,AM,-0.970351008724099
Cornus_officinalis,AM,-0.9043839670766713
Cornus_ulotricha,AM,-0.492515122207834
Corylus_ferox,EcM,-1.373575588712116
Corylus_sieboldiana,EcM,-1.5768093122842057
Cotoneaster_acutifolius,AM,-1.5925807953676774
